grupo,familia,especie_original,sinonimia,fonte_sinonimia,nome_aceito_correto,genero,epiteto_especifico,taxon_rank,epiteto_infraespecifico,notas,cat_ameaca_cr_lac,cat_ameaca_iucn,cat_ameaca_mpo_sp,cat_ameaca_br,cat_ameaca_cncflora,cat_ameaca_sp
Angiospermas,Rutaceae,Andreadoxa flava,NA,NA,Andreadoxa flava,Andreadoxa,flava,species,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,CR,NA,NA
Angiospermas,Rutaceae,Balfourodendron riedelianum,NA,NA,Balfourodendron riedelianum,Balfourodendron,riedelianum,species,NA,,NA,EN,NA,NA,NT,NA
Angiospermas,Rutaceae,Conchocarpus bellus,NA,NA,Conchocarpus bellus,Conchocarpus,bellus,species,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,CR,NA,NA
Angiospermas,Rutaceae,Conchocarpus cauliflorus,NA,NA,Conchocarpus cauliflorus,Conchocarpus,cauliflorus,species,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,CR,NA,NA
Angiospermas,Rutaceae,Conchocarpus fontanesianus,NA,NA,Conchocarpus fontanesianus,Conchocarpus,fontanesianus,species,NA,,NA,LC,NA,NA,LC,NA
Angiospermas,Rutaceae,Conchocarpus marginatus,NA,NA,Conchocarpus marginatus,Conchocarpus,marginatus,species,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,CR,NA,NA
Angiospermas,Rutaceae,Dictyoloma vandellianum,NA,NA,Dictyoloma vandellianum,Dictyoloma,vandellianum,species,NA,,NA,LC,NA,NA,NA,NA
Angiospermas,Rutaceae,Esenbeckia grandiflora,NA,NA,Esenbeckia grandiflora,Esenbeckia,grandiflora,species,NA,,NA,LC,NA,NA,NA,NA
Angiospermas,Rutaceae,Esenbeckia hieronymi,NA,NA,Esenbeckia hieronymi,Esenbeckia,hieronymi,species,NA,,NA,NA,NA,NA,NT,NA
Angiospermas,Rutaceae,Esenbeckia irwiniana,NA,NA,Esenbeckia irwiniana,Esenbeckia,irwiniana,species,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,EN,NA,NA
Angiospermas,Rutaceae,Esenbeckia leiocarpa,NA,NA,Esenbeckia leiocarpa,Esenbeckia,leiocarpa,species,NA,,NA,VU,NA,NA,LC,NA
Angiospermas,Rutaceae,Esenbeckia pilocarpoides,NA,NA,Esenbeckia pilocarpoides,Esenbeckia,pilocarpoides,species,NA,,NA,NA,NA,NA,LC,EN
Angiospermas,Rutaceae,Euxylophora paraensis,NA,NA,Euxylophora paraensis,Euxylophora,paraensis,species,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,CR,NA,NA
Angiospermas,Rutaceae,Galipea carinata,NA,NA,Galipea carinata,Galipea,carinata,species,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,CR,NA,NA
Angiospermas,Rutaceae,Galipea jasminiflora,NA,NA,Galipea jasminiflora,Galipea,jasminiflora,species,NA,,NA,LC,NA,NA,NA,NA
Angiospermas,Rutaceae,Hortia brasiliana,NA,NA,Hortia brasiliana,Hortia,brasiliana,species,NA,,NA,LC,NA,NA,NT,NA
Angiospermas,Rutaceae,Metrodorea maracasana,NA,NA,Metrodorea maracasana,Metrodorea,maracasana,species,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,VU,NA,NA
Angiospermas,Rutaceae,Metrodorea nigra,NA,NA,Metrodorea nigra,Metrodorea,nigra,species,NA,,NA,LC,NA,NA,NA,NA
Angiospermas,Rutaceae,Metrodorea stipularis,NA,NA,Metrodorea stipularis,Metrodorea,stipularis,species,NA,,NA,LC,NA,NA,NA,NA
Angiospermas,Rutaceae,Pilocarpus alatus,NA,NA,Pilocarpus alatus,Pilocarpus,alatus,species,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,VU,NA,NA
Angiospermas,Rutaceae,Pilocarpus giganteus,NA,NA,Pilocarpus giganteus,Pilocarpus,giganteus,species,NA,,NA,NA,NA,NA,NT,EN
Angiospermas,Rutaceae,Pilocarpus jaborandi,NA,NA,Pilocarpus jaborandi,Pilocarpus,jaborandi,species,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,EN,NA,NA
Angiospermas,Rutaceae,Pilocarpus microphyllus,NA,NA,Pilocarpus microphyllus,Pilocarpus,microphyllus,species,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,EN,NA,NA
Angiospermas,Rutaceae,Pilocarpus pauciflorus,NA,NA,Pilocarpus pauciflorus,Pilocarpus,pauciflorus,species,NA,,NA,LC,NA,NA,NA,NA
Angiospermas,Rutaceae,Pilocarpus spicatus,NA,NA,Pilocarpus spicatus,Pilocarpus,spicatus,species,NA,,NA,LC,NA,NA,NA,NA
Angiospermas,Rutaceae,Pilocarpus trachylophus,NA,NA,Pilocarpus trachylophus,Pilocarpus,trachylophus,species,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,EN,NA,NA
Angiospermas,Rutaceae,Raulinoa echinata,NA,NA,Raulinoa echinata,Raulinoa,echinata,species,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,VU,NA,NA
Angiospermas,Rutaceae,Zanthoxylum acuminatum,NA,NA,Zanthoxylum acuminatum,Zanthoxylum,acuminatum,species,NA,,NA,LC,NA,NA,NA,NA
