X,Y,key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,dateIdentified,stateProvince,year,month,day,eventDate,lastInterpreted,license,identifiers,facts,relations,isInCluster,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,collectionCode,occurrenceID,type,catalogNumber,recordedBy,otherCatalogNumbers,institutionCode,fieldNotes,occurrenceRemarks,identifiedBy,name,gadm,elevation,elevationAccuracy,modified,collectionKey,language,ownerInstitutionCode,continent,institutionKey,nomenclaturalStatus,nomenclaturalCode,taxonID,bibliographicCitation,collectionID,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,individualCount,lifeStage,habitat,higherGeography,institutionID,endDayOfYear,startDayOfYear,higherClassification,references,verbatimEventDate,county,preparations,verbatimElevation,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,fieldNumber,verbatimLocality,X.3aee7756.565e.4dc5.b22c.f997fbd7105c.,typeStatus,typifiedName,datasetID,georeferenceProtocol,organismID,locationID,accessRights,data_cleaning_note,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.5275,-23.620833,"1089103690",Cupania concolor Radlk.,-23.620833,-45.5275,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:53Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3785948","6","7707728","220","933","6657","3189959","3785948","3785948",Cupania concolor Radlk.,Plantae,Tracheophyta,Sapindales,Sapindaceae,Cupania,Cupania concolor,Cupania,concolor,SPECIES,ACCEPTED,2010-12-01T00:00:00Z,São Paulo,"2010","6","2",2010-06-02T00:00:00Z,2021-04-08T12:43:53Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:166894,"169",Parque Estadual da Serra do Mar.,Caraguatatuba,UEC - Herbário da Universidade Estadual de Campinas,"1089103690",UEC,BRA:UNICAMP:UEC:166894,Collection,"166894","Stefani, EJF; Belinello, R; Galvão, JC",NA,UNICAMP,NA,"Árvore com 7 m.; Mata Atlântica.","Stefani, EJF",Cupania concolor Radlk.,NA,"70","20",2021-03-01T19:40:42Z,a995cf02-345c-46db-8674-3415572615a6,pt,Universidade Estadual de Campinas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.726944,-22.640833,"1234545557",Cupania concolor Radlk.,-22.640833,-44.726944,"gass84,incomis,diffown",1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3,76dbcb10-efc5-4d5f-87a5-bcd409fc92c8,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-25T18:05:03Z,2021-03-30T09:57:30Z,"256",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3785948","6","7707728","220","933","6657","3189959","3785948","3785948",Cupania concolor Radlk.,Plantae,Tracheophyta,Sapindales,Sapindaceae,Cupania,Cupania concolor,Cupania,concolor,SPECIES,ACCEPTED,2009-01-01T00:00:00Z,São Paulo,"2009","2","14",2009-02-14T00:00:00Z,2021-03-30T09:57:30Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPF - Herbário da Universidade de São Paulo,BRA:USP:SPF:196514,"115",NA,Areias,SPF - Herbário da Universidade de São Paulo,"1234545557",SPF,BRA:USP:SPF:196514,Collection,"196514","Freitas, HS",NA,USP,NA,NA,"Ferrucci, MS",Cupania concolor Radlk.,NA,"813","0",2019-11-13T14:31:29Z,NA,pt,Universidade de São Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-49.067222,-24.053056,"1086911218",Cupania concolor Radlk.,-24.053056,-49.067222,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:43Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3785948","6","7707728","220","933","6657","3189959","3785948","3785948",Cupania concolor Radlk.,Plantae,Tracheophyta,Sapindales,Sapindaceae,Cupania,Cupania concolor,Cupania,concolor,SPECIES,ACCEPTED,2009-10-23T00:00:00Z,Sp,"2009","9","22",2009-09-22T00:00:00Z,2021-04-08T12:14:43Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:42666,"1297",Estação Experimental,Itapeva,SPSF - Herbário Dom Bento José Pickel,"1086911218",SPSF,BRA:IF:SPSF:42666,Collection,"42666",O.T. Aguiar & R.Cielo-Filho & J.B.Baitello,NA,IF,NA,"COLETA: Árvore 3m, fruto jovem.; GEOGRAFIA: Trilha do Poço da Peroba - Floresta;",N.O.Costa,Cupania concolor Radlk.,NA,NA,NA,2021-03-04T18:46:32Z,835c4b58-e96d-49cc-b711-0f3de04547c0,pt,Instituto Florestal,SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.343889,-22.7925,"1086910868",Cupania concolor Radlk.,-22.7925,-44.343889,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:44Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3785948","6","7707728","220","933","6657","3189959","3785948","3785948",Cupania concolor Radlk.,Plantae,Tracheophyta,Sapindales,Sapindaceae,Cupania,Cupania concolor,Cupania,concolor,SPECIES,ACCEPTED,2017-12-01T00:00:00Z,Rj,"2008","3","28",2008-03-28T00:00:00Z,2021-04-08T12:14:44Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:42265,"595",Serra da Bocaina,Paraty,SPSF - Herbário Dom Bento José Pickel,"1086910868",SPSF,BRA:IF:SPSF:42265,Collection,"42265",R.T. Polisel & N.M.Ivanauskas & R.P.S.Lattore & E.Rocha,NA,IF,NA,"COLETA: Árvore de 7 m de altura. Flores creme.; GEOGRAFIA: Na porção conhecida como sertão do Barbosa, na beira da estrada.;",N.M.Ivanauskas,Cupania concolor Radlk.,NA,"1146","0",2021-03-04T18:46:32Z,835c4b58-e96d-49cc-b711-0f3de04547c0,pt,Instituto Florestal,SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-49.065278,-24.067222,"1086909135",Cupania concolor Radlk.,-24.067222,-49.065278,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:46Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3785948","6","7707728","220","933","6657","3189959","3785948","3785948",Cupania concolor Radlk.,Plantae,Tracheophyta,Sapindales,Sapindaceae,Cupania,Cupania concolor,Cupania,concolor,SPECIES,ACCEPTED,2008-09-01T00:00:00Z,Sp,"2008","8","28",2008-08-28T00:00:00Z,2021-04-08T12:14:46Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:40555,"765",Estação Experimental,Itapeva,SPSF - Herbário Dom Bento José Pickel,"1086909135",SPSF,BRA:IF:SPSF:40555,Collection,"40555",R.Cielo-Filho & J.B.Baitello & C.R.Lima,NA,IF,NA,"COLETA: Árvore 3 m, inflorescências amarelas.; GEOGRAFIA: trilha do rio Pirituba;",R.Cielo-Filho,Cupania concolor Radlk.,NA,"700","0",2021-03-04T18:46:32Z,835c4b58-e96d-49cc-b711-0f3de04547c0,pt,Instituto Florestal,SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.366667,-22.806667,"1086911027",Cupania concolor Radlk.,-22.806667,-44.366667,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:43Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3785948","6","7707728","220","933","6657","3189959","3785948","3785948",Cupania concolor Radlk.,Plantae,Tracheophyta,Sapindales,Sapindaceae,Cupania,Cupania concolor,Cupania,concolor,SPECIES,ACCEPTED,2017-12-01T00:00:00Z,Sp,"2008","10","28",2008-10-28T00:00:00Z,2021-04-08T12:14:43Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:42492,"984",Estação Ecológica de Bananal,Bananal,SPSF - Herbário Dom Bento José Pickel,"1086911027",SPSF,BRA:IF:SPSF:42492,Collection,"42492",R.T.Polisel & N.M.Ivanauskas & R.L.R.Santos,NA,IF,NA,"COLETA: Árvore de 8 m de altura. Frutos pretos e arilo alaranjado.; GEOGRAFIA: Na estrada para a sede.;",N.M.Ivanauskas,Cupania concolor Radlk.,NA,"1115","0",2021-03-04T18:46:32Z,835c4b58-e96d-49cc-b711-0f3de04547c0,pt,Instituto Florestal,SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.366667,-22.806667,"1086911046",Cupania concolor Radlk.,-22.806667,-44.366667,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:43Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3785948","6","7707728","220","933","6657","3189959","3785948","3785948",Cupania concolor Radlk.,Plantae,Tracheophyta,Sapindales,Sapindaceae,Cupania,Cupania concolor,Cupania,concolor,SPECIES,ACCEPTED,2017-12-01T00:00:00Z,Sp,"2008","11","21",2008-11-21T00:00:00Z,2021-04-08T12:14:43Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:42470,"907",Estação Ecológica de Bananal,Bananal,SPSF - Herbário Dom Bento José Pickel,"1086911046",SPSF,BRA:IF:SPSF:42470,Collection,"42470",R.T. Polisel & N.M.Ivanauskas & R.Esteves,NA,IF,NA,"COLETA: Árvore de 7 m de altura. Frutos pretos com arilo amarelo.; GEOGRAFIA: Na estrada para a unidade.;",N.M.Ivanauskas,Cupania concolor Radlk.,NA,"1115","0",2021-03-04T18:46:32Z,835c4b58-e96d-49cc-b711-0f3de04547c0,pt,Instituto Florestal,SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-48.784167,-23.540556,"1086907272",Cupania concolor Radlk.,-23.540556,-48.784167,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:41Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3785948","6","7707728","220","933","6657","3189959","3785948","3785948",Cupania concolor Radlk.,Plantae,Tracheophyta,Sapindales,Sapindaceae,Cupania,Cupania concolor,Cupania,concolor,SPECIES,ACCEPTED,2007-10-30T00:00:00Z,Sp,"2007","8","30",2007-08-30T00:00:00Z,2021-04-08T12:14:41Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:38663,"29",Estação Ecológica de Paranapanema,Paranapanema,SPSF - Herbário Dom Bento José Pickel,"1086907272",SPSF,BRA:IF:SPSF:38663,Collection,"38663",C. R. Lima & O. T. Aguiar & J. B. Baitello,NA,IF,NA,"COLETA: Frutos verdes.; GEOGRAFIA: Trilha 4.;",R.Cielo-Filho,Cupania concolor Radlk.,NA,"630","0",2021-03-04T18:46:32Z,835c4b58-e96d-49cc-b711-0f3de04547c0,pt,Instituto Florestal,SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-49.079444,-22.238889,"1086908498",Cupania concolor Radlk.,-22.238889,-49.079444,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:46Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3785948","6","7707728","220","933","6657","3189959","3785948","3785948",Cupania concolor Radlk.,Plantae,Tracheophyta,Sapindales,Sapindaceae,Cupania,Cupania concolor,Cupania,concolor,SPECIES,ACCEPTED,2008-01-11T00:00:00Z,Sp,"2007","11","28",2007-11-28T00:00:00Z,2021-04-08T12:14:46Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:39886,"976",Estação Ecológica de Bauru,Bauru,SPSF - Herbário Dom Bento José Pickel,"1086908498",SPSF,BRA:IF:SPSF:39886,Collection,"39886",F.M de Souza & N.M.Ivanauskas & N. Guerin & A.Dário & D.Souza,NA,IF,NA,"COLETA: Floresta Estacional Semidecidual&nf;Árvore 2m, frutos imaturos verdes.; GEOGRAFIA: Área próxima ao experimento de peroba.;",G.A.D.C. Franco,Cupania concolor Radlk.,NA,"495","0",2021-03-04T18:46:32Z,835c4b58-e96d-49cc-b711-0f3de04547c0,pt,Instituto Florestal,SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-48.769722,-23.523333,"1086906843",Cupania concolor Radlk.,-23.523333,-48.769722,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:42Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3785948","6","7707728","220","933","6657","3189959","3785948","3785948",Cupania concolor Radlk.,Plantae,Tracheophyta,Sapindales,Sapindaceae,Cupania,Cupania concolor,Cupania,concolor,SPECIES,ACCEPTED,2007-04-09T00:00:00Z,Sp,"2006","8","1",2006-08-01T00:00:00Z,2021-04-08T12:14:42Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:38219,"504",Estação Ecológica de Paranapanema,Paranapanema,SPSF - Herbário Dom Bento José Pickel,"1086906843",SPSF,BRA:IF:SPSF:38219,Collection,"38219",R.Cielo-Filho & J. A. Pastore & O.T. Aguiar & C.R.Lima & D.F.Bueno,NA,IF,NA,"COLETA: Arvoreta 1m, inflorescência terminal cor creme.; GEOGRAFIA: Trilha 1.;",R.Cielo-Filho,Cupania concolor Radlk.,NA,NA,NA,2021-03-04T18:46:32Z,835c4b58-e96d-49cc-b711-0f3de04547c0,pt,Instituto Florestal,SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
