X,Y,key,scientificName,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,stateProvince,year,month,day,eventDate,lastInterpreted,license,identifiers,facts,relations,gadm,isInCluster,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,collectionCode,occurrenceID,type,catalogNumber,recordedBy,otherCatalogNumbers,institutionCode,fieldNotes,identifiedBy,name,decimalLatitude,decimalLongitude,elevation,elevationAccuracy,modified,collectionKey,geodeticDatum,language,ownerInstitutionCode,occurrenceRemarks,continent,institutionKey,identificationQualifier,individualCount,preparations,references,verbatimEventDate,institutionID,nomenclaturalCode,endDayOfYear,county,startDayOfYear,verbatimElevation,collectionID,coordinateUncertaintyInMeters,habitat,higherGeography,georeferenceProtocol,eventRemarks,higherClassification,datasetID,nomenclaturalStatus,taxonID,bibliographicCitation,georeferenceSources,verbatimCoordinateSystem,lifeStage,organismQuantity,organismQuantityType,http...rs.tdwg.org.dwc.terms.organismQuantity,http...rs.tdwg.org.dwc.terms.organismQuantityType,rights,verbatimLocality,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,fieldNumber,http...unknown.org.recordId,reproductiveCondition,dynamicProperties,identificationID,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,accessRights,georeferencedDate,locationAccordingTo,disposition,waterBody,island,verbatimTaxonRank,infraspecificEpithet,typeStatus,georeferenceVerificationStatus,georeferenceRemarks,taxonRemarks,organismID,locationID,typifiedName,recordedByIDs.type,recordedByIDs.value,identifiedByIDs.type,identifiedByIDs.value,X.3aee7756.565e.4dc5.b22c.f997fbd7105c.,data_cleaning_note,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.618056,-22.390833,"1844892517",Desmodium subsecundum Vogel,"cdround,gass84,ambcol,inmano",4300f8d5-1ae5-49e5-a101-63894b005868,838537fc-4aeb-4980-8b58-97fbdcd1d91a,da7fe11a-b42c-46cb-9e9d-02243edb738a,BR,DWC_ARCHIVE,2021-04-06T14:13:20Z,2021-04-06T14:39:24Z,"343",838537fc-4aeb-4980-8b58-97fbdcd1d91a,PRESERVED_SPECIMEN,PRESENT,"2967222","6","7707728","220","1370","5386","2967050","2967222","2967222",Desmodium subsecundum Vogel,Plantae,Tracheophyta,Fabales,Fabaceae,Desmodium,Desmodium subsecundum,Desmodium,subsecundum,SPECIES,ACCEPTED,DD,NA,São Paulo,"2017","3","22",2017-03-22T00:00:00Z,2021-04-06T14:39:24Z,http://creativecommons.org/licenses/by/4.0/legalcode,none,none,none,NA,TRUE,Magnoliopsida,BR,none,none,Brazil,Rio de Janeiro Botanical Garden,urn:catalog:JBRJ:RB:1386979,"1418",Centro experimental ARAMAR.,Iperó,RB - Rio de Janeiro Botanical Garden Herbarium Collection,"1844892517",RB,urn:catalog:JBRJ:RB:1386979,Physical Object,RB01386979,"G.M. Antar; T.M. Maeda",RB 764558,JBRJ,Borda de mata ciliar antropizada. Solo organo-argiloso úmido,NA,Desmodium subsecundum Vogel,-22.390833,-47.618056,NA,NA,NA,NA,WGS84,NA,NA,Corola arroxeada. Frutos imaturos verdes,NA,NA,cf.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-47.618055,-22.390833,"1944854820",Desmodium subsecundum Vogel,"gass84,osiic,colmafu,inmano",e38d4c95-3a1d-4594-9ae9-883b48042e6d,7ef169f9-81f8-46a2-a7f7-240df6a1889c,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:20:09Z,2021-04-08T12:21:16Z,"252",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2967222","6","7707728","220","1370","5386","2967050","2967222","2967222",Desmodium subsecundum Vogel,Plantae,Tracheophyta,Fabales,Fabaceae,Desmodium,Desmodium subsecundum,Desmodium,subsecundum,SPECIES,ACCEPTED,DD,NA,Sp,"2017","3","22",2017-03-22T00:00:00Z,2021-04-08T12:21:16Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,TRUE,Magnoliopsida,BR,none,none,Brazil,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,BRA:CENARGEN:CEN:105411,"1418",Centro Experimental ARAMAR. Borda de mata ciliar antropizada.,IPERO,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,"1944854820",CEN,BRA:CENARGEN:CEN:105411,Collection,"105411",Guilherme de M. Antar,NA,Cenargen,NA,NA,Desmodium subsecundum Vogel,-22.390833,-47.618055,"570","0",2020-09-02T19:27:43Z,24c42d8b-3272-4695-8fb8-c187d933d718,WGS84,pt,Empresa Brasileira de Pesquisa Agropecuária,Corola arroxeada. Doação Universidade de São Paulo - Herbário SPF.,NA,NA,NA,"1",Exsicatas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.766111,-23.453889,"1423913298",Desmodium subsecundum Vogel,"cdround,gass84,ambcol,inmano",4300f8d5-1ae5-49e5-a101-63894b005868,838537fc-4aeb-4980-8b58-97fbdcd1d91a,da7fe11a-b42c-46cb-9e9d-02243edb738a,BR,DWC_ARCHIVE,2021-04-06T14:13:20Z,2021-04-06T14:39:35Z,"343",838537fc-4aeb-4980-8b58-97fbdcd1d91a,PRESERVED_SPECIMEN,PRESENT,"2967222","6","7707728","220","1370","5386","2967050","2967222","2967222",Desmodium subsecundum Vogel,Plantae,Tracheophyta,Fabales,Fabaceae,Desmodium,Desmodium subsecundum,Desmodium,subsecundum,SPECIES,ACCEPTED,DD,NA,São Paulo,"2014","3","28",2014-03-28T00:00:00Z,2021-04-06T14:39:35Z,http://creativecommons.org/licenses/by/4.0/legalcode,none,none,none,NA,TRUE,Magnoliopsida,BR,none,none,Brazil,Rio de Janeiro Botanical Garden,urn:catalog:JBRJ:RB:1133321,"74","Parque Estadual do Jaraguá. região mais alta do parque. Trilha do pai zé, próximo á estrada.",São Paulo,RB - Rio de Janeiro Botanical Garden Herbarium Collection,"1423913298",RB,urn:catalog:JBRJ:RB:1133321,Physical Object,RB01133321,"K. Beraldo; V.G. França",RB 651754,JBRJ,Campo. Solo areno-pedregoso.,"K. Beraldo; C.M. Siniscalchi",Desmodium subsecundum Vogel,-23.453889,-46.766111,"1084",NA,NA,NA,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.766167,-23.453972,"1829092359",Desmodium subsecundum Vogel,"gass84,incomis,diffown",1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3,76dbcb10-efc5-4d5f-87a5-bcd409fc92c8,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-25T18:05:03Z,2021-03-30T09:57:33Z,"256",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2967222","6","7707728","220","1370","5386","2967050","2967222","2967222",Desmodium subsecundum Vogel,Plantae,Tracheophyta,Fabales,Fabaceae,Desmodium,Desmodium subsecundum,Desmodium,subsecundum,SPECIES,ACCEPTED,DD,2014-05-01T00:00:00Z,São Paulo,"2014","3","28",2014-03-28T00:00:00Z,2021-03-30T09:57:33Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,TRUE,Magnoliopsida,BR,none,none,Brazil,SPF - Herbário da Universidade de São Paulo,BRA:USP:SPF:220320,"74","Parque Estadual do Jaraguá, Região mais alta do Parque. Trilha do Pai Zé, próximo à estrada.",São Paulo,SPF - Herbário da Universidade de São Paulo,"1829092359",SPF,BRA:USP:SPF:220320,Collection,"220320","Beraldo, K",NA,USP,NA,"Siniscalchi, CM; Beraldo, K",Desmodium subsecundum Vogel,-23.453972,-46.766167,"1084","0",2021-03-15T21:27:51Z,NA,WGS84,pt,Universidade de São Paulo,"Arbusto ca. 2 m alt. Folhas ásperas. Flor lilás.; Campo. Solo areno-pedregoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.511667,-23.411389,"2452946314",Desmodium discolor Vogel,"gass84,colmafu,inmafu",17efa320-7312-4b55-bf0a-a4cfc4613169,2437c128-bf8c-4f53-b668-da95fb2e40b7,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-12T14:19:10Z,2021-04-12T14:22:17Z,"252",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2967224","6","7707728","220","1370","5386","2967050","2967222","2967222",Desmodium subsecundum Vogel,Plantae,Tracheophyta,Fabales,Fabaceae,Desmodium,Desmodium subsecundum,Desmodium,discolor,SPECIES,SYNONYM,NA,2014-01-01T00:00:00Z,São Paulo,"2013","4","16",2013-04-16T00:00:00Z,2021-04-12T14:22:17Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,FALSE,Magnoliopsida,BR,none,none,Brazil,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",BRA:IBT:SP:499196,"2403",NA,Guarulhos,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","2452946314",SP,BRA:IBT:SP:499196,Collection,"499196","Rossi, L; et al.",NA,Instituto de Botânica,NA,"Rossi, L",Desmodium discolor Vogel,-23.411389,-46.511667,NA,NA,2019-11-21T13:05:33Z,ef48401a-d9e5-467c-b40a-0146618d38de,WGS84,pt,Instituto de Botânica,NA,NA,95c82c2d-a9e0-4aa5-8a40-6c589bfd6822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-47.416306,-20.302028,"1213630981",Desmodium discolor Vogel,"gass84,colmafu,inmano",d82d5a18-0428-4e52-be16-f509153e8126,e97090cb-7731-41c7-ac24-31a841730654,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-25T14:29:39Z,2021-03-30T12:56:08Z,"241",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2967224","6","7707728","220","1370","5386","2967050","2967222","2967222",Desmodium subsecundum Vogel,Plantae,Tracheophyta,Fabales,Fabaceae,Desmodium,Desmodium subsecundum,Desmodium,discolor,SPECIES,SYNONYM,NA,NA,São Paulo,"2010","2","26",2010-02-26T00:00:00Z,2021-03-30T12:56:08Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,FALSE,Magnoliopsida,BR,none,none,Brazil,UB - Herbário da Universidade de Brasília,BRA:UNB:UB:174470,UNAERP1451AM,Franca/Pedregulho - SP,Franca,UB - Herbário da Universidade de Brasília,"1213630981",UB,BRA:UNB:UB:174470,Collection,"174470","Pereira, AMS",NA,UnB,NA,"Cordeiro, I",Desmodium discolor Vogel,-20.302028,-47.416306,"1051","0",2019-11-01T17:59:25Z,8b3ca7ca-6147-496a-8c97-7109f988ea2a,WGS84,pt,Universidade de Brasília,"Flor rósea.; Campo/Cerrado.",SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-47.459889,-20.271722,"1213647296",Desmodium discolor Vogel,"gass84,colmafu,inmano",d82d5a18-0428-4e52-be16-f509153e8126,e97090cb-7731-41c7-ac24-31a841730654,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-25T14:29:39Z,2021-03-30T12:56:09Z,"241",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2967224","6","7707728","220","1370","5386","2967050","2967222","2967222",Desmodium subsecundum Vogel,Plantae,Tracheophyta,Fabales,Fabaceae,Desmodium,Desmodium subsecundum,Desmodium,discolor,SPECIES,SYNONYM,NA,NA,São Paulo,"2010","2",NA,2010-02-01T00:00:00Z,2021-03-30T12:56:09Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,FALSE,Magnoliopsida,BR,none,none,Brazil,UB - Herbário da Universidade de Brasília,BRA:UNB:UB:190793,"930",NA,Pedregulho,UB - Herbário da Universidade de Brasília,"1213647296",UB,BRA:UNB:UB:190793,Collection,"190793","Pereira, AMS",NA,UnB,NA,NA,Desmodium discolor Vogel,-20.271722,-47.459889,"1047","0",2019-11-01T17:59:25Z,8b3ca7ca-6147-496a-8c97-7109f988ea2a,WGS84,pt,Universidade de Brasília,"Flor rósea.; Cerrado.",SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-48,-23.566667,"1086892089",Desmodium subsecundum Vogel,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:43Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2967222","6","7707728","220","1370","5386","2967050","2967222","2967222",Desmodium subsecundum Vogel,Plantae,Tracheophyta,Fabales,Fabaceae,Desmodium,Desmodium subsecundum,Desmodium,subsecundum,SPECIES,ACCEPTED,DD,2011-12-01T00:00:00Z,Sp,"1998","3","17",1998-03-17T00:00:00Z,2021-04-08T12:14:43Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,TRUE,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:23243,"314",Estação Experimental,Itapetininga,SPSF - Herbário Dom Bento José Pickel,"1086892089",SPSF,BRA:IF:SPSF:23243,Collection,"23243",L.C.Souza,NA,IF,NA,L.C.P.Lima,Desmodium subsecundum Vogel,-23.566667,-48,NA,NA,2021-03-04T18:43:13Z,835c4b58-e96d-49cc-b711-0f3de04547c0,WGS84,pt,Instituto Florestal,"COLETA: XLS: SPSFAntigo&nf;Herbácea; GEOGRAFIA: Campo dos Veados, mata.;",SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-48,-23.566667,"1094849426",Desmodium subsecundum Vogel,"gass84,incomis,diffown",2e684fd6-09e2-4661-910a-0a188b610c04,60545be9-4f28-4245-b4b4-07635c8dfa54,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:35:39Z,2021-04-08T12:39:24Z,"251",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2967222","6","7707728","220","1370","5386","2967050","2967222","2967222",Desmodium subsecundum Vogel,Plantae,Tracheophyta,Fabales,Fabaceae,Desmodium,Desmodium subsecundum,Desmodium,subsecundum,SPECIES,ACCEPTED,DD,2011-12-01T00:00:00Z,São Paulo,"1998","3","17",1998-03-17T00:00:00Z,2021-04-08T12:39:24Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,TRUE,Magnoliopsida,BR,none,none,Brazil,HUEFS - Herbario da Universidade Estadual de Feira de Santana,BRA:UEFS:HUEFS:131946,"314",Estação Experimental.,Itapetininga,HUEFS - Herbario da Universidade Estadual de Feira de Santana,"1094849426",HUEFS,BRA:UEFS:HUEFS:131946,Collection,"131946","Souza, L.C.",NA,UEFS,NA,L.C.P.Lima,Desmodium subsecundum Vogel,-23.566667,-48,NA,NA,2020-05-08T14:12:20Z,NA,WGS84,pt,Universidade Estadual de Feira de Santana,"Capão dos veados, mata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-49.160833,-24.274444,"1089051081",Desmodium discolor Vogel,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:56Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2967224","6","7707728","220","1370","5386","2967050","2967222","2967222",Desmodium subsecundum Vogel,Plantae,Tracheophyta,Fabales,Fabaceae,Desmodium,Desmodium subsecundum,Desmodium,discolor,SPECIES,SYNONYM,NA,NA,São Paulo,"1997","12","11",1997-12-11T00:00:00Z,2021-04-08T12:43:56Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,FALSE,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:098149,"537","Descida da Serra, 10 km de Bom Sucesso.",Bom Sucesso de Itararé,UEC - Herbário da Universidade Estadual de Campinas,"1089051081",UEC,BRA:UNICAMP:UEC:098149,Collection,"098149","Torezan, JMD; Rodrigues, RR; Arima, LIA; Pimenta, JA; Resende, JCF; Sifuentes, DVO",NA,UNICAMP,NA,NA,Desmodium discolor Vogel,-24.274444,-49.160833,NA,NA,2020-02-18T12:34:17Z,a995cf02-345c-46db-8674-3415572615a6,WGS84,pt,Universidade Estadual de Campinas,"flor, Erva prostrada, flores róseas, frutos imaturos verdes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
