X,Y,key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,dateIdentified,elevation,elevationAccuracy,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,identifiers,facts,relations,collectionKey,isInCluster,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,language,collectionCode,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,occurrenceRemarks,identifiedBy,name,institutionKey,gadm,typeStatus,otherCatalogNumbers,fieldNotes,data_cleaning_note,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.844444,-23.355556,"1213678390",Myrcia congestiflora Caliari & V.C.Souza,-23.355556,-44.844444,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:54Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8938562","6","7707728","220","690","5014","3173889","8938562","8938562",Myrcia congestiflora Caliari & V.C.Souza,Plantae,Tracheophyta,Myrtales,Myrtaceae,Myrcia,Myrcia congestiflora,Myrcia,congestiflora,SPECIES,ACCEPTED,2017-09-01T00:00:00Z,"64","11",São Paulo,"2009","1","14",2009-01-14T00:00:00Z,2021-03-01T19:36:35Z,2021-04-08T12:43:54Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:187136,"34","Parque Estadual da Serra do Mar, Núcleo Picinguaba,localizada ao longo da Trilha do Corisco, no Sertão da Casa da Farinha.",Ubatuba,UEC - Herbário da Universidade Estadual de Campinas,"1213678390",pt,UEC,BRA:UNICAMP:UEC:187136,Collection,"187136","Kamimura, VA; Assis, MA",UNICAMP,Universidade Estadual de Campinas,"Indivíduo nº C 647.; Floresta Ombrófila Densa de Terras Baixas","Meireles, LD",Myrcia congestiflora Caliari & V.C.Souza,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.844444,-23.355556,"1213678399",Myrcia congestiflora Caliari & V.C.Souza,-23.355556,-44.844444,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:54Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8938562","6","7707728","220","690","5014","3173889","8938562","8938562",Myrcia congestiflora Caliari & V.C.Souza,Plantae,Tracheophyta,Myrtales,Myrtaceae,Myrcia,Myrcia congestiflora,Myrcia,congestiflora,SPECIES,ACCEPTED,2017-09-01T00:00:00Z,"64","11",São Paulo,"2009","2","13",2009-02-13T00:00:00Z,2021-03-01T19:36:35Z,2021-04-08T12:43:54Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:187135,"33","Parque Estadual da Serra do Mar, Núcleo Picinguaba, localizada ao longo da trilha do Corisco, no Sertãoda Casa da Farinha.",Ubatuba,UEC - Herbário da Universidade Estadual de Campinas,"1213678399",pt,UEC,BRA:UNICAMP:UEC:187135,Collection,"187135","Kamimura, VA; Assis, MA",UNICAMP,Universidade Estadual de Campinas,"Indiíduo nº C 1029.; Floresta Ombrófila Densa de Terras Baixas.","Meireles, LD",Myrcia congestiflora Caliari & V.C.Souza,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.8325,-23.365556,"1089099513",Myrcia congestiflora Caliari & V.C.Souza,-23.365556,-44.8325,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:57Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8938562","6","7707728","220","690","5014","3173889","8938562","8938562",Myrcia congestiflora Caliari & V.C.Souza,Plantae,Tracheophyta,Myrtales,Myrtaceae,Myrcia,Myrcia congestiflora,Myrcia,congestiflora,SPECIES,ACCEPTED,2017-09-01T00:00:00Z,"76.5","12.5",São Paulo,"2009","3","15",2009-03-15T00:00:00Z,2021-03-01T19:36:35Z,2021-04-08T12:43:57Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:160960,"72",Sertão da Fazenda,Ubatuba,UEC - Herbário da Universidade Estadual de Campinas,"1089099513",pt,UEC,BRA:UNICAMP:UEC:160960,Collection,"160960","Cavalin, PO",UNICAMP,Universidade Estadual de Campinas,"Indivíduo juvenil, 1-2 m de altura.; Sub-bosque Floresta Ombrófila Densa.","Meireles, LD",Myrcia congestiflora Caliari & V.C.Souza,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-45.067778,-23.341111,"1089099453",Myrcia congestiflora Caliari & V.C.Souza,-23.341111,-45.067778,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:57Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8938562","6","7707728","220","690","5014","3173889","8938562","8938562",Myrcia congestiflora Caliari & V.C.Souza,Plantae,Tracheophyta,Myrtales,Myrtaceae,Myrcia,Myrcia congestiflora,Myrcia,congestiflora,SPECIES,ACCEPTED,2017-09-01T00:00:00Z,"1070","24",São Paulo,"2009","6","23",2009-06-23T00:00:00Z,2021-03-01T19:36:35Z,2021-04-08T12:43:57Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:160897,"9",Núcleo Santa Virgínia,São Luiz do Paraitinga,UEC - Herbário da Universidade Estadual de Campinas,"1089099453",pt,UEC,BRA:UNICAMP:UEC:160897,Collection,"160897","Cavalin, PO",UNICAMP,Universidade Estadual de Campinas,"Indivíduo juvenil, 1-2 m de altura.; Sub-bosque Floresta Ombrófila Densa.","Meireles, LD",Myrcia congestiflora Caliari & V.C.Souza,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-45.0711,-23.4339,"1090576520",Myrcia congestiflora Caliari & V.C.Souza,-23.4339,-45.0711,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:51Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8938562","6","7707728","220","690","5014","3173889","8938562","8938562",Myrcia congestiflora Caliari & V.C.Souza,Plantae,Tracheophyta,Myrtales,Myrtaceae,Myrcia,Myrcia congestiflora,Myrcia,congestiflora,SPECIES,ACCEPTED,2017-10-15T00:00:00Z,NA,NA,São Paulo,"2008","6","19",2008-06-19T00:00:00Z,2020-11-23T14:39:24Z,2021-03-30T09:40:51Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:49679,"1887","Parque Estadual da Serra do Mar, Núcleo Picinguaba, Casa da Farinha",Ubatuba,IAC - Herbário do Instituto Agronômico de Campinas,"1090576520",pt,IAC,BRA:IAC:IAC:49679,Collection,"49679","R.B. Torres; J.A.M.A. Gomes & C.B. Virillo",IAC,Instituto Agronômico de Campinas,NA,L.D. Meireles,Myrcia congestiflora Caliari & V.C.Souza,841aebec-2beb-4b59-96f1-fdf9d91ccff8,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-45.079465,-23.380814,"1090576021",Myrcia congestiflora Caliari & V.C.Souza,-23.380814,-45.079465,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:51Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8938562","6","7707728","220","690","5014","3173889","8938562","8938562",Myrcia congestiflora Caliari & V.C.Souza,Plantae,Tracheophyta,Myrtales,Myrtaceae,Myrcia,Myrcia congestiflora,Myrcia,congestiflora,SPECIES,ACCEPTED,2017-09-15T00:00:00Z,NA,NA,São Paulo,"2007","5","4",2007-05-04T00:00:00Z,2020-11-23T14:39:24Z,2021-03-30T09:40:51Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:49187,"392","Fazenda Capricórnio, Núcleo Picinguaba/PESM, Parcela F",Ubatuba,IAC - Herbário do Instituto Agronômico de Campinas,"1090576021",pt,IAC,BRA:IAC:IAC:49187,Collection,"49187","E. Ramos; H.R. Gonçalves & S. Santos",IAC,Instituto Agronômico de Campinas,"Subparcela 38 indivíduo F0512.&nf;Nome popular: araçarana",L.D. Meireles,Myrcia congestiflora Caliari & V.C.Souza,841aebec-2beb-4b59-96f1-fdf9d91ccff8,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-45.080223,-23.373498,"1090575934",Myrcia congestiflora Caliari & V.C.Souza,-23.373498,-45.080223,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:51Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8938562","6","7707728","220","690","5014","3173889","8938562","8938562",Myrcia congestiflora Caliari & V.C.Souza,Plantae,Tracheophyta,Myrtales,Myrtaceae,Myrcia,Myrcia congestiflora,Myrcia,congestiflora,SPECIES,ACCEPTED,2017-09-15T00:00:00Z,NA,NA,São Paulo,"2006","11","7",2006-11-07T00:00:00Z,2020-11-23T14:39:24Z,2021-03-30T09:40:51Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:49062,"417","Fazenda Capricórnio, Parcela G (Parque Estadual da Serra do Mar, Núcleo Picinguaba)",Ubatuba,IAC - Herbário do Instituto Agronômico de Campinas,"1090575934",pt,IAC,BRA:IAC:IAC:49062,Collection,"49062","J.A.M.A. Gomes; L.C. Bernacci; O.A. Santos; S. Santos & F.J. Benedetti",IAC,Instituto Agronômico de Campinas,"subparcela 23, indivíduo G 385",L.D. Meireles,Myrcia congestiflora Caliari & V.C.Souza,841aebec-2beb-4b59-96f1-fdf9d91ccff8,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.8,-23.366667,"1089109648",Myrcia congestiflora Caliari & V.C.Souza,-23.366667,-44.8,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:57Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8938562","6","7707728","220","690","5014","3173889","8938562","8938562",Myrcia congestiflora Caliari & V.C.Souza,Plantae,Tracheophyta,Myrtales,Myrtaceae,Myrcia,Myrcia congestiflora,Myrcia,congestiflora,SPECIES,ACCEPTED,2017-09-01T00:00:00Z,NA,NA,São Paulo,"1997","2","5",1997-02-05T00:00:00Z,2021-03-01T19:36:35Z,2021-04-08T12:43:57Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:173709,"965","Picinguaba, margens do Rio da Fazenda.",Ubatuba,UEC - Herbário da Universidade Estadual de Campinas,"1089109648",pt,UEC,BRA:UNICAMP:UEC:173709,Collection,"173709","Pedroni, F; Sanchez, M",UNICAMP,Universidade Estadual de Campinas,"Árvore s/ num com flores de cor creme.; Mata Atlântica de Encosta.","Meireles, LD",Myrcia congestiflora Caliari & V.C.Souza,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.8,-23.366667,"1089087535",Myrcia congestiflora Caliari & V.C.Souza,-23.366667,-44.8,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:53Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8938562","6","7707728","220","690","5014","3173889","8938562","8938562",Myrcia congestiflora Caliari & V.C.Souza,Plantae,Tracheophyta,Myrtales,Myrtaceae,Myrcia,Myrcia congestiflora,Myrcia,congestiflora,SPECIES,ACCEPTED,2017-09-01T00:00:00Z,NA,NA,São Paulo,"1997","4","16",1997-04-16T00:00:00Z,2021-03-01T19:36:35Z,2021-04-08T12:43:53Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:146463,"1345","Picinguaba, Morro do Corisco",Ubatuba,UEC - Herbário da Universidade Estadual de Campinas,"1089087535",pt,UEC,BRA:UNICAMP:UEC:146463,Collection,"146463","Sanchez, M; Pedroni, F; Laps, RR; Belinello, R",UNICAMP,Universidade Estadual de Campinas,"árvore sem número, 6m altura, com flores; Mata Atlântica de Encosta","Meireles, LD",Myrcia congestiflora Caliari & V.C.Souza,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.835,-23.336667,"1089110386",Myrcia congestiflora Caliari & V.C.Souza,-23.336667,-44.835,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:57Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8938562","6","7707728","220","690","5014","3173889","8938562","8938562",Myrcia congestiflora Caliari & V.C.Souza,Plantae,Tracheophyta,Myrtales,Myrtaceae,Myrcia,Myrcia congestiflora,Myrcia,congestiflora,SPECIES,ACCEPTED,2017-09-01T00:00:00Z,NA,NA,São Paulo,"1996","4","30",1996-04-30T00:00:00Z,2021-03-01T19:36:35Z,2021-04-08T12:43:57Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:174496,"2424",Picinguaba.,Ubatuba,UEC - Herbário da Universidade Estadual de Campinas,"1089110386",pt,UEC,BRA:UNICAMP:UEC:174496,Collection,"174496","Sanchez, M; Pedroni, F",UNICAMP,Universidade Estadual de Campinas,"Mata Atlântica de Encosta, próximo à trilha do corisco, altitude 120m, àrvore número s. número com . m de altura, com frutos imaturos amarelos.","Meireles, LD",Myrcia congestiflora Caliari & V.C.Souza,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
