X,Y,key,scientificName,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,dateIdentified,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,identifiers,facts,relations,gadm,institutionKey,collectionKey,isInCluster,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,language,collectionCode,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,identifiedBy,name,decimalLatitude,decimalLongitude,elevation,geodeticDatum,otherCatalogNumbers,occurrenceRemarks,elevationAccuracy,continent,individualCount,preparations,references,verbatimEventDate,institutionID,nomenclaturalCode,endDayOfYear,county,startDayOfYear,verbatimElevation,collectionID,fieldNotes,higherGeography,fieldNumber,verbatimLocality,previousIdentifications,higherClassification,nomenclaturalStatus,taxonID,bibliographicCitation,accessRights,coordinateUncertaintyInMeters,habitat,georeferenceSources,http...unknown.org.recordId,rights,reproductiveCondition,georeferenceProtocol,eventRemarks,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,lifeStage,georeferencedBy,dynamicProperties,georeferenceVerificationStatus,http...unknown.org.recordEnteredBy,organismID,locationID,datasetID,georeferencedDate,identificationID,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,typeStatus,typifiedName,data_cleaning_note,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.985833,-24.061944,"1316183651",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:57Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,NA,São Paulo,"2015","2","12",2015-02-12T00:00:00Z,2021-03-01T19:31:25Z,2021-04-08T12:43:57Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,NA,a995cf02-345c-46db-8674-3415572615a6,FALSE,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:189061,"303",Parque Estadual Carlos Botelho,São Miguel Arcanjo,UEC - Herbário da Universidade Estadual de Campinas,"1316183651",pt,UEC,BRA:UNICAMP:UEC:189061,Collection,"189061","Silva, BG; Castello, ACD; Kataoka, EY; Vidal Junior, JD",UNICAMP,Universidade Estadual de Campinas,NA,Tachigali denudata (Vogel) Oliveira-Filho,-24.061944,-47.985833,"800",WGS84,NA,"Árvore, 7 m de altura e 5,1 cm de DAP; Floresta Ombrófila Densa","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.454167,-23.394722,"2027488202",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:43Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,2015-01-20T00:00:00Z,Sp,"2013","12","19",2013-12-19T00:00:00Z,2021-03-04T18:43:27Z,2021-04-08T12:14:43Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,NA,835c4b58-e96d-49cc-b711-0f3de04547c0,TRUE,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:52755,"1053",NA,Guarulhos,SPSF - Herbário Dom Bento José Pickel,"2027488202",pt,SPSF,BRA:IF:SPSF:52755,Collection,"52755",R.J.Almeida-Scabbia & C.Kameyama,IF,Instituto Florestal,L.Rossi,Tachigali denudata (Vogel) Oliveira-Filho,-23.394722,-46.454167,"745",WGS84,NA,"COLETA: Árvore caída de aprox 20m de altura. Frutos verdes.; GEOGRAFIA: Área de floresta em processo de supressão. Alça de acesso ao Aeroporto de Guarulhos.;","0",SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.454278,-23.394611,"2452944934",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,colmafu,inmafu",17efa320-7312-4b55-bf0a-a4cfc4613169,2437c128-bf8c-4f53-b668-da95fb2e40b7,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-12T14:19:10Z,2021-04-12T14:22:18Z,"252",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,2015-01-20T00:00:00Z,São Paulo,"2013","12","19",2013-12-19T00:00:00Z,2019-11-21T13:06:49Z,2021-04-12T14:22:18Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,95c82c2d-a9e0-4aa5-8a40-6c589bfd6822,ef48401a-d9e5-467c-b40a-0146618d38de,TRUE,Magnoliopsida,BR,none,none,Brazil,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",BRA:IBT:SP:491427,"1053",Alça de acesso ao Aeroporto de Guarulhos.,Guarulhos,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","2452944934",pt,SP,BRA:IBT:SP:491427,Collection,"491427","Almeida Scabbia, RJ; Kameyama, C",Instituto de Botânica,Instituto de Botânica,"Rossi, L",Tachigali denudata (Vogel) Oliveira-Filho,-23.394611,-46.454278,"745",WGS84,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-45.183333,-23.4,"1899744827",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:57Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,NA,São Paulo,"2009",NA,NA,2009-01-01T00:00:00Z,2021-03-01T19:31:25Z,2021-04-08T12:43:57Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,NA,a995cf02-345c-46db-8674-3415572615a6,FALSE,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:200156,M475,Parque Estadual da Serra do Mar,São Luiz do Paraitinga,UEC - Herbário da Universidade Estadual de Campinas,"1899744827",pt,UEC,BRA:UNICAMP:UEC:200156,Collection,"200156","Padgurschi, MCG; Belinello, R",UNICAMP,Universidade Estadual de Campinas,NA,Tachigali denudata (Vogel) Oliveira-Filho,-23.4,-45.183333,"1017.5",WGS84,NA,Parcela M - Projeto Biota-FAPESP. Árvore com 16 metros de altura. Frequência da espécie na parcela: n=5,"27.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-49.068056,-24.080833,"1086908756",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:46Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,2010-01-26T00:00:00Z,Sp,"2008","5","29",2008-05-29T00:00:00Z,2021-03-04T18:43:27Z,2021-04-08T12:14:46Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,NA,835c4b58-e96d-49cc-b711-0f3de04547c0,FALSE,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:40177,"742",Estação Ecológica,Itapeva,SPSF - Herbário Dom Bento José Pickel,"1086908756",pt,SPSF,BRA:IF:SPSF:40177,Collection,"40177",R.Cielo-Filho & C.R.Lima & J.B.Baitello,IF,Instituto Florestal,J.A.Pastore,Tachigali denudata (Vogel) Oliveira-Filho,-24.080833,-49.068056,NA,WGS84,NA,"COLETA: Árvore 15 m, fruto antigo, casca levemente fissurada.;",NA,SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.736944,-22.645278,"1316167198",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,incomis,diffown",1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3,76dbcb10-efc5-4d5f-87a5-bcd409fc92c8,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-25T18:05:03Z,2021-03-30T09:57:30Z,"256",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,2009-01-01T00:00:00Z,São Paulo,"2008","5","25",2008-05-25T00:00:00Z,2019-11-13T14:23:21Z,2021-03-30T09:57:30Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,NA,NA,FALSE,Magnoliopsida,BR,none,none,Brazil,SPF - Herbário da Universidade de São Paulo,BRA:USP:SPF:200411,"38",NA,Areias,SPF - Herbário da Universidade de São Paulo,"1316167198",pt,SPF,BRA:USP:SPF:200411,Collection,"200411","Freitas, HS",USP,Universidade de São Paulo,"Lima, HC",Tachigali denudata (Vogel) Oliveira-Filho,-22.645278,-44.736944,"731",WGS84,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-45.084167,-23.366389,"1089089343",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:53Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,2017-08-01T00:00:00Z,São Paulo,"2007","1","9",2007-01-09T00:00:00Z,2019-08-20T13:15:18Z,2021-04-08T12:43:53Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,NA,a995cf02-345c-46db-8674-3415572615a6,FALSE,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:148920,"511","Fazenda Capricórnio, Parcela J",Ubatuba,UEC - Herbário da Universidade Estadual de Campinas,"1089089343",pt,UEC,BRA:UNICAMP:UEC:148920,Collection,"148920","Aranha, BA",UNICAMP,Universidade Estadual de Campinas,"Escobar, NAG",Tachigali denudata (Vogel) Oliveira-Filho,-23.366389,-45.084167,"380",WGS84,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.835556,-23.338056,"1089102267",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:54Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,2007-07-01T00:00:00Z,São Paulo,"2007","6","8",2007-06-08T00:00:00Z,2021-03-01T19:31:25Z,2021-04-08T12:43:54Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,NA,a995cf02-345c-46db-8674-3415572615a6,FALSE,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:164015,"850","Parque Estadual da Serra do Mar, Picinguaba.",Ubatuba,UEC - Herbário da Universidade Estadual de Campinas,"1089102267",pt,UEC,BRA:UNICAMP:UEC:164015,Collection,"164015","Silva, ED",UNICAMP,Universidade Estadual de Campinas,"Silva, ED",Tachigali denudata (Vogel) Oliveira-Filho,-23.338056,-44.835556,"39",WGS84,NA,"Árvore 13 m, estéril.; Floresta Ombrófila Densa de Terras Baixas.","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-45.081946,-23.373397,"1090576618",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:51Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,2007-10-01T00:00:00Z,São Paulo,"2007","10","1",2007-10-01T00:00:00Z,2019-01-25T17:41:21Z,2021-03-30T09:40:51Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,841aebec-2beb-4b59-96f1-fdf9d91ccff8,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:49786,"506","Fazenda Capricórnio, Núcleo Picinguaba/PESM, Parcela H",Ubatuba,IAC - Herbário do Instituto Agronômico de Campinas,"1090576618",pt,IAC,BRA:IAC:IAC:49786,Collection,"49786","E. Ramos; H.R. Gonçalves & S. Santos",IAC,Instituto Agronômico de Campinas,E. Ramos et al.,Tachigali denudata (Vogel) Oliveira-Filho,-23.373397,-45.081946,NA,WGS84,NA,"Subparcela 47, Indivíduo H0704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-45.0711,-23.4339,"1090580564",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:55Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,2006-05-06T00:00:00Z,São Paulo,"2006","5","6",2006-05-06T00:00:00Z,2019-01-25T17:41:21Z,2021-03-30T09:40:55Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,841aebec-2beb-4b59-96f1-fdf9d91ccff8,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:53732,"239","Núcleo Picinguaba/PESM, trilha da Casa de Farinha",Ubatuba,IAC - Herbário do Instituto Agronômico de Campinas,"1090580564",pt,IAC,BRA:IAC:IAC:53732,Collection,"53732","M.C.R. Campos; M.A. Assis; A. Guaraldo & R. Belinelo",IAC,Instituto Agronômico de Campinas,M.C.R. Campos et al.,Tachigali denudata (Vogel) Oliveira-Filho,-23.4339,-45.0711,NA,WGS84,NA,"parcela E, subparcela 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
