X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,typeStatus,coordinatePrecision,geoFlag,maximumElevationInMeters,yearIdentified,monthIdentified,fieldNumber,dayIdentified,verbatimLongitude,verbatimLatitude,class,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.9599990844727,-23.0699996948242,"11",2021-03-01 16:36:10-03,UNICAMP,UEC,"85548",S,Plantae,Magnoliopsida,NA,Myrtaceae,Campomanesia,simulans,Campomanesia simulans,M.L.Kawas.,"Baitello, JB","445","1994","03","28",NA,Brazil,São Paulo,Cunha,"Parque estadual da Serra do Mar, Estrada de acesso ao núcleo",-44.9599990844727,-23.0699996948242,NA,NA,"Árvore mediana, frutos claros esverdeados",UEC055413,UEC055413,"Ibrahim, M",paratypus,"38855",auto,NA,"2010","03",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"15",2020-12-11 11:39:03-03,UFMG,BHCB,"150298",PreservedSpecimen,Plantae,Dicotyledon,NA,Myrtaceae,Campomanesia,simulans,Campomanesia simulans,M.L.Kawas.,"Arzolla, FARDP","453","2004","01","28",Southern America,Brasil,São Paulo,Cunha,"Estrada de acesso ao Núcleo, margens do Rio Paraibuna",-44.9599990844727,-23.0699996948242,NA,NA,"Árvore, 8m de altura, com frutos imaturos verdes. Gabiroba",BHCB003142,NA,NA,NA,"38855",auto,NA,"2004","02",NA,"06",NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.399167,-22.745,"21",2019-11-13 11:26:38-03,USP,SPF,"185543",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Campomanesia,simulans,Campomanesia simulans,M.L.Kawas.,"Cardim, RH","38","2006","10","05",NA,Brasil,São Paulo,Pedra Bela,NA,-46.399167,-22.745,"1103",NA,NA,SPF00185543,NA,"Faria, JEQ",NA,NA,NA,"1103","2012","10",NA,NA,"-46.399167","-22.745",NA,"35",São Paulo,SP,Sudeste
-45.7,-22.8,"26",2019-10-07 09:35:08-03,UEFS,HUEFS,"83425",PreservedSpecimen,Plantae,Angiospermae,Myrtales,Myrtaceae,Campomanesia,simulans,Campomanesia simulans,M.L.Kawas.,"França, F.","4873","2004","01","30",NA,Brasil,São Paulo,Santo Antônio do Pinhal,Pousada Champagny.,-45.7,-22.8,"980",NA,Mata com Araucária.,HUEFS0083425,HUEFS0083425,M.Ibrahim,NA,NA,NA,"980","2011","12",NA,NA,45W42',22S48',Rosanae,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"27",2019-10-07 09:35:08-03,UEFS,HUEFS,"162626",PreservedSpecimen,Plantae,Angiospermae,Myrtales,Myrtaceae,Campomanesia,simulans,Campomanesia simulans,M.L.Kawas.,"Souza, M.C.","467","2006","10","27",NA,Brasil,São Paulo,Cunha,Estrada para Pedra da Marcela.,-44.9599990844727,-23.0699996948242,NA,NA,NA,HUEFS0162626,HUEFS0162626,NA,NA,"38855",auto,NA,NA,NA,NA,NA,NA,NA,Rosanae,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"32",2020-11-12 17:01:50-03,UEL,FUEL,"39088",PreservedSpecimen,Plantae,Tracheophyta,Myrtales,Myrtaceae,Campomanesia,simulans,Campomanesia simulans,M.L.Kawas.,"Arzolla, FARDP","377","2003","12","23",NA,Brasil,São Paulo,Cunha,Estrada de acesso ao Núcleo,-44.9599990844727,-23.0699996948242,NA,NA,NA,FUEL008265,NA,"Aguiar, OT",NA,"38855",auto,NA,"2004","01",NA,"15",NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.96,-23.07,"34",2019-11-01 15:05:16-03,UnB,UB,"169110",PreservedSpecimen,Plantae,Dicotyledoneae,NA,Myrtaceae,Campomanesia,simulans,Campomanesia simulans,M.L. Kawas.,"Souza, MC; Sobral, M; Salgueiro, F","467","2006","10","27",Southern America,Brasil,São Paulo,Cunha,Estrada para Pedra da Marcela.,-44.96,-23.07,NA,NA,Arbusto de 3 metros de altura com flores.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-44.96","-23.07",NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"37",2021-03-04 15:45:14-03,IF,SPSF,"32865",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Campomanesia,simulans,Campomanesia simulans,NA,F.A.R.D.P.Arzolla,"377","2003","12","23",América do Sul,Brasil,SP,Cunha,estrada de acesso ao Núcleo,-44.9599990844727,-23.0699996948242,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,"38855",auto,NA,NA,NA,NA,NA,NA,NA,Magnoliopsida,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"38",2021-03-04 15:45:14-03,IF,SPSF,"33018",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Campomanesia,simulans,Campomanesia simulans,NA,F.A.R.D.P.Arzolla,"453","2004","01","28",América do Sul,Brasil,SP,Cunha,"Parque Estadual, trilha do rio Bonito",-44.9599990844727,-23.0699996948242,NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: margens do rio Paraibuna&nf;;",NA,NA,NA,NA,"38855",auto,NA,NA,NA,NA,NA,NA,NA,Magnoliopsida,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"43",2019-11-21 10:11:13-03,IBt,SP,"334059",S,Plantae,NA,NA,Myrtaceae,Campomanesia,simulans,Campomanesia simulans,M.L.Kawas.,"Baitello, JB","445","1994","03","28",NA,Brasil,São Paulo,Cunha,"Parque Estadual da Serra do Mar, Estrada de acesso ao núcleo",-44.9599990844727,-23.0699996948242,NA,NA,"Árvore mediana, frutos claros esverdeados",SP056425,SP056425,"Kawasaki, ML",NA,"38855",auto,NA,"2000",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
