X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,occurrenceRemarks,barcode,imagecode,geoFlag,minimumElevationInMeters,maximumElevationInMeters,fieldNumber,preparationType,continentOcean,verbatimLongitude,verbatimLatitude,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.060001373291,-22.8999996185303,"3",2021-03-01 16:18:54-03,UNICAMP,UEC,"185360",S,Plantae,Liliopsida,Amaryllidaceae,Griffinia,hyacinthina,Griffinia hyacinthina,(Ker Gawl.) Ker Gawl.,"Campos-Rocha, A","2015","06",NA,"Bernacci, LC","4790","2009","12","03",Brazil,São Paulo,Campinas,"Brasil, São Paulo, Município de Campinas, IAC, Fazenda Santa Elisa - 22.9056N; 47.0608L.",-47.060001373291,-22.8999996185303,"23900","Erva bulbosa, ca. 0,3m alt., folhas com nervação reticulada; base da pecíolo vináceo, escapo róseo na base achatado lateralmente com flores brancas, inflorescências rosadas no interior; anteras acinzentadas.",UEC105960,UEC105960,auto,"650","650",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"4",2019-08-20 09:58:56-03,UNICAMP,UEC,"138994",S,Plantae,Liliopsida,Amaryllidaceae,Griffinia,hyacinthina,Griffinia hyacinthina,(Ker Gawl.) Ker Gawl.,"Dutilh, JHA","2014","03",NA,"Singer, RB","9904","1999","03","28",Brazil,São Paulo,Ubatuba,"Parque Estadual Serra do Mar, Núcleo Picinguaba.",-45.0699996948242,-23.4300003051758,"34265",NA,UEC090275,UEC090275,auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"5",2021-03-01 16:18:54-03,UNICAMP,UEC,"173268",S,Plantae,Liliopsida,Amaryllidaceae,Griffinia,hyacinthina,Griffinia hyacinthina,(Ker Gawl.) Ker Gawl.,NA,NA,NA,NA,"Sanchez, M; Pedroni, F","2327","1997","03","12",Brazil,São Paulo,Ubatuba,"Picinguaba, 23º 22'S ; 44º 48'W .",-45.0699996948242,-23.4300003051758,"34265","Com pétalas brancas com margem lilás.; Mata Atlântica de encosta, margens do Rio da Fazenda.",UEC084307,UEC084307,auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"6",2019-08-20 09:58:56-03,UNICAMP,UEC,"100244",S,Plantae,Liliopsida,Amaryllidaceae,Griffinia,hyacinthina,Griffinia hyacinthina,(Ker Gawl.) Ker Gawl.,"Dutilh, JHA","2001","09",NA,"Pansarin, ER; Singer, RB; Castro, CC; Mendonça, TG; Mendonça, NG; Moura, deC","167","1998","03","15",Brazil,São Paulo,Ubatuba,"Picinguaba, Trilha do Corisco",-45.0699996948242,-23.4300003051758,"34265",flor,UEC090429,UEC090429,auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.836956,-23.3403,"11",2020-12-11 11:43:19-03,UFMG,BHCB,"59178",PreservedSpecimen,Plantae,Monocotyledon,Amaryllidaceae,Griffinia,hyacinthina,Griffinia hyacinthina,Ker-Gawl.,NA,"2015","06",NA,"Lombardi, JA","4343","2001","05","02",Brasil,São Paulo,Ubatuba,"Núcleo Picinguaba, Trilha Casa da Farinha-Paraty.",-44.836956,-23.3403,NA,"Erva rupícola, carnosa, folhas papiráceas, pecíolo e pedúnculo avermelhados, frutos imaturos verdes.; Mata atlântica de encosta.",BHCB012361,BHCB012361,NA,NA,NA,NA,NA,Southern America,"-44.836956","-23.3403","35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"13",2020-06-17 15:23:53-03,UNESP-RC,HRCB,"11519",PreservedSpecimen,Plantae,NA,Amaryllidaceae,Griffinia,hyacinthina,Griffinia hyacinthina,(Ker Gawl.) Ker Gawl.,Julie Dutilh,NA,NA,NA,"Garcia, F. C. P.",NA,NA,NA,NA,Brasil,São Paulo,Ubatuba,Picinguaba - Parque Estadual da Serra do Mar,-45.0699996948242,-23.4300003051758,"34265",NA,NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"14",2020-06-17 15:23:53-03,UNESP-RC,HRCB,"10422",PreservedSpecimen,Plantae,NA,Amaryllidaceae,Griffinia,hyacinthina,Griffinia hyacinthina,(Ker Gawl.) Ker Gawl.,Julie Dutilh,NA,NA,NA,"Garcia, F. C. P.",NA,NA,NA,NA,Brasil,São Paulo,Ubatuba,Picinguaba,-45.0699996948242,-23.4300003051758,"34265",NA,NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"15",2020-06-15 15:28:17-03,UNESP-RC,HRCB,"8817",PreservedSpecimen,Plantae,NA,Amaryllidaceae,Griffinia,hyacinthina,Griffinia hyacinthina,(Ker Gawl.) Ker Gawl.,"Campos-Rocha, A.",NA,NA,NA,Ribeiro,NA,NA,NA,NA,Brasil,São Paulo,Ubatuba,Pincinguaba,-45.0699996948242,-23.4300003051758,"34265",NA,NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"16",2020-06-15 15:28:17-03,UNESP-RC,HRCB,"10001",PreservedSpecimen,Plantae,NA,Amaryllidaceae,Griffinia,hyacinthina,Griffinia hyacinthina,(Ker Gawl.) Ker Gawl.,J.H.A. Dutilh,NA,NA,NA,Furlan,NA,NA,NA,NA,Brasil,São Paulo,Ubatuba,Pincinguaba,-45.0699996948242,-23.4300003051758,"34265",NA,NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"17",2020-06-15 15:28:17-03,UNESP-RC,HRCB,"23859",PreservedSpecimen,Plantae,NA,Amaryllidaceae,Griffinia,hyacinthina,Griffinia hyacinthina,(Ker Gawl.) Ker Gawl.,"Campos-Rocha, A.",NA,NA,NA,Assis,NA,NA,NA,NA,Brasil,São Paulo,Ubatuba,Pincinguaba,-45.0699996948242,-23.4300003051758,"34265",NA,NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
