X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,monthIdentified,class,dayIdentified,fieldNumber,typeStatus,individualCount,relatedCatalogItem,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.3499984741211,-23.7700004577637,"17",2020-01-20 14:40:46-03,UPM,MACK,"3225",PreservedSpecimen,Plantae,NA,NA,Nyctaginaceae,Guapira,nitida,Guapira nitida,(Mart. ex J.A.Schmidt) Lundell,NA,J. Teixeira,"100","2011","10","01",NA,Brasil,SP,Ilhabela,NA,-45.3499984741211,-23.7700004577637,NA,NA,"HMACK00003225-J.Teixeira100-1/10/2011,,Ilhabela,SP,Brasil",NA,"23719",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5,-23.9599990844727,"28",2020-11-04 12:17:13-03,ESALQ,ESA,"128322",PreservedSpecimen,Plantae,Magnoliophyta,NA,Nyctaginaceae,Guapira,nitida,Guapira nitida,NA,NA,"Virillo, C.B.","228.0","2013","04","03",NA,Brasil,São Paulo,Tapiraí,Reserva Particular da Votorantim (CBA). UHE Barra. Floresta Ombrófila Densa com trechos degradados e conservados,-47.5,-23.9599990844727,NA,NA,ESA128322,ESA128322,"41034",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.36,-24.09,"36",2015-07-02 14:03:26-03,JBP,HPL,"5800",S,Plantae,NA,NA,Nyctaginaceae,Guapira,cf. nitida,Guapira cf. nitida,(Mart. ex J.A. Schmidt) Lundell,G.F. Arbocz,G.F. Arbocz,"540","1994","08","03",NA,Brasil,SP,Ribeirão Grande,"Coletado na fazenda Intervales, base São Pedro.",-48.36,-24.09,NA,NA,NA,NA,"25028",auto,NA,NA,NA,NA,"1994","08",NA,"03",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.183333,-23.4,"65",2021-03-01 16:37:05-03,UNICAMP,UEC,"200462",S,Plantae,Magnoliopsida,NA,Nyctaginaceae,Guapira,nitida,Guapira nitida,(J.A.Schmidt) Lundell,"Tamashiro, JY","Pereira, LS; Belinello, R; Gomes, JAMA",N314,"2007","12",NA,NA,Brazil,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.183333,-23.4,NA,"Parcela N - Projeto Biota-FAPESP. Árvore com 3.5 metros de altura. Frequência da espécie na parcela: n=14; Mata Atlântica",UEC158121,UEC158121,NA,NA,"-45.183333","-23.4","990","1045","2008",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.945278,-23.330333,"66",2021-03-01 16:37:05-03,UNICAMP,UEC,"160415",S,Plantae,Magnoliopsida,NA,Nyctaginaceae,Guapira,nitida,Guapira nitida,(J.A.Schmidt) Lundell,"Marchiori, NM","Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","221","2011","01","26",NA,Brazil,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.945278,-23.330333,NA,"Material vegetativo. Cerca de 4 m de altura e 7 indivíduos distribuídos em 1 ha.; Floresta Ombrófila Densa Montana.",UEC009945,UEC009945,NA,NA,"-45.945278","-23.330333","999","999","2011","05",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"121",2020-12-21 16:37:48-03,MBM,MBM,"253288",PreservedSpecimen,Plantae,NA,NA,Nyctaginaceae,Guapira,nitida,Guapira nitida,(Mart. ex J.A. Schmidt) Lundell,"Furlan, A.","Dittrich, VA de O; Jorge, M de CO; Jorge, M de CO","422",NA,NA,NA,Southern America,Brazil,São Paulo,Ubatuba,Morro do Corcovado,-45.0699996948242,-23.4300003051758,NA,NA,MBM253288,MBM253288,"34265",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"150",2020-06-17 15:25:20-03,UNESP-RC,HRCB,"10796",PreservedSpecimen,Plantae,NA,NA,Nyctaginaceae,Guapira,nitida,Guapira nitida,(J.A. Schmidt) Lundell,A. Furlan,"Furlan, A.",NA,NA,NA,NA,NA,Brasil,São Paulo,Ubatuba,Picinguaba,-45.0699996948242,-23.4300003051758,NA,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"151",2020-06-17 15:25:20-03,UNESP-RC,HRCB,"12842",PreservedSpecimen,Plantae,NA,NA,Nyctaginaceae,Guapira,nitida,Guapira nitida,(J.A. Schmidt) Lundell,A. Furlan,"Furlan, A.",NA,NA,NA,NA,NA,Brasil,São Paulo,Ubatuba,Picinguaba,-45.0699996948242,-23.4300003051758,NA,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"152",2020-06-17 15:25:20-03,UNESP-RC,HRCB,"33314",PreservedSpecimen,Plantae,NA,NA,Nyctaginaceae,Guapira,nitida,Guapira nitida,(J.A. Schmidt) Lundell,Marco A. de Assis,"Assis, M. A. de",NA,NA,NA,NA,NA,Brasil,São Paulo,Ubatuba,Picinguaba,-45.0699996948242,-23.4300003051758,NA,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"153",2020-06-17 15:25:21-03,UNESP-RC,HRCB,"8771",PreservedSpecimen,Plantae,NA,NA,Nyctaginaceae,Guapira,nitida,Guapira nitida,(J.A. Schmidt) Lundell,A. Furlan,"Ribeiro, J. E. L. S.",NA,NA,NA,NA,NA,Brasil,São Paulo,Ubatuba,Picinguaba,-45.0699996948242,-23.4300003051758,NA,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"154",2020-06-17 15:25:21-03,UNESP-RC,HRCB,"8792",PreservedSpecimen,Plantae,NA,NA,Nyctaginaceae,Guapira,nitida,Guapira nitida,(J.A. Schmidt) Lundell,A. Furlan,"Ribeiro, J. E. L. S.",NA,NA,NA,NA,NA,Brasil,São Paulo,Ubatuba,Picinguaba,-45.0699996948242,-23.4300003051758,NA,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
