X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,stateProvince,county,coordinatePrecision,geoFlag,class,relatedCatalogItem,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,typeStatus,fieldNumber,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.621883,-23.654505,"5",2021-03-15 16:37:00-03,NY,NYBG,"796899",PreservedSpecimen,Plantae,Magnoliophyta,Asterales,Asteraceae,Mikania,chlorolepis,Mikania chlorolepis,Baker,J. F. de Toledo,F. C. Hoehne,s.n.,"1932","06","13",South America,Brazil,"Capital, Parque do Estado",-46.621883,-23.654505,NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535923' target='other'> <mi>dwc_moreinfo</mi></a>,NY00796899,NY00796899_01,São Paulo,Sao Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"14",2019-12-12 15:31:37-03,UFABC,HUFABC,"000401",PreservedSpecimen,Plantae,Angiospermas,NA,Asteraceae,Mikania,chlorolepis,Mikania chlorolepis,Baker,NA,"Mourad, B M","19","2014","01","14",NA,Brasil,Vila de Paranapiacaba,-46.5299987792969,-23.6599998474121,NA,NA,NA,"Nome Popular: Guaco; valor medicinal: Tosse",HUFABC000401,HUFABC000401,São Paulo,Santo André,"27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.1699981689453,-22.6100006103516,"16",2020-11-04 11:01:56-03,ESALQ,ESA,"33827",PreservedSpecimen,Plantae,Magnoliophyta,NA,Asteraceae,Mikania,chlorolepis,Mikania chlorolepis,Baker,"Oliveira, C.T.","Koch, I. et al.","611.0","1996","05","25",NA,Brasil,NA,-45.1699981689453,-22.6100006103516,NA,NA,NA,NA,ESA033827,ESA033827,São Paulo,Piquete,"13434",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.1699981689453,-22.6100006103516,"17",2020-11-04 11:01:56-03,ESALQ,ESA,"33837",PreservedSpecimen,Plantae,Magnoliophyta,NA,Asteraceae,Mikania,chlorolepis,Mikania chlorolepis,Baker,"Oliveira, C.T.","Árbocz, G.F. et al.","2854.0","1996","05","25",NA,Brasil,NA,-45.1699981689453,-22.6100006103516,NA,NA,NA,NA,ESA033837,ESA033837,São Paulo,Piquete,"13434",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.42,-23.42,"18",2020-11-04 11:01:56-03,ESALQ,ESA,"77031",PreservedSpecimen,Plantae,Magnoliophyta,NA,Asteraceae,Mikania,chlorolepis,Mikania chlorolepis,Baker,"Oliveira, C.T.","Forster, W.; Atanasio, C.; Siqueira, L.P.; Sorreano, M.C.M.; Souza, S.C.; Buchianeri, V.; Scalon, V.R.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.","273.0","2000","04","21",NA,Brasil,"Parque Estadual da Serra do Mar, Cachoeira do Sítio Urucurana, Trilha do Escorrega, às margens do Rio Una, 130m. Floresta Ombrófila Densa Submontana de Encosta - bem preservada. Interior da mata",-45.42,-23.42,NA,NA,NA,"Liana, flores creme a alvas.",ESA077031,ESA077031,São Paulo,São Sebastião,NA,NA,NA,NA,"-45.42","-23.42",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.46,-23.43,"19",2020-11-04 11:01:56-03,ESALQ,ESA,"77030",PreservedSpecimen,Plantae,Magnoliophyta,NA,Asteraceae,Mikania,chlorolepis,Mikania chlorolepis,Baker,"Oliveira, C.T.","Forster, W.; Batista, F.R.Q.; Micheletto, F.; Liesenfeld, M.V.A.; San Martin-Gajardo, I.; Peroni, N.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","276.0","2000","04","22",NA,Brasil,Praia Barra do Una / Boracéia. Estrada de acesso da Fazenda Águas do Bento. 30 m.s.m. Borda de Mata de restinga na beira de Estrada/aterro,-45.46,-23.43,"30","30",NA,"Liana; flores brancas; 3m",ESA077030,ESA077030,São Paulo,São Sebastião,NA,NA,NA,NA,"-45.46","-23.43",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.7,-23.7,"26",2021-03-01 16:24:42-03,UNICAMP,UEC,"116544",S,Plantae,Magnoliopsida,NA,Asteraceae,Mikania,chlorolepis,Mikania chlorolepis,Baker,"Oliveira, CT","Forster, W; Atanasio, C; Siqueira, LP; Sorreano, MCM; Souza, SC; et al.","273","2000","04","21",NA,Brazil,"Parque Estadual da Serra do Mar, Cachoeira do Sítio Urucurana, Trilha do Escorrega, às margens do Rio Una.",-45.7,-23.7,"130","130",NA,"Liana, flores creme a alvas.; Floresta Ombrófila Densa Submontana de Encosta bem preservada, interior da mata.",UEC125829,UEC125829,São Paulo,São Sebastião,NA,NA,NA,NA,"-45.7","-23.7","2015","05",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.766667,-23.716667,"27",2021-03-01 16:24:42-03,UNICAMP,UEC,"116545",S,Plantae,Magnoliopsida,NA,Asteraceae,Mikania,chlorolepis,Mikania chlorolepis,Baker,"Oliveira, CT","Foster, W; Batista, FRQ; Micheletto, F; Liesenfeld, MVA; et al.","276","2000","04","22",NA,Brazil,Praia Barra do Una / Boracéia. Estrada de acesso da Fazenda Águas do Bento.,-45.766667,-23.716667,"30","30",NA,"Liana, flores brancas, 3 m.; Floresta Ombrófila Densa de Terras Baixas - Restinga. Borda da mata, na beira da estrada/aterro.",UEC125830,UEC125830,São Paulo,São Sebastião,NA,NA,NA,NA,"-45.766667","-23.716667","2015","05",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.743333,-23.988889,"30",2021-03-01 16:24:42-03,UNICAMP,UEC,"176371",S,Plantae,Magnoliopsida,NA,Asteraceae,Mikania,chlorolepis,Mikania chlorolepis,Baker,"Oliveira, CT","Garcia, RJF; Ferreira, GMP; Pimentel, CMA","772","1996","03","27",NA,Brazil,"Distrito de Marsilac, Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Campo.",-46.743333,-23.988889,NA,NA,NA,"Trepadeira, flores brancas com aroma forte.; Campo.",UEC125831,UEC125831,São Paulo,São Paulo,NA,NA,NA,NA,"-46.743333","-23.988889","2015","05",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"31",2019-08-20 10:06:09-03,UNICAMP,UEC,"91840",S,Plantae,Magnoliopsida,NA,Asteraceae,Mikania,chlorolepis,Mikania chlorolepis,Baker,"Toledo, JF","Hoehne, FC","29740","1932","06","13",NA,Brazil,Parque do Estado.,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,UEC125833,UEC125833,São Paulo,São Paulo,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
