X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,typeStatus,recordedBy,continentOcean,country,locality,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,recordNumber,year,month,day,stateProvince,decimalLongitude,decimalLatitude,imagecode,minimumElevationInMeters,maximumElevationInMeters,county,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,class,yearIdentified,monthIdentified,dayIdentified,individualCount,fieldNumber,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.621883,-23.654505,"2",2021-03-15 16:37:00-03,NY,NYBG,"607992",PreservedSpecimen,Plantae,Fabaceae,Ormosia,minor,Ormosia minor,NA,F. C. Hoehne,South America,Brazil,"Capital, nativa no Parque do Estado e Jardim Botânico",sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=333345' target='other'> <mi>dwc_moreinfo</mi></a>,NY00607992,Magnoliophyta,Fabales,Vogel,W. A. Ducke,s/n¦,"1932","01","12",São Paulo,-46.621883,-23.654505,NY00607992_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.618358,-23.646109,"5",2021-03-15 16:37:00-03,NY,NYBG,"607994",PreservedSpecimen,Plantae,Fabaceae,Ormosia,minor,Ormosia minor,NA,F. C. Hoehne,South America,Brazil,Jardim Botanico,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=333346' target='other'> <mi>dwc_moreinfo</mi></a>,NY00607994,Magnoliophyta,Fabales,Vogel,B. A. Krukoff,s.n.,"1932","01","12",São Paulo,-46.618358,-23.646109,NY00607994_01,NA,NA,Sao Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.621883,-23.654505,"8",2021-03-15 16:37:00-03,NY,NYBG,"607993",PreservedSpecimen,Plantae,Fabaceae,Ormosia,minor,Ormosia minor,NA,F. C. Hoehne,South America,Brazil,"Capital, nativa no Parque do Estado e Jardim Botânico",sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=333344' target='other'> <mi>dwc_moreinfo</mi></a>,NY00607993,Magnoliophyta,Fabales,Vogel,W. A. Ducke,s/n¦,"1932","01","12",São Paulo,-46.621883,-23.654505,NY00607993_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"13",2020-11-04 11:10:12-03,ESALQ,ESA,"104255",PreservedSpecimen,Plantae,Fabaceae,Ormosia,minor,Ormosia minor,NA,"Aguiar, O.T.",NA,Brasil,NA,NA,NA,NA,ESA104255,Magnoliophyta,NA,NA,"Souza, V.C.","1149.0","2002","03","12",São Paulo,-47.9900016784668,-23.8700008392334,ESA104255,NA,NA,São Miguel Arcanjo,"27904",auto,NA,NA,NA,"2012","03","30",NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"14",2020-11-04 11:10:12-03,ESALQ,ESA,"108687",PreservedSpecimen,Plantae,Fabaceae,Ormosia,minor,Ormosia minor,NA,"Dias, A.C.",NA,Brasil,NA,NA,NA,NA,ESA108687,Magnoliophyta,NA,NA,"Souza, V.C.","518.0","1994","04","06",São Paulo,-47.9900016784668,-23.8700008392334,ESA108687,NA,NA,São Miguel Arcanjo,"27904",auto,NA,NA,NA,"2012","03","30",NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"15",2020-11-04 11:10:12-03,ESALQ,ESA,"14800",PreservedSpecimen,Plantae,Fabaceae,Ormosia,minor,Ormosia minor,NA,"Moraes, P.L.R. et al.",NA,Brasil,NA,NA,NA,NA,ESA014800,Magnoliophyta,NA,Vogel,"Souza, V.C.","950.0","1994","04","23",São Paulo,-47.9900016784668,-23.8700008392334,ESA014800,NA,NA,São Miguel Arcanjo,"27904",auto,NA,NA,NA,"2012","03","30",NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"16",2020-11-04 11:10:12-03,ESALQ,ESA,"7515",PreservedSpecimen,Plantae,Fabaceae,Ormosia,minor,Ormosia minor,NA,"Moraes, P.L.R.",NA,Brasil,NA,NA,NA,NA,ESA007515,Magnoliophyta,NA,Vogel,"Lima, H.C.","686.0","1992","05","15",São Paulo,-47.9900016784668,-23.8700008392334,ESA007515,NA,NA,São Miguel Arcanjo,"27904",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.7700004577637,-22.5100002288818,"18",2020-11-04 11:10:12-03,ESALQ,ESA,"13238",PreservedSpecimen,Plantae,Fabaceae,Ormosia,minor,Ormosia minor,NA,"Barreto, K.D. et al.",NA,Brasil,NA,NA,NA,NA,ESA013238,Magnoliophyta,NA,NA,NA,"544.0","1993","05","21",São Paulo,-47.7700004577637,-22.5100002288818,ESA013238,NA,NA,Charqueada,"12465",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.8800010681152,-23.1800003051758,"19",2020-11-04 11:10:12-03,ESALQ,ESA,"7256",PreservedSpecimen,Plantae,Fabaceae,Ormosia,minor,Ormosia minor,NA,"Rodrigues, R.R.",NA,Brasil,NA,NA,NA,NA,ESA007256,Magnoliophyta,NA,Vogel,NA,NA,"1986","04","30",São Paulo,-46.8800010681152,-23.1800003051758,ESA007256,NA,NA,Jundiaí,"17840",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.8800010681152,-23.1800003051758,"20",2020-11-04 11:10:12-03,ESALQ,ESA,"7245",PreservedSpecimen,Plantae,Fabaceae,Ormosia,minor,Ormosia minor,NA,"Rodrigues, R.R. ; Morellato-Fonzar, L.P.C.",NA,Brasil,NA,NA,NA,NA,ESA007245,Magnoliophyta,NA,Vogel,"Lima, H.C.",NA,"1985","02","05",São Paulo,-46.8800010681152,-23.1800003051758,NA,NA,NA,Jundiaí,"17840",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
