X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,continentOcean,country,barcode,identifiedBy,yearIdentified,monthIdentified,dayIdentified,year,month,day,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,occurrenceRemarks,imagecode,geoFlag,typeStatus,individualCount,class,verbatimLongitude,verbatimLatitude,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.8400001525879,-23.5300006866455,"2",2021-03-01 16:37:35-03,UNICAMP,UEC,"197656",S,Plantae,Magnoliopsida,Passifloraceae,Passiflora,ischnoclada,Passiflora ischnoclada,Harms,"Simão-Bianchini, R","601",NA,Brazil,UEC143846,"Bernacci, LC","1999","01","21","1994","11","16",São Paulo,Salesópolis,Estrada de manuntençào da Petrobrás.,-45.8400001525879,-23.5300006866455,"18032",Trepadeira na mata. Brácteas rosa-escuro. Pétalas rosa-claro com ápice verde e nervuras rosa-escuro.,UEC143846,auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5613889,-22.4113889,"3",2009-12-11 09:10:00-02,MO,MOBOT,"100234876",PreservedSpecimen,Plantae,NA,Passifloraceae,Passiflora,ischnoclada,Passiflora ischnoclada,Harms,A. Loefgren,Loefgren 5754,South America,Brazil,NA,E.P. Killip,NA,NA,NA,"1888","9","6",São Paulo,NA,Rio Claro.,-47.5613889,-22.4113889,NA,NA,NA,NA,Type,"1",NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.8400001525879,-23.5300006866455,"4",2019-11-13 11:27:57-03,USP,SPF,"92928",PreservedSpecimen,Plantae,NA,Passifloraceae,Passiflora,ischnoclada,Passiflora ischnoclada,Harms,"Joly, AB",B975,NA,Brasil,SPF00092928,"Bernacci, LC","1996","05","24","1990","01","03",São Paulo,Salesópolis,NA,-45.8400001525879,-23.5300006866455,"18032",NA,NA,auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.8400001525879,-23.5300006866455,"5",2019-11-13 11:27:57-03,USP,SPF,"99497",PreservedSpecimen,Plantae,NA,Passifloraceae,Passiflora,ischnoclada,Passiflora ischnoclada,Harms,"Simão-Bianchini, R","601",NA,Brasil,SPF00099497,"Bernacci, LC",NA,NA,NA,"1994","11","16",São Paulo,Salesópolis,NA,-45.8400001525879,-23.5300006866455,"18032",NA,NA,auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.67967,-23.64878,"7",2020-04-07 16:32:30-03,IAC,IAC,"53133",S,Plantae,NA,Passifloraceae-3.Passifloroideae,Passiflora,ischnoclada,Passiflora ischnoclada,Harms,R. Giovanni & L.C. Bernacci,"6",NA,Brasil,NA,R. Giovanni & L.C. Bernacci,"2010","12","13","2010","12","13",São Paulo,Caraguatatuba,NA,-45.67967,-23.64878,NA,datum wgs84,NA,NA,NA,NA,NA,"-45.67967","-23.64878","35",São Paulo,SP,Sudeste
-45.8464,-23.5322,"8",2020-04-07 16:32:30-03,IAC,IAC,"32328",S,Plantae,NA,Passifloraceae-3.Passifloroideae,Passiflora,ischnoclada,Passiflora ischnoclada,Harms,R. Simão-Bianchini,"601",NA,Brasil,NA,L.C. Bernacci,"1996","12","02","1994","06","14",São Paulo,Salesópolis,Estrada de manutenção da Petrobrás,-45.8464,-23.5322,NA,"Identificação confirmada por Bernacci, Vitta & Bakker em 21/01/1999",NA,NA,NA,NA,NA,"-45.8464","-23.5322","35",São Paulo,SP,Sudeste
-45.695611,-23.632667,"9",2020-04-07 16:32:30-03,IAC,IAC,"42199",S,Plantae,NA,Passifloraceae-3.Passifloroideae,Passiflora,ischnoclada,Passiflora ischnoclada,Harms,H. Lorenzi,"3282",NA,Brasil,NA,H. Lorenzi,"2002","04","16","2002","04","16",São Paulo,Paraibuna,NA,-45.695611,-23.632667,NA,"coordenadas originais: 23o 37#?# 57.6#?##?# S, 45o 41#?# 44.2#?##?# W. Conversão para graus decimais (WGS84) através do speciesLink assumindo datum original WGS84.",NA,NA,NA,NA,NA,"-45.695611","-23.632667","35",São Paulo,SP,Sudeste
-47.2958,-22.7775,"10",2019-01-25 15:35:45-02,IAC,IAC,"43256",S,Plantae,NA,Passifloraceae-3.Passifloroideae,Passiflora,ischnoclada,Passiflora ischnoclada,Harms,L.C. Bernacci & H. Lorenzi,"3544",NA,Brasil,NA,L.C. Bernacci & H. Lorenzi,"2003","05","15","2003","05","15",São Paulo,Nova Odessa,Instituto Plantarum,-47.2958,-22.7775,NA,Procedente de Salesópolis - SP,NA,NA,NA,NA,NA,"-47.2958","-22.7775","35",São Paulo,SP,Sudeste
-45.694722,-23.630278,"11",2019-01-25 15:35:45-02,IAC,IAC,"44081",S,Plantae,NA,Passifloraceae-3.Passifloroideae,Passiflora,ischnoclada,Passiflora ischnoclada,Harms,I. Cordeiro & R. Mello-Silva,"2787",NA,Brasil,NA,L.C. Bernacci,"2004","02","27","2003","10","10",São Paulo,Paraibuna,"limite com Salesópolis, estrada para a torre de retransmissão, junto ao Km 49 da Estrada Intermediária, cerca de 21 Km do entrocamento com a Rodovia SP 088",-45.694722,-23.630278,NA,"coordenadas originais: 23o 37#?# 49#?##?# S, 45o 41#?# 41#?##?# W",NA,NA,NA,NA,NA,"-45.694722","-23.630278","35",São Paulo,SP,Sudeste
-47.2958,-22.7775,"12",2020-04-07 16:32:30-03,IAC,IAC,"44471",S,Plantae,NA,Passifloraceae-3.Passifloroideae,Passiflora,ischnoclada,Passiflora ischnoclada,Harms,L.C. Bernacci,"3740",NA,Brasil,NA,L.C. Bernacci,"2004","06","21","2004","06","21",São Paulo,Nova Odessa,Instituto Plantarum,-47.2958,-22.7775,NA,Procedente de Salesópolis-SP,NA,NA,NA,NA,NA,"-47.2958","-22.7775","35",São Paulo,SP,Sudeste
