X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,year,month,day,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,stateProvince,locality,imagecode,county,decimalLongitude,decimalLatitude,minimumElevationInMeters,yearIdentified,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,maximumElevationInMeters,monthIdentified,class,dayIdentified,typeStatus,fieldNumber,individualCount,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.6399993896484,-22.7199993133545,"15",2020-11-04 11:15:10-03,ESALQ,ESA,"5941",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,NA,NA,NA,NA,NA,NA,Brasil,NA,NA,NA,ESA005941,Magnoliophyta,NA,O.Berg,"Tuler, A.C.",São Paulo,NA,ESA005941,Piracicaba,-47.6399993896484,-22.7199993133545,NA,"2018","44778",auto,NA,NA,NA,"08",NA,"06",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"16",2020-11-04 11:15:10-03,ESALQ,ESA,"105509",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Aguiar, O.T.",NA,"2002","03","13",NA,Brasil,NA,NA,NA,ESA105509,Magnoliophyta,NA,NA,"Aguiar, O.T.",São Paulo,NA,ESA105509,São Miguel Arcanjo,-47.9900016784668,-23.8700008392334,NA,"2002","27904",auto,NA,NA,NA,"03",NA,"17",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"17",2020-11-04 11:15:10-03,ESALQ,ESA,"86962",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Mendonça, F.B.","177.0","2002","10","11",NA,Brasil,NA,NA,NA,ESA086962,Magnoliophyta,NA,O.Berg,"Tuler, A.C.",São Paulo,NA,ESA086962,São Paulo,-46.6300010681152,-23.5400009155273,NA,"2018","53584",auto,NA,NA,NA,"08",NA,"06",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.4099998474121,-22.6599998474121,"19",2020-11-04 10:56:25-03,ESALQ,ESA,"91794",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Savassi-Coutinho, A.P.","743.0","1905","06","24",NA,Brasil,NA,NA,NA,ESA091794,NA,NA,O.Berg,"Tuler, A.C.",São Paulo,NA,ESA091794,Assis,-50.4099998474121,-22.6599998474121,NA,NA,"23972",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"21",2020-11-04 11:15:10-03,ESALQ,ESA,"86963",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Mendonça, F.B.","248.0","2003","03","19",NA,Brasil,NA,NA,NA,ESA086963,Magnoliophyta,NA,O.Berg,"Tuler, A.C.",São Paulo,NA,ESA086963,São Paulo,-46.6300010681152,-23.5400009155273,NA,"2018","53584",auto,NA,NA,NA,"08",NA,"06",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.4099998474121,-22.6599998474121,"23",2020-11-04 11:15:10-03,ESALQ,ESA,"91900",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Savassi-Coutinho, A.P.","849.0","1905","06","24",NA,Brasil,NA,NA,NA,ESA091900,Magnoliophyta,NA,O.Berg,"Tuler, A.C.",São Paulo,NA,NA,Assis,-50.4099998474121,-22.6599998474121,NA,NA,"23972",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.06,-22.9,"26",2015-07-02 14:03:25-03,JBP,HPL,"11643",S,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,H. Lorenzi,"6222","2007","02","07",NA,Brasil,NA,NA,NA,NA,NA,NA,NA,H. Lorenzi,SP,"Coletado e cultivado no Instituto Agronômico de Campinas (IAC, Monjolinho).",NA,Campinas,-47.06,-22.9,NA,"2007","23900",auto,NA,NA,NA,"02",NA,"07",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9422,-22.3722,"27",2015-07-02 14:03:25-03,JBP,HPL,"5720",S,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,H. Lorenzi,"1213","1993","12","16",NA,Brasil,NA,NA,NA,NA,NA,NA,O. Berg.,H. Lorenzi,SP,Coletado no arboreto da Campininha.,NA,Mogi Guaçu,-46.9422,-22.3722,NA,"1993","39309",auto,NA,NA,NA,"12",NA,"16",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.32,-21.25,"28",2015-07-02 14:03:25-03,JBP,HPL,"9179",S,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,H. Lorenzi,"205","1993","05","19",NA,Brasil,NA,NA,NA,NA,NA,NA,O. Berg,H. Lorenzi,SP,"Coletado na Fazenda Barro Preto, na Usina São Francisco.",NA,Jaboticabal,-48.32,-21.25,NA,"1993","22420",auto,NA,NA,NA,"05",NA,"19",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.64,-22.72,"29",2015-07-02 14:03:25-03,JBP,HPL,"10496",S,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,R. Tsuji,"2166","2007","07","17",NA,Brasil,NA,NA,NA,NA,NA,NA,O. Berg,C. Proença,SP,"Coletado na Escola Superior de Agricultura Luiz de Queiroz (ESALQ); departamento de Horticultura.",NA,Piracicaba,-47.64,-22.72,NA,"2009","44778",auto,NA,NA,NA,"10",NA,"10",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.91,-22.6,"31",2015-07-02 14:03:25-03,JBP,HPL,"5722",S,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,H. Lorenzi,"1056","1993","10","25",NA,Brasil,NA,NA,NA,NA,NA,NA,O. Berg.,H. Lorenzi,SP,"Coletado na fazenda Palmital, na estrada da mata do lado direito do carreador da estrada principal.",NA,Santo Antonio de Posse,-46.91,-22.6,NA,"1993","14002",auto,NA,NA,NA,"10",NA,"25",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.32,-21.25,"32",2015-07-02 14:03:25-03,JBP,HPL,"9153",S,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,H. Lorenzi,"155","1993","02","05",NA,Brasil,NA,NA,NA,NA,NA,NA,O. Berg,H. Lorenzi,SP,"Fazenda Barro Preto, Usina São Francisco, em área de mata.",NA,Jaboticabal,-48.32,-21.25,NA,"1993","22420",auto,NA,NA,NA,"02",NA,"05",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.64,-22.72,"33",2015-07-02 14:03:25-03,JBP,HPL,"9863",S,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,H. Lorenzi,"1263","1994","01","18",NA,Brasil,NA,NA,NA,NA,NA,NA,NA,H. Lorenzi,SP,"Coletado e cultivado na Escola Superior de Agronomia Luiz de Queiroz (ESALQ); junto ao IPEF.",NA,Piracicaba,-47.64,-22.72,NA,"1994","44778",auto,NA,NA,NA,"01",NA,"18",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.06,-22.9,"34",2015-07-02 14:03:25-03,JBP,HPL,"5723",S,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,E.R. Salviani & H. Lorenzi,"68","1998","06","08",NA,Brasil,NA,NA,NA,NA,NA,NA,O. Berg.,E.R. Salviani & H. Lorenzi,SP,Coletado no IAC Monjolinho próximo a casa do Jeremias.,NA,Campinas,-47.06,-22.9,NA,"1998","23900",auto,NA,NA,NA,"06",NA,"08",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5499992370605,-23.1100006103516,"36",2020-12-20 21:18:41-03,UFV,VIC,"11955",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Meira, Neto J A; et al.",s.n.,"1987","11","16",NA,Brasil,NA,NA,"Árvore de 4 m, botões e flores brancas, na beira da mata",VIC011955,NA,NA,O.Berg,NA,São Paulo,Fazenda Grota Funda,VIC011955,Atibaia,-46.5499992370605,-23.1100006103516,NA,NA,"21675",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.061771,-22.314844,"41",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0010483,PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,Tamashiro et al.,"186","1994","5","26",NA,Brazil,NA,NA,"2 seeds in 1 fruit.; Arvore de 4m, frutos imaturos de cor verde.",NA,Magnoliophyta,Myrtales,O.Berg,"L.R. Landrum, 2005.",Sao Paulo,Bauru. Parque Ecologico do Bauru.,NA,NA,-49.061771,-22.314844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6167,-23.5333,"42",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0009491,PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,Cordeiro,"1695","1997","11","29",NA,Brazil,NA,NA,"Arvoreta da beira da mata, casca semelhante a da j",NA,Magnoliophyta,Myrtales,O.Berg,NA,Sao Paulo,"Bairro de Interlagos, SESC Interlagos, fragmento de mata ombrofila.",NA,Sao Paulo,-46.6167,-23.5333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.85,-23.5333,"43",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0009493,PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,Kuhlmann,"4337","1958","3","15",NA,Brazil,NA,NA,NA,NA,Magnoliophyta,Myrtales,O.Berg,NA,Sao Paulo,"Boracea, margem do Rio Claro.",NA,Salesopolis,-45.85,-23.5333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.85,-23.5333,"46",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0009494,PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,Mattos,"13861","1966","8","26",NA,Brazil,NA,NA,Arbusto de 2m de altura. Casca cinzenta. Ramos e f,NA,Magnoliophyta,Myrtales,O.Berg,NA,Sao Paulo,"Estacao Biologica de Boraceia, perto do Rio Claro.",NA,Salesopolis,-45.85,-23.5333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6167,-23.5333,"48",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0009492,PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,Cordeiro,"1624","1996","1","10",NA,Brazil,NA,NA,"Arvore ca. 8m alto; flores alvas, odoriferas.",NA,Magnoliophyta,Myrtales,O.Berg,NA,Sao Paulo,"Bairro de Interlagos, SESC Interlagos, fragmento de mata ombrofila.",NA,Sao Paulo,-46.6167,-23.5333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.624975,-23.643586,"56",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0009495,PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,Pereira,s/n,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,Magnoliophyta,Myrtales,O.Berg,NA,Sao Paulo,Cultivada no Jardim Botanico de Sao Paulo.,NA,NA,-46.624975,-23.643586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.1,-22.783333,"70",2021-03-01 16:37:01-03,UNICAMP,UEC,"186532",S,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Pereira, JC",s.n.,"2014","10",NA,NA,Brazil,NA,NA,Arbóreo.Encontra-se cultiva em ex situ.,UEC111817,Magnoliopsida,NA,O.Berg,NA,São Paulo,"CPMA, CPQBA, Betel.",UEC111817,Paulínia,-47.1,-22.783333,NA,NA,NA,NA,"-47.1","-22.783333",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"83",2021-03-16 17:54:02-03,UCS,HUCS,"40766",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Santos, H.",s.n.,"2012","06","15",NA,Brasil,NA,NA,coleção de plantas medicinais,NA,Angiospermae,Myrtales,O. Berg,"Grizzon, M.",São Paulo,UNICAMP,NA,Campinas,-47.060001373291,-22.8999996185303,NA,"2013","23900",auto,NA,NA,NA,"02",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"123",2021-03-21 19:37:42-03,UFC,EAC,"53212",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Costa, I.R.; Verola, C.F.","816","2008","02","28",Southern America,Brasil,NA,NA,"Arvorete, cerca de 2,5m; frutos maduros vermelhos",EAC0053212,Dicotyledon,NA,O.Berg,"Proença, C.",São Paulo,"Barão Geraldo, Campus da Unicamp, em frente a faculdade de Economia do outro lado da pista, -msm",NA,Campinas,-47.060001373291,-22.8999996185303,NA,NA,"23900",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"128",2020-12-21 16:37:42-03,MBM,MBM,"391025",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Santos, H.",s.n.,"2012","06","15",Southern America,Brazil,NA,NA,NA,MBM391025,NA,NA,O.Berg,"Grizzon, M.",São Paulo,UNICAMP,MBM391025,Campinas,-47.060001373291,-22.8999996185303,NA,"2013","23900",auto,NA,NA,NA,"02",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
