X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,typeStatus,recordedBy,recordNumber,continentOcean,country,stateProvince,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,year,month,day,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,imagecode,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,infraspecificEpithet,fieldNumber,individualCount,class,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.200972,-23.506722,"5",2019-12-12 15:31:50-03,UFABC,HUFABC,"001012",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata,NA,"Bruniera, C P; Groppo, M; Lemos, LC","910",NA,Brasil,São Paulo,NA,NA,"Arbusto ca. 1,5m alt. Folhas cartáceas, discolores. Frutos verdes.",HUFABC001012,Angiospermas,NA,(Vell.) Müll. Arg.,"Bruniera, C P","2014","05","26",Ubatuba,"Praia da Lagoinha. Trilha das Ruínas da Lagoinha., Floresta ombrófila densa, mata de encosta.",-45.200972,-23.506722,"48","48",HUFABC001012,NA,NA,"-45.200972","-23.506722",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.200972,-23.506722,"6",2019-12-12 15:31:50-03,UFABC,HUFABC,"001088",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata,NA,"Bruniera, C P; Groppo, M; Lemos L. C.","908",NA,Brasil,São Paulo,NA,NA,"Arbusto ca. 0,7m alt. Folhas cartáceas, discolores. Raque verde. Frutos verdes.",HUFABC001088,Angiospermas,NA,(Vell.) Müll. Arg.,"Bruneira, C P","2014","05","26",Ubatuba,"Praia da Lagoinha. Trilha das Ruínas da Lagoinha., Floresta ombrófila, mata de encosta.",-45.200972,-23.506722,NA,NA,HUFABC001088,NA,NA,"-45.200972","-23.506722",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9900016784668,-24.3199996948242,"10",2020-11-04 11:18:57-03,ESALQ,ESA,"11332",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata,NA,"Souza, V.C.","522.0",NA,Brasil,São Paulo,NA,NA,NA,ESA011332,Magnoliophyta,NA,(Vell.) Müll. Arg.,"Zappi, D.C.","1989","04","01",Peruíbe,NA,-46.9900016784668,-24.3199996948242,NA,NA,ESA011332,"21922",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.3600006103516,-21.6000003814697,"11",2020-11-04 11:18:57-03,ESALQ,ESA,"14033",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata,NA,"Souza, V.C. et al.","5649.0",NA,Brasil,São Paulo,NA,NA,NA,ESA014033,Magnoliophyta,NA,(Vell.) Müll. Arg.,"Zappi, D.C.","1994","04","14",Matão,NA,-48.3600006103516,-21.6000003814697,NA,NA,ESA014033,"26922",auto,NA,NA,"2005","01","01",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9900016784668,-24.3199996948242,"12",2020-11-04 11:18:57-03,ESALQ,ESA,"11396",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata,NA,"Souza, V.C.","158.0",NA,Brasil,São Paulo,NA,NA,NA,ESA011396,Magnoliophyta,NA,(Vell.) Müll. Arg.,"Zappi, D.C.","1988","10","02",Peruíbe,NA,-46.9900016784668,-24.3199996948242,NA,NA,ESA011396,"21922",auto,NA,NA,"2005","01","01",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.4799995422363,-20.6000003814697,"13",2020-11-04 11:18:57-03,ESALQ,ESA,"36061",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata,NA,"Souza, V.C. et al.","9740.0",NA,Brasil,São Paulo,NA,NA,NA,ESA036061,Magnoliophyta,NA,(Vell.) Müll. Arg.,"Zappi, D.C.","1996","01","08",Restinga,NA,-47.4799995422363,-20.6000003814697,NA,NA,ESA036061,"17863",auto,NA,NA,"2005","01","01",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.3600006103516,-21.6000003814697,"14",2020-11-04 11:18:57-03,ESALQ,ESA,"30609",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata,NA,"Rozza, A.F.","8.0",NA,Brasil,São Paulo,NA,NA,NA,ESA030609,Magnoliophyta,NA,(Vell.) Müll. Arg.,"Zappi, D.C.","1995","04","24",Matão,NA,-48.3600006103516,-21.6000003814697,NA,NA,ESA030609,"26922",auto,NA,NA,"2005","01","01",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.3600006103516,-21.6000003814697,"15",2020-11-04 11:18:57-03,ESALQ,ESA,"18534",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata,NA,"Barreto, K.D. et al.","2268.0",NA,Brasil,São Paulo,NA,NA,NA,ESA018534,Magnoliophyta,NA,(Vell.) Müll. Arg.,"Zappi, D.C.","1994","04","12",Matão,NA,-48.3600006103516,-21.6000003814697,NA,NA,ESA018534,"26922",auto,NA,NA,"2005","01","01",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9900016784668,-24.3199996948242,"16",2020-11-04 11:18:57-03,ESALQ,ESA,"11307",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata,NA,"Souza, V.C.","496.0",NA,Brasil,São Paulo,NA,NA,NA,ESA011307,Magnoliophyta,NA,(Vell.) Müll. Arg.,"Zappi, D.C.","1989","01","30",Peruíbe,NA,-46.9900016784668,-24.3199996948242,NA,NA,ESA011307,"21922",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2999992370605,-21.2700004577637,"18",2019-02-15 11:49:53-02,IPA,IPA,"63971",S,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata ochroleuca,NA,"Nicolau, S.A.; Beraldo, M.D.; Villagra, B.L.P.; Dias, J.W.D.; Beraldo, M.D.; Villagra, B.L.P.; Dias, J.W.D.","2120",Southern America,Brasil,São Paulo,NA,NA,Arbusto ca. 1m de altura. Flores alvas.,IPA0063971,Plantae,NA,(Müll. Arg.) Zappi,"Zappi, D.","1999","12","16",Cajuru,próximo à curso d'água.,-47.2999992370605,-21.2700004577637,NA,NA,NA,"21243",auto,NA,NA,"2004","05","12",ochroleuca,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
