X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,phylum,class,order,recordNumber,coordinatePrecision,minimumElevationInMeters,maximumElevationInMeters,geoFlag,imagecode,relationshipType,relatedCatalogItem,continentOcean,fieldNumber,preparationType,typeStatus,individualCount,previousCatalogNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.492222,-22.881111,"3",2021-02-08 11:09:44-03,UNESP-IBB,BOTU,"27745",PreservedSpecimen,Plantae,Orchidaceae,Sauroglossum,elatum,Sauroglossum elatum,(Vell.) Schltr.,"Adachi, S.A.","2010",NA,NA,"Magalhães, J.H.R.","2010","07","28",Brasil,São Paulo,Botucatu,Distrito de Rubião Júnior,-48.492222,-22.881111,48°29'32w,22°52'52s,NA,BOTU027745,NA,NA,NA,"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.560001373291,-22.9200000762939,"9",2020-11-04 12:15:40-03,ESALQ,ESA,"133215",PreservedSpecimen,Plantae,Orchidaceae,Sauroglossum,elatum,Sauroglossum elatum,Lindl.,"Gissi, D.S.","2015","07","22","Barroso, R.M.; Kochanovski, F.J.; Montebeller,C.; Leme, F.M.; Bacci, L.F.; Marcelo-Peña, J.L.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","2015","07","04",Brasil,São Paulo,Mombuca,Mata do Pinheirinho. Usina Rosana,-47.560001373291,-22.9200000762939,"-47,662,830","-22,924,245",Erva. 30cm.,ESA133215,NA,NA,NA,"144.0","13659","581","581",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"23",2019-11-21 14:41:11-03,UFJF,CESJ,"140",PreservedSpecimen,Plantae,Orchidaceae,Sauroglossum,elatum,Sauroglossum elatum,Lindl.,C.R. Buzzatto,"2014","03",NA,L. Roth,"1942","08","22",Brasil,São Paulo,São Paulo,Santo Amaro,-46.6300010681152,-23.5400009155273,NA,NA,Terrestre. Flores branco esverdeadas.,CESJ000140,Angiosperma,NA,NA,s.n.,"53584",NA,NA,auto,NA,NA,NA,América do Sul,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.133333,-23.316667,"24",2021-03-01 16:20:19-03,UNICAMP,UEC,"206507",S,Plantae,Orchidaceae,Sauroglossum,elatum,Sauroglossum elatum,Lindl.,"Nunes, CEP","2018","06",NA,"Nunes, CEP","2013","08","15",Brazil,São Paulo,São Luiz do Paraitinga,"Trilha da Pirapitinga, Núcleo Santa Virgínia, Parque Estadual da Serra do Mar",-45.133333,-23.316667,"-45.133333","-23.316667","Erva terrícola.; Floresta Ombrófila Densa Sub-Montana.",UEC036565,Liliopsida,NA,NA,2013/65,NA,"80","1200",NA,UEC036565,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"27",2019-08-20 10:01:02-03,UNICAMP,UEC,"140301",S,Plantae,Orchidaceae,Sauroglossum,elatum,Sauroglossum elatum,Lindl.,NA,NA,NA,NA,s/ coletor,NA,NA,NA,Brazil,São Paulo,Campinas,NA,-47.060001373291,-22.8999996185303,NA,NA,Cultivada na casa de vegetação da Unicamp.,UEC027071,Liliopsida,NA,NA,s.n.,"23900",NA,NA,auto,UEC027071,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.4099998474121,-22.6599998474121,"28",2019-08-20 10:01:02-03,UNICAMP,UEC,"140076",S,Plantae,Orchidaceae,Sauroglossum,elatum,Sauroglossum elatum,Lindl.,"Singer, RB",NA,NA,NA,"Singer, RB",NA,NA,NA,Brazil,São Paulo,Assis,NA,-50.4099998474121,-22.6599998474121,NA,NA,Data de floração: X/98. Cultivo 10/XII/1997.,UEC027075,Liliopsida,NA,NA,s.n.,"23972",NA,NA,auto,UEC027075,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5499992370605,-23.1100006103516,"29",2019-08-20 10:01:02-03,UNICAMP,UEC,"139204",S,Plantae,Orchidaceae,Sauroglossum,elatum,Sauroglossum elatum,Lindl.,"Singer, RB",NA,NA,NA,"Singer, RB","1997","06","11",Brazil,São Paulo,Atibaia,Parque Estadual da Grota Funda,-46.5499992370605,-23.1100006103516,NA,NA,Cultivada. Prensada em 18.VII.97.,UEC027067,Liliopsida,NA,NA,97/57,"21675",NA,NA,auto,UEC027067,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.060001373291,-22.3099994659424,"30",2019-08-20 10:01:02-03,UNICAMP,UEC,"140072",S,Plantae,Orchidaceae,Sauroglossum,elatum,Sauroglossum elatum,Lindl.,"Singer, RB",NA,NA,NA,"Koch, I",NA,NA,NA,Brazil,São Paulo,Bauru,NA,-49.060001373291,-22.3099994659424,NA,NA,Data de floração: X/98.,UEC027076,Liliopsida,NA,NA,s.n.,"29186",NA,NA,auto,UEC027076,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"31",2019-08-20 10:01:02-03,UNICAMP,UEC,"139239",S,Plantae,Orchidaceae,Sauroglossum,elatum,Sauroglossum elatum,Lindl.,"Singer, RB",NA,NA,NA,"Singer, RB","1997","06","07",Brazil,São Paulo,Campinas,Sousas,-47.060001373291,-22.8999996185303,NA,NA,NA,UEC027078,Liliopsida,NA,NA,97/202,"23900",NA,NA,auto,UEC027078,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.8300018310547,-23,"32",2019-08-20 10:01:02-03,UNICAMP,UEC,"138947",S,Plantae,Orchidaceae,Sauroglossum,elatum,Sauroglossum elatum,Lindl.,"Singer, RB",NA,NA,NA,"Singer, RB","1998","08","07",Brazil,São Paulo,Itatiba,Serra Azul,-46.8300018310547,-23,NA,NA,NA,UEC027074,Liliopsida,NA,NA,98/67,"17442",NA,NA,auto,UEC027074,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
