X,Y,key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,infraspecificEpithet,taxonRank,taxonomicStatus,dateIdentified,elevation,elevationAccuracy,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,identifiers,facts,relations,collectionKey,isInCluster,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,language,collectionCode,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,occurrenceRemarks,identifiedBy,name,otherCatalogNumbers,continent,gadm,institutionKey,individualCount,nomenclaturalStatus,nomenclaturalCode,county,taxonID,bibliographicCitation,collectionID,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,higherGeography,institutionID,endDayOfYear,startDayOfYear,higherClassification,fieldNotes,preparations,coordinateUncertaintyInMeters,references,habitat,verbatimEventDate,georeferenceProtocol,georeferenceSources,identificationRemarks,verbatimElevation,eventRemarks,rights,dynamicProperties,verbatimLocality,identificationID,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,georeferencedDate,taxonRemarks,datasetID,fieldNumber,typeStatus,typifiedName,recordedByIDs.type,recordedByIDs.value,informationWithheld,organismID,locationID,accessRights,X.3aee7756.565e.4dc5.b22c.f997fbd7105c.,verbatimCoordinateSystem,projectId,acceptedNameUsage,georeferenceRemarks,materialSampleID,parentNameUsageID,disposition,acceptedNameUsageID,samplingProtocol,parentNameUsage,data_cleaning_note,NM_MUNICIP,CD_GEOCMU
-45.95,-23.266667,"1086916038",Declieuxia cordigera Mart. ex Zucc.,-23.266667,-45.95,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:43Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"7384743","6","7707728","220","412","8798","2912315","7384743","7384743",Declieuxia cordigera Mart. ex Zucc.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Declieuxia,Declieuxia cordigera,Declieuxia,cordigera,NA,SPECIES,ACCEPTED,2015-04-23T00:00:00Z,NA,NA,Sp,"2013","1","13",2013-01-13T00:00:00Z,2021-03-04T18:46:02Z,2021-04-08T12:14:43Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,835c4b58-e96d-49cc-b711-0f3de04547c0,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:47842,"142",PEMCJ,Campos do Jordão,SPSF - Herbário Dom Bento José Pickel,"1086916038",pt,SPSF,BRA:IF:SPSF:47842,Collection,"47842",T.E.Barreto,IF,Instituto Florestal,"COLETA: Herbáceo; GEOGRAFIA: Campo de altitude.;",J.B.Baitello,Declieuxia cordigera Mart. ex Zucc.,NA,SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,JACAREÍ,"3524402"
-45.8803535288034,-23.1741596601934,"1928662101",Declieuxia cordigera var. angustifolia Müll.Arg.,-23.1741596601934,-45.8803535288034,"cdrep,colmafu",d415c253-4d61-4459-9d25-4015b9084fb0,ae447c50-b8a8-11d8-92a4-b8a03c50a862,17017c2c-036b-45d9-b045-606d21b00771,US,DWC_ARCHIVE,2021-03-29T19:05:10Z,2021-03-30T13:06:59Z,"221",ae447c50-b8a8-11d8-92a4-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2912320","6","7707728","220","412","8798","2912315","7384743","2912320",Declieuxia cordigera var. angustifolia Müll.Arg.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Declieuxia,Declieuxia cordigera,Declieuxia,cordigera,angustifolia,VARIETY,ACCEPTED,1975-01-01T00:00:00Z,"660","0",São Paulo,"1961","11","24",1961-11-24T00:00:00Z,NA,2021-03-30T13:06:59Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,b2190553-4505-4fdd-8fff-065c8ca26f72,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,The New York Botanical Garden,3f393a04-76c7-4065-aef3-501558d1aca6,"121","Uma área disjuntiva de cerrado, de várias centenas de km2, rodeada antigamente por mata. Ca. 9 km SSE em linha reta da praça principal de Sao José Dos Campos",NA,Vascular plants,"1928662101",en,NY,3f393a04-76c7-4065-aef3-501558d1aca6,PhysicalObject,"396833",I. Mimura,NY,NA,NA,J. H. Kirkbride Jr.,Declieuxia cordigera var. angustifolia Müll.Arg.,NA,SOUTH_AMERICA,NA,ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377,NA,NA,ICN,Sao José dos Campos,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,"32","32",NA,NA,sheet,"39297",http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733044,NA,24 Nov 1961,Other source,CRIA (Centro de Referência em Informação Ambiental),NA,ca. 2165 ft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SÃO JOSÉ DOS CAMPOS,"3549904"
-45.8803535288034,-23.1741596601934,"1929355521",Declieuxia cordigera var. angustifolia Müll.Arg.,-23.1741596601934,-45.8803535288034,"cdrep,colmafu",d415c253-4d61-4459-9d25-4015b9084fb0,ae447c50-b8a8-11d8-92a4-b8a03c50a862,17017c2c-036b-45d9-b045-606d21b00771,US,DWC_ARCHIVE,2021-03-29T19:05:10Z,2021-03-30T13:06:41Z,"221",ae447c50-b8a8-11d8-92a4-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2912320","6","7707728","220","412","8798","2912315","7384743","2912320",Declieuxia cordigera var. angustifolia Müll.Arg.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Declieuxia,Declieuxia cordigera,Declieuxia,cordigera,angustifolia,VARIETY,ACCEPTED,1975-01-01T00:00:00Z,"620","20",São Paulo,"1961","12","30",1961-12-30T00:00:00Z,NA,2021-03-30T13:06:41Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,b2190553-4505-4fdd-8fff-065c8ca26f72,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,The New York Botanical Garden,70554e13-2737-46c2-a243-c9671753d520,"169",7.4-7.7 km ao SSE em linha reta da praça principal de Sao Jose Dos Campo. 400-800 m ao oeste da estrada para Paraibuna.,NA,Vascular plants,"1929355521",en,NY,70554e13-2737-46c2-a243-c9671753d520,PhysicalObject,"396824",I. Mimura,NY,NA,NA,J. H. Kirkbride Jr.,Declieuxia cordigera var. angustifolia Müll.Arg.,NA,SOUTH_AMERICA,NA,ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377,NA,NA,ICN,Sao José dos Campos,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,"36","36",NA,NA,sheet,"39297",http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733043,Cabeceira de um vale pequeno,30 Dec 1961,Other source,CRIA (Centro de Referência em Informação Ambiental),NA,1969-2100 ft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SÃO JOSÉ DOS CAMPOS,"3549904"
-45.8803535288034,-23.1741596601934,"1930105414",Declieuxia cordigera var. angustifolia Müll.Arg.,-23.1741596601934,-45.8803535288034,"cdrep,colmafu",d415c253-4d61-4459-9d25-4015b9084fb0,ae447c50-b8a8-11d8-92a4-b8a03c50a862,17017c2c-036b-45d9-b045-606d21b00771,US,DWC_ARCHIVE,2021-03-29T19:05:10Z,2021-03-30T13:07:25Z,"221",ae447c50-b8a8-11d8-92a4-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2912320","6","7707728","220","412","8798","2912315","7384743","2912320",Declieuxia cordigera var. angustifolia Müll.Arg.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Declieuxia,Declieuxia cordigera,Declieuxia,cordigera,angustifolia,VARIETY,ACCEPTED,1975-01-01T00:00:00Z,"600","0",São Paulo,"1961","12","20",1961-12-20T00:00:00Z,NA,2021-03-30T13:07:25Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,b2190553-4505-4fdd-8fff-065c8ca26f72,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,The New York Botanical Garden,a55bc89c-63a4-4d60-a48d-045806c41712,"151",6-6.5 km ao SW ao longo da rodovia Pres. Dutra da saida para Sao José. 100-500 m ao lado SE da rodovia,NA,Vascular plants,"1930105414",en,NY,a55bc89c-63a4-4d60-a48d-045806c41712,PhysicalObject,"396832",I. Mimura,NY,NA,NA,J. H. Kirkbride Jr.,Declieuxia cordigera var. angustifolia Müll.Arg.,NA,SOUTH_AMERICA,NA,ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377,NA,NA,ICN,Sao José dos Campos,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,"35","35",NA,NA,sheet,"39297",http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733046,NA,20 Dec 1961,Other source,CRIA (Centro de Referência em Informação Ambiental),NA,ca. 1969 ft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SÃO JOSÉ DOS CAMPOS,"3549904"
-45.8803535288034,-23.1741596601934,"1930110279",Declieuxia cordigera var. angustifolia Müll.Arg.,-23.1741596601934,-45.8803535288034,"cdrep,colmafu",d415c253-4d61-4459-9d25-4015b9084fb0,ae447c50-b8a8-11d8-92a4-b8a03c50a862,17017c2c-036b-45d9-b045-606d21b00771,US,DWC_ARCHIVE,2021-03-29T19:05:10Z,2021-03-30T13:07:24Z,"221",ae447c50-b8a8-11d8-92a4-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2912320","6","7707728","220","412","8798","2912315","7384743","2912320",Declieuxia cordigera var. angustifolia Müll.Arg.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Declieuxia,Declieuxia cordigera,Declieuxia,cordigera,angustifolia,VARIETY,ACCEPTED,1975-01-01T00:00:00Z,"600","0",São Paulo,"1961","12","20",1961-12-20T00:00:00Z,NA,2021-03-30T13:07:24Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,b2190553-4505-4fdd-8fff-065c8ca26f72,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,The New York Botanical Garden,a5b7a73c-2411-4285-8c6d-52726c2437df,"151",6-6.5 km ao SW ao longo da rodovia Pres. Dutra da saida para Sao José. 100-500 m ao lado SE da rodovia,NA,Vascular plants,"1930110279",en,NY,a5b7a73c-2411-4285-8c6d-52726c2437df,PhysicalObject,"396831",I. Mimura,NY,NA,NA,J. H. Kirkbride Jr.,Declieuxia cordigera var. angustifolia Müll.Arg.,NA,SOUTH_AMERICA,NA,ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377,NA,NA,ICN,Sao José dos Campos,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,"35","35",NA,NA,sheet,"39297",http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733045,NA,20 Dec 1961,Other source,CRIA (Centro de Referência em Informação Ambiental),NA,ca. 1969 ft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SÃO JOSÉ DOS CAMPOS,"3549904"
-47.4504628117185,-23.5038606864355,"1928322529",Declieuxia cordigera var. cordigera,-23.5038606864355,-47.4504628117185,"cdrep,colmafu",d415c253-4d61-4459-9d25-4015b9084fb0,ae447c50-b8a8-11d8-92a4-b8a03c50a862,17017c2c-036b-45d9-b045-606d21b00771,US,DWC_ARCHIVE,2021-03-29T19:05:10Z,2021-03-30T13:07:14Z,"221",ae447c50-b8a8-11d8-92a4-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"7067073","6","7707728","220","412","8798","2912315","7384743","7067073",Declieuxia cordigera var. cordigera,Plantae,Tracheophyta,Gentianales,Rubiaceae,Declieuxia,Declieuxia cordigera,Declieuxia,cordigera,cordigera,VARIETY,ACCEPTED,NA,NA,NA,São Paulo,"1959","9","20",1959-09-20T00:00:00Z,NA,2021-03-30T13:07:14Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,b2190553-4505-4fdd-8fff-065c8ca26f72,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,The New York Botanical Garden,2705c043-bb3a-47f4-9288-a057e206535e,"79",Km 120 estrada S. Paulo-Itapetininga,NA,Vascular plants,"1928322529",en,NY,2705c043-bb3a-47f4-9288-a057e206535e,PhysicalObject,"396820",S. Machado,NY,NA,NA,L. B. Smith,Declieuxia cordigera var. cordigera,NA,SOUTH_AMERICA,NA,ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377,NA,NA,ICN,Sorocaba,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,"26","26",NA,NA,sheet,"17154",http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=710349,NA,20 Sep 1959,Other source,CRIA (Centro de Referência em Informação Ambiental),"! J. H. Kirkbride Jr., 1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SOROCABA,"3552205"
-46.724373,-23.565521,"1929560208",Declieuxia cordigera var. angustifolia Müll.Arg.,-23.565521,-46.724373,colmafu,d415c253-4d61-4459-9d25-4015b9084fb0,ae447c50-b8a8-11d8-92a4-b8a03c50a862,17017c2c-036b-45d9-b045-606d21b00771,US,DWC_ARCHIVE,2021-03-29T19:05:10Z,2021-03-30T13:06:34Z,"221",ae447c50-b8a8-11d8-92a4-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2912320","6","7707728","220","412","8798","2912315","7384743","2912320",Declieuxia cordigera var. angustifolia Müll.Arg.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Declieuxia,Declieuxia cordigera,Declieuxia,cordigera,angustifolia,VARIETY,ACCEPTED,1975-01-01T00:00:00Z,NA,NA,São Paulo,"1949","10","1",1949-10-01T00:00:00Z,NA,2021-03-30T13:06:34Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,b2190553-4505-4fdd-8fff-065c8ca26f72,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,The New York Botanical Garden,7ee1b85a-fb0a-4d7a-8cb7-a2bb5fa83453,III177,Butantan,NA,Vascular plants,"1929560208",en,NY,7ee1b85a-fb0a-4d7a-8cb7-a2bb5fa83453,PhysicalObject,"396830",J. Vidal,NY,NA,NA,J. H. Kirkbride Jr.,Declieuxia cordigera var. angustifolia Müll.Arg.,NA,SOUTH_AMERICA,NA,ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377,NA,NA,ICN,Sao Paulo,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,"27","27",NA,NA,sheet,"2766.57",http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733037,NA,01 Oct 1949,"Georeferencing Quick Reference Guide, Version 2012","Google Maps (map data 2016), Manis Georef. Calculator",NA,NA,NA,NA,NA,NA,NA,NA,2016-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SÃO PAULO,"3550308"
-46.6361,-23.5475,"1090581037",Declieuxia cordigera var. angustifolia Müll.Arg.,-23.5475,-46.6361,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:49Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2912320","6","7707728","220","412","8798","2912315","7384743","2912320",Declieuxia cordigera var. angustifolia Müll.Arg.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Declieuxia,Declieuxia cordigera,Declieuxia,cordigera,angustifolia,VARIETY,ACCEPTED,1989-06-06T00:00:00Z,NA,NA,São Paulo,"1947","11","6",1947-11-06T00:00:00Z,2020-02-20T17:37:14Z,2021-03-30T09:40:49Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:54240,s/nº,Próx. a Interlagos,São Paulo,IAC - Herbário do Instituto Agronômico de Campinas,"1090581037",pt,IAC,BRA:IAC:IAC:54240,Collection,"54240",W. Hoehne,IAC,Instituto Agronômico de Campinas,NA,J.H. Kirkbride Jr.,Declieuxia cordigera var. angustifolia Müll.Arg.,NA,NA,NA,841aebec-2beb-4b59-96f1-fdf9d91ccff8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SÃO PAULO,"3550308"
-46.543068,-23.587347,"1931027095",Declieuxia cordigera var. angustifolia Müll.Arg.,-23.587347,-46.543068,colmafu,d415c253-4d61-4459-9d25-4015b9084fb0,ae447c50-b8a8-11d8-92a4-b8a03c50a862,17017c2c-036b-45d9-b045-606d21b00771,US,DWC_ARCHIVE,2021-03-29T19:05:10Z,2021-03-30T13:07:29Z,"221",ae447c50-b8a8-11d8-92a4-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2912320","6","7707728","220","412","8798","2912315","7384743","2912320",Declieuxia cordigera var. angustifolia Müll.Arg.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Declieuxia,Declieuxia cordigera,Declieuxia,cordigera,angustifolia,VARIETY,ACCEPTED,1975-01-01T00:00:00Z,NA,NA,São Paulo,"1933","12","1",1933-12-01T00:00:00Z,2016-11-01T08:35:00Z,2021-03-30T13:07:29Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,b2190553-4505-4fdd-8fff-065c8ca26f72,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,The New York Botanical Garden,e6910490-e09d-4c5c-a070-e439fd656195,"12863",Vila Ema,NA,Vascular plants,"1931027095",en,NY,e6910490-e09d-4c5c-a070-e439fd656195,PhysicalObject,"396839",A. C. Brade,NY,NA,NA,J. H. Kirkbride Jr.,Declieuxia cordigera var. angustifolia Müll.Arg.,NA,SOUTH_AMERICA,NA,ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377,NA,NA,ICN,Piracicaba,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,"33","33",NA,NA,sheet,"1246.57",http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733030,NA,01 Dec 1933,"Georeferencing Quick Reference Guide, Version 2012","Google Maps (map data 2016), Manis Georef. Calculator",NA,NA,NA,NA,NA,NA,NA,NA,2016-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SÃO PAULO,"3550308"
-46.621883,-23.654505,"1931308930",Declieuxia cordigera var. angustifolia Müll.Arg.,-23.654505,-46.621883,colmafu,d415c253-4d61-4459-9d25-4015b9084fb0,ae447c50-b8a8-11d8-92a4-b8a03c50a862,17017c2c-036b-45d9-b045-606d21b00771,US,DWC_ARCHIVE,2021-03-29T19:05:10Z,2021-03-30T13:06:56Z,"221",ae447c50-b8a8-11d8-92a4-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2912320","6","7707728","220","412","8798","2912315","7384743","2912320",Declieuxia cordigera var. angustifolia Müll.Arg.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Declieuxia,Declieuxia cordigera,Declieuxia,cordigera,angustifolia,VARIETY,ACCEPTED,1975-01-01T00:00:00Z,NA,NA,São Paulo,"1931","11","27",1931-11-27T00:00:00Z,NA,2021-03-30T13:06:56Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,b2190553-4505-4fdd-8fff-065c8ca26f72,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,The New York Botanical Garden,fa9914c1-6064-452c-9f68-49bee106cd1f,"28541",Parque do Estado,NA,Vascular plants,"1931308930",en,NY,fa9914c1-6064-452c-9f68-49bee106cd1f,PhysicalObject,"396835",F. C. Hoehne,NY,NA,NA,J. H. Kirkbride Jr.,Declieuxia cordigera var. angustifolia Müll.Arg.,NA,SOUTH_AMERICA,NA,ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377,NA,NA,ICN,Sao Paulo,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:15556,"33","33",NA,NA,sheet,"2176.57",http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733042,NA,27 Nov 1931,"Georeferencing Quick Reference Guide, Version 2012","Google Maps (map data 2016), Manis Georef. Calculator",NA,NA,NA,NA,NA,NA,NA,NA,2016-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SÃO PAULO,"3550308"
