X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,continentOcean,country,stateProvince,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,year,month,day,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,yearIdentified,locality,coordinatePrecision,geoFlag,class,relatedCatalogItem,monthIdentified,dayIdentified,minimumElevationInMeters,maximumElevationInMeters,fieldNumber,typeStatus,individualCount,NM_MUNICIP,CD_GEOCMU
-45.25,-23.416667,"2",2021-02-18 09:29:44-03,UNESP-IBB,BOTU,"24435",PreservedSpecimen,Plantae,NA,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Pilla, M.A.C.","108",NA,Brasil,São Paulo,NA,"Arbórea, flores em capítulo, brancas",BOTU024435,NA,"Tamashiro, J.Y.","2005","03","14",Natividade da Serra,-45.25,-23.416667,45°15'w,23°25's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-45.194444,-23.435278,"18",2021-03-01 16:30:41-03,UNICAMP,UEC,"179033",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Silva, ED","1172",NA,Brazil,São Paulo,NA,"Árvore 8 m, frutos imaturos.; Flores Ombrófila Densa Montana",UEC023328,UEC023328,NA,"2008","09","07",Ubatuba,-45.194444,-23.435278,"-45.194444","-23.435278",NA,"Núcleo Santa Virgínia, P.E.S.M., Vargem Grande",NA,NA,NA,NA,NA,NA,"1123","1123",NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-45.183333,-23.4,"19",2021-03-01 16:30:41-03,UNICAMP,UEC,"200478",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Pereira, LS; Belinello, R; Gomes, JAMA",N913,NA,Brazil,São Paulo,NA,"Parcela N - Projeto Biota-FAPESP. Árvore com 8 metros de altura. Frequência da espécie na parcela: n=3; Mata Atlântica",UEC158029,UEC158029,NA,"2007","12",NA,São Luiz do Paraitinga,-45.183333,-23.4,"-45.183333","-23.4","2008",Parque Estadual da Serra do Mar,NA,NA,NA,NA,NA,NA,"990","1045",NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-45.183333,-23.4,"20",2021-03-01 16:30:41-03,UNICAMP,UEC,"200152",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Padgurschi, MCG; Belinello, R",M373,NA,Brazil,São Paulo,NA,Parcela M - Projeto Biota-FAPESP. Árvore com 8 metros de altura. Frequência da espécie na parcela: n=65,UEC177660,UEC177660,NA,"2009",NA,NA,São Luiz do Paraitinga,-45.183333,-23.4,"-45.183333","-23.4",NA,Parque Estadual da Serra do Mar,NA,NA,NA,NA,NA,NA,"990","1045",NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-45.945278,-23.330333,"22",2021-03-01 16:30:41-03,UNICAMP,UEC,"160317",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","419",NA,Brazil,São Paulo,NA,"Material fertil. Cerca de 14m de altura e 19 individuos distribuídos em ilha.; Floresta Ombrófila Densa Montana.",UEC039544,UEC039544,"Marchiori, NM","2011","07","15",São Luiz do Paraitinga,-45.945278,-23.330333,"-45.945278","-23.330333","2011",Parque Estadual.,NA,NA,NA,NA,"05",NA,"999","999",NA,NA,NA,JACAREÍ,"3524402"
-45.945278,-23.330333,"23",2021-03-01 16:30:41-03,UNICAMP,UEC,"160316",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","288",NA,Brazil,São Paulo,NA,"Material vegetativo. Cerca de 11m de altura e 19 individuos distribuídos em ilha.; Floresta Ombrófila Densa Montana.",UEC039543,UEC039543,"Marchiori, NM","2011","01","25",São Luiz do Paraitinga,-45.945278,-23.330333,"-45.945278","-23.330333","2011",Parque Estadual.,NA,NA,NA,NA,"05",NA,"999","999",NA,NA,NA,JACAREÍ,"3524402"
-45.194444,-23.435278,"29",2021-03-01 16:30:41-03,UNICAMP,UEC,"179034",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Silva, ED","1171",NA,Brazil,São Paulo,NA,"Árvore 6 m, frutos imaturos.; Flores Ombrófila Densa Montana",UEC023327,UEC023327,NA,"2008","09","07",Ubatuba,-45.194444,-23.435278,"-45.194444","-23.435278",NA,"Núcleo Santa Virgínia, P.E.S.M., Cac. Salto Grande",NA,NA,NA,NA,NA,NA,"1123","1123",NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-47.9199981689453,-24.3799991607666,"35",2021-03-01 16:30:41-03,UNICAMP,UEC,"160567",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Dias, AC","85",NA,Brazil,São Paulo,NA,"Árvore 5 m altura, tronco rugoso e ramos lenticelados.",UEC017234,UEC017234,"Garcia, FCP","1986","07","29",Sete Barras,-47.9199981689453,-24.3799991607666,NA,NA,"1999",Parque Estadual Carlos Botelho,"34059",auto,NA,NA,"08",NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-45.194444,-23.435278,"43",2020-12-21 16:26:41-03,MBM,MBM,"410817",PreservedSpecimen,Plantae,NA,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Silva, E.D.","1172",Southern America,Brazil,São Paulo,NA,"Árvore 8 m, frutos imaturos.",MBM410817,MBM410817,"Silva, E.D.","2008","09","07",Ubatuba,-45.194444,-23.435278,"-45.194444","-23.435278","2007","Núcleo Santa Virgínia, Vargem Grande, trilha do morro do Corcovado",NA,NA,NA,NA,"03",NA,"1123","1123",NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-45.19444,-23.43528,"47",2016-03-09 17:11:56-03,MNHN,RECOLNAT_MNHN_P,P00871136,PreservedSpecimen,NA,NA,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Silva, E.D.",NA,NA,Brasil,São Paulo,hb,<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00871136' target='other'> <mi>dwc_moreinfo</mi></a>,P00871136,P00871136_01,NA,"2008","9","7",Ubatuba,-45.19444,-23.43528,NA,NA,NA,"Núcleo Santa Virginia, Parque Estadual da Serra do Mar, Vargem Grande, trilha do morro do Corcovado",NA,NA,NA,NA,NA,NA,"1123",NA,"1171",NA,NA,NATIVIDADE DA SERRA,"3532306"
