X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,recordNumber,locality,occurrenceRemarks,infraspecificEpithet,coordinatePrecision,geoFlag,phylum,order,continentOcean,preparationType,typeStatus,class,relatedCatalogItem,relationshipType,individualCount,fieldNumber,previousCatalogNumber,NM_MUNICIP,CD_GEOCMU
-46.724373,-23.565521,"28",2021-03-15 16:37:00-03,NY,NYBG,"521938",PreservedSpecimen,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens cinerascens,NA,NA,NA,NA,NA,F. C. Hoehne,"1919","03","17",Brazil,São Paulo,Sao Paulo,-46.724373,-23.565521,NA,NA,NA,NA,NY00521938,NY00521938_01,"3079",Butantan,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589717' target='other'> <mi>dwc_moreinfo</mi></a>,cinerascens,NA,NA,Magnoliophyta,Myrtales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.715991,-23.599038,"72",2021-03-15 16:37:00-03,NY,NYBG,"521932",PreservedSpecimen,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens cinerascens,NA,NA,NA,NA,NA,P. A. Munz,"1939","01","03",Brazil,São Paulo,Sao Paulo,-46.715991,-23.599038,NA,NA,NA,NA,NY00521932,NY00521932_01,"15401",Morunby,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589718' target='other'> <mi>dwc_moreinfo</mi></a>,cinerascens,NA,NA,Magnoliophyta,Myrtales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-47.6300010681152,-24.3199996948242,"243",2020-11-04 11:13:36-03,ESALQ,ESA,"24179",PreservedSpecimen,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens,NA,"Goldenberg, R.","1998","01","01","Barreto, K.D. et al.","1994","11","30",Brasil,São Paulo,Juquiá,-47.6300010681152,-24.3199996948242,NA,NA,NA,NA,ESA024179,NA,"3309.0",NA,NA,NA,"32505",auto,Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JUQUIÁ,"3526100"
-47.35173,-24.03059,"253",2020-11-04 11:13:36-03,ESALQ,ESA,"128456",PreservedSpecimen,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens,NA,NA,NA,NA,NA,"Cabral, F.N.","2013","03","30",Brasil,São Paulo,Tapiraí,-47.35173,-24.03059,"-47.35173","-24.03059",NA,NA,ESA128456,NA,"900.0","Trilha do Chagas, UHE da Fumaça, Floresta Ombrófila Densa, à margem esquerda do Rio Juquiá.",arbusto ver numero,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIRACATU,"3529906"
-46.386111,-22.888889,"391",2019-08-20 10:19:00-03,UNICAMP,UEC,"79560",S,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens cinerascens,Miq.,"Caddah, MK","2012",NA,NA,"Papp, MG; Oishi, C","1995","11","25",Brazil,Minas Gerais,Camanducaia,-46.386111,-22.888889,"-46.386111","-22.888889","1700","1800",UEC083750,UEC083750,"22","Vila de Monte Verde, Trilha do Pico Sela, Sítio.",Porte arbóreo. Mata de altitude.,cinerascens,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VARGEM,"3556354"
-46.386111,-22.888889,"392",2019-08-20 10:19:00-03,UNICAMP,UEC,"80131",S,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens cinerascens,Miq.,"Caddah, MK","2012",NA,NA,"Papp, MG; Oishi, C","1995","11","25",Brazil,Minas Gerais,Camanducaia,-46.386111,-22.888889,"-46.386111","-22.888889","1700","1800",UEC083741,UEC083741,"18","Vila de Monte Verde, Trilha do Pico Sela, Sítio.","flor, Porte arbóreo. Mata de altitude.",cinerascens,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VARGEM,"3556354"
-46.386111,-22.888889,"393",2019-08-20 10:19:00-03,UNICAMP,UEC,"79583",S,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens cinerascens,Miq.,"Caddah, MK","2012",NA,NA,"Papp, MG; Oishi, C","1995","11","25",Brazil,Minas Gerais,Camanducaia,-46.386111,-22.888889,"-46.386111","-22.888889","1700","1800",UEC083719,UEC083719,"29","Vila de Monte Verde, Trilha do Pico Sela, Sítio.","flor, Porte arbóreo. Mata de altitude.",cinerascens,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VARGEM,"3556354"
-46.386111,-22.888889,"394",2019-08-20 10:19:00-03,UNICAMP,UEC,"79584",S,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens cinerascens,Miq.,"Caddah, MK","2012",NA,NA,"Papp, MG; Oishi, C","1995","11","25",Brazil,Minas Gerais,Camanducaia,-46.386111,-22.888889,"-46.386111","-22.888889","1700","1800",UEC083737,UEC083737,"28","Vila de Monte Verde, Trilha do Pico Sela, Sítio.","flor, Porte arbóreo. Mata de altitude.",cinerascens,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VARGEM,"3556354"
-46.386111,-22.888889,"395",2019-08-20 10:19:00-03,UNICAMP,UEC,"79585",S,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens cinerascens,Miq.,"Caddah, MK","2012",NA,NA,"Papp, MG; Oishi, C","1995","11","25",Brazil,Minas Gerais,Camanducaia,-46.386111,-22.888889,"-46.386111","-22.888889","1700","1800",UEC083720,UEC083720,"27","Vila de Monte Verde, Trilha do Pico Sela, Sítio.","flor, Porte arbóreo. Mata de altitude.",cinerascens,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VARGEM,"3556354"
-46.386111,-22.888889,"396",2019-08-20 10:19:00-03,UNICAMP,UEC,"79602",S,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens cinerascens,Miq.,"Caddah, MK","2012",NA,NA,"Papp, MG; Oishi, C","1995","11","25",Brazil,Minas Gerais,Camanducaia,-46.386111,-22.888889,"-46.386111","-22.888889","1700","1800",UEC083723,UEC083723,"25","Vila de Monte Verde, Trilha do Pico Sela, Sítio.","flor, Porte arbóreo. Mata de altitude.",cinerascens,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VARGEM,"3556354"
