X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,yearIdentified,monthIdentified,dayIdentified,phylum,order,infraspecificEpithet,continentOcean,preparationType,typeStatus,coordinatePrecision,geoFlag,class,relatedCatalogItem,individualCount,fieldNumber,previousCatalogNumber,sex,NM_MUNICIP,CD_GEOCMU
-46.25,-23.75,"48",2021-02-08 11:09:32-03,UNESP-IBB,BOTU,"13171",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,brasiliensis,Calyptranthes brasiliensis,Spreng.,NA,"Amaral Jr., A.","44","1985","04","25",Brasil,São Paulo,Santo André,NA,-46.25,-23.75,46°15'w,23°45's,NA,NA,NA,BOTU013171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOGI DAS CRUZES,"3530607"
-46.6300010681152,-23.5400009155273,"71",2020-01-20 14:40:42-03,UPM,MACK,"2436",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,grandifolia,Calyptranthes grandifolia,O. Berg,R. J. F. Garcia,E. H. P. Barretto,"1","2009","11","10",Brasil,SP,São Paulo,Parque Tenente Siqueira Campos (Trianon),-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,"2012","07","11",NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"72",2020-01-20 14:40:42-03,UPM,MACK,"2634",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,grandifolia,Calyptranthes grandifolia,O. Berg.,M. Fascina,E. H. P. Barretto,"1","2009","11","10",Brasil,SP,São Paulo,Parque Trianon,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,"2011","12",NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"73",2020-01-20 14:40:42-03,UPM,MACK,"519",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,grandifolia,Calyptranthes grandifolia,O. Berg,S. Honda,S. Honda,"653","2008","06","16",Brasil,SP,São Paulo,"Sítio Roda d'água, Parelheiros, mata",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,"2009","04","08",NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.5800018310547,-23.3099994659424,"159",2020-11-04 11:14:21-03,ESALQ,ESA,"87404",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,grandifolia,Calyptranthes grandifolia,O.Berg,"Aguiar, O.T.","Arzolla, F.A.R.D.P.","108.0","2000","03","22",Brasil,São Paulo,Mairiporã,NA,-46.5800018310547,-23.3099994659424,NA,NA,NA,NA,NA,ESA087404,ESA087404,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,NA,"15840",auto,NA,NA,NA,NA,NA,NA,MAIRIPORÃ,"3528502"
-47.4599990844727,-24.2800006866455,"160",2020-11-04 10:56:23-03,ESALQ,ESA,"116666",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,grandifolia,Calyptranthes grandifolia,NA,"Meireles, L.D.","Souza, V.C.",NA,"2012","01","01",Brasil,São Paulo,Miracatu,NA,-47.4599990844727,-24.2800006866455,NA,NA,NA,NA,NA,ESA116666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43974",auto,NA,NA,NA,NA,NA,NA,MIRACATU,"3529906"
-46.39,-23.96,"178",2015-07-02 14:03:07-03,JBP,HPL,"12024",S,Plantae,Myrtaceae,Calyptranthes,grandifolia,Calyptranthes grandifolia,O. Berg,M. Sobral,"C. Moura, M. Fachada & J. Cardoso","54","2003","11","27",Brasil,SP,São Vicente,"Coletado no Parque Estadual Xixová-Japuí, trilha da costeira, morro do Japuí, mata de encosta. 23° 58' 37 - 24° 02' 06 lat. S e 46° 22' 19 - 46° 24' 42 long. W.",-46.39,-23.96,NA,NA,NA,NA,NA,NA,NA,"2005","10","10",NA,NA,NA,NA,NA,NA,"25482",auto,NA,NA,NA,NA,NA,NA,SÃO VICENTE,"3551009"
-46.624975,-23.643586,"293",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0060138,PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,grandifolia,Calyptranthes grandifolia,O.Berg in Mart.,M. L. Kawasaki,O. Handro,NA,"1934","1","30",Brazil,Sao Paulo,NA,São Paulo. Nativa no Jardim Botânico.,-46.624975,-23.643586,NA,NA,NA,NA,"Árvore grande da mata, flores alvas.",NA,NA,NA,NA,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.618333,-23.4375,"335",2021-03-01 16:36:02-03,UNICAMP,UEC,"133723",S,Plantae,Myrtaceae,Calyptranthes,grandifolia,Calyptranthes grandifolia,O.Berg,"Aguiar, OT","Arzolla, FARDP; Moura, C; Vilela, FESP","1037","2007","01","17",Brazil,São Paulo,São Paulo,"Parque Estadual da Cantareira, proximidades da estrada da Roseira",-46.618333,-23.4375,"-46.618333","-23.4375","950","950","Árvore, 5m alt., com flores e botões florais.; Flroesta Ombrófila Densa Montana, estádio maduro.",NA,NA,"2007","02","08",Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.5800018310547,-23.3099994659424,"348",2021-03-01 16:36:02-03,UNICAMP,UEC,"130093",S,Plantae,Myrtaceae,Calyptranthes,grandifolia,Calyptranthes grandifolia,O.Berg,"Aguiar, OT","Arzolla, FARDP","108","2000","03","22",Brazil,São Paulo,Mairiporã,"Parque Estadual da Cantareira, região de Águas Claras",-46.5800018310547,-23.3099994659424,NA,NA,NA,NA,"Árvore 8m alt., botões florais creme, início de furtos.",NA,NA,"2000","03","22",Magnoliopsida,NA,NA,NA,NA,NA,"15840",auto,NA,NA,NA,NA,NA,NA,MAIRIPORÃ,"3528502"
