X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,infraspecificEpithet,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,class,relatedCatalogItem,individualCount,typeStatus,NM_MUNICIP,CD_GEOCMU
-46.5499992370605,-23.1100006103516,"28",2020-11-04 11:18:47-03,ESALQ,ESA,"13148",PreservedSpecimen,Plantae,Magnoliophyta,NA,Rubiaceae,Psychotria,malaneoides,Psychotria malaneoides,Müll. Arg.,NA,"Bernacci, L.C. et al.","21426.0","1988","01","25",NA,Brasil,São Paulo,Atibaia,NA,-46.5499992370605,-23.1100006103516,NA,NA,ESA013148,ESA013148,NA,NA,NA,NA,NA,NA,NA,NA,"21675",auto,NA,NA,NA,NA,ATIBAIA,"3504107"
-46.7,-23.583333,"29",2019-02-15 11:49:48-02,IPA,IPA,"63681",S,Plantae,Plantae,NA,Rubiaceae,Psychotria,malaneoides,Psychotria malaneoides,Müll. Arg.,"Aragaki, S.","Aragaki, S.","400","1999",NA,NA,Southern America,Brasil,São Paulo,São Paulo,Parque Municipal Alfredo Volpi,-46.7,-23.583333,NA,NA,IPA0063681,NA,NA,NA,NA,"1999",NA,NA,"-46.7","-23.583333",NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"37",2020-12-20 21:19:20-03,UFV,VIC,"009919",PreservedSpecimen,Plantae,NA,NA,Rubiaceae,Psychotria,malaneoides,Psychotria malaneoides,Mull Arg,NA,"Vieira, M.F.; Reis, H.S.",s.n.,"1987","01","10",NA,Brasil,São Paulo,São Paulo,Parque Estadual da Serra do Mar,-46.6300010681152,-23.5400009155273,NA,"Árvore de cerca de 3 a 4 m, corola branca, coletada na beira de estrada de terra",VIC009919,VIC009919,NA,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.7302778,-23.8186111,"86",2020-03-26 13:16:00-03,MO,MOBOT,"3204378",PreservedSpecimen,Plantae,NA,NA,Rubiaceae,Palicourea,malaneoides,Palicourea malaneoides,(Müll. Arg.) C.M. Taylor,C.M. Taylor,S.A.P. Godoy|C. Palaria|V. Agostinho,Godoy 505,"1995","4","20",South America,Brazil,São Paulo,São Paulo,"Parelheiros, SP-SP. Centro Paulus, Trilha á esquerda da casa.",-46.7302778,-23.8186111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,SÃO PAULO,"3550308"
-46.4666667,-23.5833333,"88",2020-03-26 12:39:00-03,MO,MOBOT,"3204852",PreservedSpecimen,Plantae,NA,NA,Rubiaceae,Palicourea,malaneoides,Palicourea malaneoides,(Müll. Arg.) C.M. Taylor,C.M. Taylor,R.J.F. Garcia,Garcia 451,"1994","5","24",South America,Brazil,São Paulo,NA,Parque Ecológico da APA DO CARMO: Trilha 1.,-46.4666667,-23.5833333,NA,NA,NA,NA,NA,"850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,SÃO PAULO,"3550308"
-47.21666,-24.05,"100",2016-08-03 16:22:00-03,MO,MOBOT,"3206990",PreservedSpecimen,Plantae,NA,NA,Rubiaceae,Palicourea,malaneoides,Palicourea malaneoides,(Müll. Arg.) C.M. Taylor,C.M. Taylor,PIRANI,PIRANI 3093,"1994","4","19",South America,Brazil,São Paulo,NA,"Mun. Miracatu, Fazenda Itereí, Serra de Paranapiacaba, BR 116 Km 350. Floresta pluvial Atlântica de encosta Trilha Riacho Posse Nova",-47.21666,-24.05,NA,NA,NA,NA,NA,"500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIRACATU,"3529906"
-46.7302778,-23.8186111,"102",2020-03-26 12:37:00-03,MO,MOBOT,"3207389",PreservedSpecimen,Plantae,NA,NA,Rubiaceae,Palicourea,malaneoides,Palicourea malaneoides,(Müll. Arg.) C.M. Taylor,C.M. Taylor,R.J.F. Garcia|G.M.P. Ferreira|M. Heineberg,Garcia 654,"1995","4","20",South America,Brazil,São Paulo,São Paulo,"Parelheiros. Centro Paulus, secundária Próxima á sede",-46.7302778,-23.8186111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,SÃO PAULO,"3550308"
-46.941667,-23.824167,"108",2018-09-12 14:48:32-03,UNIOESTE,UNOP,"8320",S,Plantae,NA,NA,Rubiaceae,Palicourea,malaneoides,Palicourea malaneoides,(Müll.Arg.) C.M.Taylor,"Delprete, P.G.","Lombardi, J.A.; Saka, M.N.; Fonseca, R.; Saka, M.N.; Fonseca, R.","8506","2011","04","25",NA,Brasil,São Paulo,São Lourenço da Serra,"Reserva Particular do Patrimônio Natural Paiol Maria, Trilha Ibirá #?# Mirim.",-46.941667,-23.824167,NA,"Amostra em sílica. Trilhas no interior de mata atlântica secundária. Arbusto ca. 0,8 m, folhas papiráceas, frutos imaturos verdes.",NA,NA,NA,"762","762","2012","04",NA,"-46.941667","-23.824167",NA,NA,NA,NA,NA,NA,SÃO LOURENÇO DA SERRA,"3549953"
-47.075,-23.95,"155",2020-09-12 05:00:02-03,US,US,"2687158",PreservedSpecimen,Plantae,NA,Rubiales,Rubiaceae,Psychotria,malaneoides,Psychotria malaneoides,Müll. Arg.,NA,G. Eiten & W. D. Clayton,"6044","1965","2","13",South America - Neotropics,Brazil,São Paulo,NA,"Municipio de Itapecerica da Serra: along the S. Paulo-Registro highway (BR-2), ca. 40 km SW of turnoff to village of Sao Lourenco Da Serra, edge of secondary forest",-47.075,-23.95,NA,NA,US02733567,US02733567_01,NA,"750",NA,NA,NA,NA,NA,NA,NA,NA,Dicotyledonae,NA,"1",NA,JUQUITIBA,"3526209"
-46.7725,-23.663056,"160",2019-11-13 11:30:25-03,USP,SPF,"118087",PreservedSpecimen,Plantae,NA,NA,Rubiaceae,Psychotria,malaneoides,Psychotria malaneoides,Müll.Arg.,"Garcia, RJF","Garcia, RJF","351","1993","03","03",NA,Brasil,São Paulo,São Paulo,Parque Santo Dias,-46.7725,-23.663056,NA,NA,SPF00118087,NA,NA,NA,NA,"1995",NA,NA,"-46.7725","-23.663056",NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
