X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,phylum,order,continentOcean,preparationType,occurrenceRemarks,coordinatePrecision,geoFlag,relationshipType,relatedCatalogItem,class,typeStatus,fieldNumber,individualCount,previousCatalogNumber,sex,NM_MUNICIP,CD_GEOCMU
-46.5299987792969,-23.6599998474121,"24",2021-03-01 16:25:24-03,UNICAMP,UEC,"168857",S,Plantae,Asteraceae,Symphyopappus,lymansmithii,Symphyopappus lymansmithii,B.L.Rob.,"Hattori, EKO","2012","08",NA,"Godoy, JRL; Sugiyama, M; Mariano Neto, E","17","1996","01","29",Brazil,São Paulo,Santo André,"Campo Grande, Morro da Antena., divisa com a Reserva de Paranapiacaba.",-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,UEC048580,UEC048580,Magnoliopsida,NA,NA,NA,"Arbusto, flores creme, estigma lilás. Escrube próximo da caixa d'água.; Topo de morro.","27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.31667,-23.78333,"58",2015-10-02 06:23:17-03,MNHN,RECOLNAT_MNHN_P,P00704504,PreservedSpecimen,NA,Asteraceae,Symphyopappus,lymansmithii,Symphyopappus lymansmithii,B.L.Rob.,NA,NA,NA,NA,"Smith, L.B.",NA,"1929","2","15",Brésil,NA,NA,"Sao Paulo State. Estaçao Biologica, Alto da Serra",-46.31667,-23.78333,NA,NA,"800","900",P00704504,P00704504_01,NA,NA,NA,hb,<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00704504' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA,isotype,"1914",NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.3167,-23.7833,"82",2020-09-12 05:00:02-03,US,US,"1540447",PreservedSpecimen,Plantae,Asteraceae,Symphyopappus,lymansmithii,Symphyopappus lymansmithii,B.L. Rob.,NA,NA,NA,NA,L. B. Smith,"1914","1929","2","15",Brazil,São Paulo,NA,"Alto da serra, Estacao Biologia.",-46.3167,-23.7833,NA,NA,"800","900",US00145793,US00145793_01,NA,Asterales,South America - Neotropics,NA,NA,NA,NA,NA,NA,Dicotyledonae,Isotype,NA,"1",NA,NA,SANTO ANDRÉ,"3547809"
-46.376944,-23.745278,"108",2019-05-06 11:54:10-03,UFU,HUFU,"64698",S,Plantae,Asteraceae,Symphyopappus,lymansmithii,Symphyopappus lymansmithii,B.L.Rob.,"Almeida-Scabbia, R.J.","2008","10","08","Santos-Neta, A.C.; Pelissari, G. & Almeida-Scabbia, R.J.","50","2008","02","14",Brasil,São Paulo,Santo André,"Parabapiacaba, Jd. Joaquim Eugênio de Lima.",-46.376944,-23.745278,"-46.376944","-23.745278",NA,NA,HUFU00055721,HUFU00055721,NA,NA,NA,NA,"Arbusto 3m alt. Início de botões florais, creme com riscos vermelhos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RIO GRANDE DA SERRA,"3544103"
-46.5299987792969,-23.6599998474121,"110",2019-05-06 11:54:10-03,UFU,HUFU,"71142",S,Plantae,Asteraceae,Symphyopappus,lymansmithii,Symphyopappus lymansmithii,B.L.Rob.,"Nakajima, J.N.","2000","08",NA,"Godoy, J.R.L.; Sugiyama, M. & Mariano Neto, E.","17","1996","01","29",Brasil,São Paulo,Santo André,"Campo Grande, Morro da Antena, divisa com a Reserva de Paranapiacaba, próximo da caixa d'água.",-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,HUFU00072370,HUFU00072370,NA,NA,NA,NA,"Arbusto, flores creme, estigma lilás.; Topo de morro.","27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.316667,-23.783333,"123",2019-11-21 10:01:26-03,IBt,SP,"32791",S,Plantae,Asteraceae,Symphyopappus,lymansmithii,Symphyopappus lymansmithii,B.L.Rob.,"Robinson, BL","1931",NA,NA,"Smith, LB","1914","1929","02","15",Brasil,São Paulo,Santo André,"Estação Biológica do Alto da Serra, On campo",-46.316667,-23.783333,"-46.316667","-23.783333","800","900",SP000544,SP000544,NA,NA,NA,NA,Bush 2-3 m high,NA,NA,NA,NA,NA,Isotype,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.3525,-23.745,"124",2019-11-21 10:01:26-03,IBt,SP,"426220",S,Plantae,Asteraceae,Symphyopappus,lymansmithii,Symphyopappus lymansmithii,B.L.Rob.,"Almeida Scabbia, RJ","2008","10","08","Santos Neta, AC; Pelissari, G; Almeida Scabbia, RJ",50A,"2008","02","14",Brasil,São Paulo,Santo André,"Paranapiacaba, Jd. Joaquim Eugênio de Lima",-46.3525,-23.745,"-46.3525","-23.745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.5299987792969,-23.6599998474121,"130",2019-11-21 10:01:26-03,IBt,SP,"293004",S,Plantae,Asteraceae,Symphyopappus,lymansmithii,Symphyopappus lymansmithii,B.L.Rob.,"Nakajima, JN","1999","01",NA,"Godoy, JRL; Sugiyama, M; Mariano Neto, E","17","1996","01","29",Brasil,São Paulo,Santo André,"Campo Grande, Morro da Antena, divisa com a Reserva de Paranapiacaba. Escrube próximo da Caixa d'água. Topo de morro",-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.5299987792969,-23.6599998474121,"131",2019-11-21 10:01:26-03,IBt,SP,"137787",S,Plantae,Asteraceae,Symphyopappus,lymansmithii,Symphyopappus lymansmithii,B.L.Rob.,NA,NA,NA,NA,"Kuhlmann, M",s.n.,"1947","06","28",Brasil,São Paulo,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.5299987792969,-23.6599998474121,"132",2019-11-21 10:01:26-03,IBt,SP,"269568",S,Plantae,Asteraceae,Symphyopappus,lymansmithii,Symphyopappus lymansmithii,B.L.Rob.,"Sugiyama, M","1994","07",NA,"Sugiyama, M; Lopes, EA","1197","1994","06","17",Brasil,São Paulo,Santo André,"E.B. do Alto da Serra de Paranapiacaba, Campo Grande",-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Estéril, frequente no campo, podendo formar moitas","27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.6300010681152,-23.5400009155273,"134",2019-11-21 10:01:26-03,IBt,SP,"76232",S,Plantae,Asteraceae,Symphyopappus,lymansmithii,Symphyopappus lymansmithii,B.L.Rob.,"Nakajima, JN","1999","01",NA,"Feliciano, JB","13","1962","01","30",Brasil,São Paulo,São Paulo,"Santo Amaro, Interlagos",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
