"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","minimumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00754962","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Abarema","acreana","Abarema acreana","(J.F.Macbr.) L.Rico","D. C. Daly","7797","1993","04","06","South America","Brazil","Acre","Marechal Thaumaturgo","Reserva Extrativista do Alto Juruá, Rio Juruá, right bank. Caipora, above mouth of Igarapé Caipora, opposite Fazenda Natal","-72.67","-9.3","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=113476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754962","NY00754962_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00662831","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Abarema","acreana","Abarema acreana","(J.F.Macbr.) L.Rico","A. R. S. de Oliveira","691","1995","11","30","South America","Brazil","Acre","Feijó","Rio Muru, Seringal Lancha, proprietário Sr. Antonio Francisco Ferreira.","-70.8658","-8.5181","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=26257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662831","NY00662831_01","M. de L. Rico-Arce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00330628","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Abarema","acreana","Abarema acreana","(J.F.Macbr.) L.Rico","M. Silveira","824","1994","09","17","South America","Brazil","Acre","Tarauacá","Bacia do Rio Juruá, Rio Tarauacá, margem direira.","-71.2278","-8.3831","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=360313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330628","NY00330628_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00662832","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Abarema","acreana","Abarema acreana","(J.F.Macbr.) L.Rico","A. R. S. de Oliveira","691","1995","11","30","South America","Brazil","Acre","Feijó","Rio Muru, Seringal Lancha, proprietário Sr. Antonio Francisco Ferreira.","-70.8658","-8.5181","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=26258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662832","NY00662832_01","M. de L. Rico-Arce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","334624","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pithecellobium","acreanum","Pithecellobium acreanum","J.F.Macbr.","B. A. Krukoff","5631","1933","08","24","South America","Brazil","Acre","Sena Madureira","Near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00334624","NY00334624_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:09:01-03","NBC","NL-BOTANY","U 0003381","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Hydrochorea","acreana","Hydrochorea acreana","(J.F.Macbr.) Barneby & J.W.Grimes","Krukoff BA",NA,"1933","08","24","Southern America","Brazil","Acre",NA,"Basin of Rio PurusTeritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,"on terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003381 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003381",NA,NA,NA,"Magnoliopsidae","-69.0","-9.333333","20083",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:09:01-03","NBC","NL-BOTANY","L.1062727","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Hydrochorea","acreana","Hydrochorea acreana","(J.F.Macbr.) Barneby & J.W.Grimes","Krukoff BA",NA,"1933","08","24","Southern America","Brazil","Acre",NA,"Basin of Rio PurusTeritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,"on terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1062727 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1062727","NL-L1062727",NA,"isotype","Magnoliopsidae","-69.0","-9.333333","U 0054133 | Uw20083",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:09:01-03","NBC","NL-BOTANY","L.1062726","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Hydrochorea","acreana","Hydrochorea acreana","(J.F.Macbr.) Barneby & J.W.Grimes","Krukoff BA",NA,"1933","08","24","Southern America","Brazil","Acre",NA,"Basin of Rio PurusTeritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,"on terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1062726 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1062726","NL-L1062726",NA,"isotype","Magnoliopsidae","-69.0","-9.333333","Uw20083",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:09:01-03","NBC","NL-BOTANY","U 0003380","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Hydrochorea","acreana","Hydrochorea acreana","(J.F.Macbr.) Barneby & J.W.Grimes","Krukoff BA",NA,"1933","08","24","Southern America","Brazil","Acre",NA,"Basin of Rio PurusTeritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,"on terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003380 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003380","NL-U0003380",NA,"isotype","Magnoliopsidae","-69.0","-9.333333","20510 A",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:09:01-03","NBC","NL-BOTANY","L.1062728","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Hydrochorea","acreana","Hydrochorea acreana","(J.F.Macbr.) Barneby & J.W.Grimes","Krukoff BA",NA,"1933","08","24","Southern America","Brazil","Acre",NA,"Basin of Rio PurusTeritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,"on terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1062728 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1062728","NL-L1062728",NA,"isotype","Magnoliopsidae","-69.0","-9.333333","Uw20083",NA,NA,NA,NA,NA,NA,NA,NA
