"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","recordNumber","class","identifiedBy","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","533533","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","platystachys","Acianthera platystachys","(Regel) Chiron & Van den Berg","O. Handro","1935","10","13","South America","Brazil","São Paulo","Ribeirao Pires","Alto da Serra Estacao Biologica","-46.4097","-23.71","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172845' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533533","NY00533533_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","533532","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pleurothallis","platystachys","Pleurothallis platystachys","Regel","A. F. M. Glaziou",NA,NA,NA,"South America","Brazil",NA,NA,"Ex Hort. Petrop.",NA,NA,"photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172846' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533532","NY00533532_01","Image of Type","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","9246","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pleurothallis","trialata","Pleurothallis trialata","Rolfe","M. Bang",NA,NA,NA,"South America","Bolivia","La Paz","Franz Tamayo","Apolo","-68.4172","-14.72","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=66296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00009246","NY00009246_01","type","1816a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:45:20-03","EAO","IAN","19121","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Pleurothallis","triptera","Pleurothallis triptera","Rchb.f.","Funch",NA,NA,NA,"Southern America","Venezuela",NA,NA,NA,NA,NA,NA,NA,"IAN019121","IAN019121_f",NA,"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:46:44-03","NBC","NL-BOTANY","L.1531859","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Pleurothallis","platystachys","Pleurothallis platystachys","Regel","Herb Alleizette AC d'","1903","02","06","Southern America","Brazil",NA,NA,"!",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1531859 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1531859","NL-L1531859",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:41:14-03","MN","R","43937","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","platystachys","Pleurothallis platystachys","Regel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoehne, F.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:41:14-03","MN","R","43938","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","platystachys","Pleurothallis platystachys","Regel","Ruschi, A.",NA,NA,NA,NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,NA,NA,"23813","800","800","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:41:14-03","MN","R","2754","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","trialata","Pleurothallis trialata","Cogn.","Schreiner, C.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,"1",NA,"Hoehne, F.C.","57442",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:18:46-03","UFV","VIC","12957","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","platystachys","Pleurothallis platystachys","Regel.","Gomes, V.","1968","09","24",NA,"Brasil","Minas Gerais","Juiz de Fora","Mata Rio do Peixe, Fazeda São Mateus","-43.3502998352051","-21.7642002105713",NA,"Epífita, encontrada agarrada nos galhos das árvores nas margens do rio. Flores esverdeadas.","VIC012957","VIC012957",NA,"2683",NA,NA,"36144",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:18:46-03","UFV","VIC","12510","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","platystachys","Pleurothallis platystachys","Regel.",NA,"1942","08","03",NA,"Brasil","Minas Gerais","Piau",NA,"-43.3227996826172","-21.5093994140625",NA,"Flores pequenas, rosas.","VIC012510","VIC012510",NA,"s.n.",NA,NA,"12556",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-06-30 18:32:38-03","UFJF","CESJ","48816","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Pleurothallis","tricarinata","Pleurothallis tricarinata","Poepp. & Endl.","L. Menini Neto; R.J.V. Alves; R.C. Forzza; B.R. Silva; R.F.Monteiro; R.Dias-Melo","2004","03",NA,"América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Mata Grande.","-43.793098449707","-21.8425006866455",NA,"Erva epífita, no interior da mata. Ramicaule e folhas verde-claros, pedúnculo e brácteas verde-amarelados, flores verde-escuras matizadas de castanho. Floresceu em cultivo em II.2006.","CESJ048816",NA,NA,"434",NA,"L. Menini Neto","30417",NA,NA,"auto","2007","02",NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:40:58-03","UFJF","CESJ","53572","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Pleurothallis","tricarinata","Pleurothallis tricarinata","Poepp. & Endl.","J.H.C. Ribeiro; F.S. Souza","2009","05","31","América do Sul","Brasil","Minas Gerais","Lima Duarte","Serra Negra, Fazenda Serra Negra.","-43.793098449707","-21.8425006866455",NA,"Erva epífita em interior de mata.","CESJ053572",NA,NA,"138",NA,"L. Menini Neto","30417",NA,NA,"auto","2009","07","14",NA,NA,NA,NA,NA
"13","2021-03-16 17:50:19-03","UCS","HUCS","33000","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Pleurothallis","tricarinata","Pleurothallis tricarinata","Poepp. & Endl.","Hatschbach, G.","1985","10","19",NA,"Brasil","Espírito Santo","Domingos Martins","Córrego do Cavalo","-40.6591987609863","-20.3633003234863",NA,"flor amarelo ocre com máculas punctiformes vinosas; epífita da mata pluvial",NA,NA,NA,"49971",NA,"Fontana, A.P.","48150",NA,NA,"auto","2005",NA,NA,NA,NA,NA,NA,NA
"14","2019-12-06 19:30:04-03","UFES","VIES","44598","S","Plantae",NA,NA,"Orchidaceae","Acianthera","tricarinata","Acianthera tricarinata","(Poepp. & Endl.) Pridgeon & M.W.Chase","Silva, H.L.; Lieven, L.J","2018","05","06",NA,"Brasil","Espírito Santo","Santa Teresa","Valsugana Velha, Mata da Chave Inglesa.","-40.591111","-19.971944",NA,NA,"VIES044598",NA,NA,"51",NA,"Silva, H.L.",NA,NA,NA,NA,"2018",NA,NA,"40º35'28''W","19º58'19''S",NA,NA,NA
