"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","class","relatedCatalogItem","infraspecificEpithet","relationshipType","fieldNumber","typeStatus"
"1","2021-04-05 14:33:22-03","UNESC","CRI","1245","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","gamosepala","Aechmea gamosepala","Wittm.","J. L. Waechter","1992","11","06","V. Citadini-Zanette; et al.","1489","1992","07","31","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Floresta Ombrófila Densa Habito: terrícola","CRI001755","CRI001755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:04-03","UNESC","CRI","3043","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","gamosepala","Aechmea gamosepala","Wittm.","Jorge Luiz Waechter",NA,NA,NA,"Raquel Rejane Bonatto Negrelle; Vanilde Citadini Zanette","303","1992","07","31","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5",NA,"CRI001764","CRI001764",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:04-03","UNESC","CRI","5395","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","gamosepala","Aechmea gamosepala","Wittm.","Z. P. Topanotti",NA,NA,NA,"V. Citadini-Zanette","2376","1996","12","04","Brasil","Santa Catarina","Praia Grande",NA,"-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,NA,"CRI001758","CRI001758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:04-03","UNESC","CRI","7527","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","gamosepala","Aechmea gamosepala","Wittm.","Telma Elyta V. Azeredo","2007","09","02","Telma Elyta V. Azeredo",NA,"2007","09","02","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso - Rio Cedro Alto.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,NA,"CRI001759","CRI001759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:04-03","UNESC","CRI","7526","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","gamosepala","Aechmea gamosepala","Wittm.","Telma Elyta V. Azeredo","2006","10","26","Telma Elyta V. Azeredo","10","2006","10","26","Brasil","Santa Catarina","Nova Veneza",NA,"-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,NA,"CRI001760","CRI001760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:22-03","UNESC","CRI","4983","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","gamosepala","Aechmea gamosepala","Wittm.","Marilva Magali B. Frutuoso",NA,NA,NA,"Marilva Magali B. Frutuoso",NA,"1996","10","13","Brasil","Santa Catarina","Santa Rosa do Sul",NA,"-49.700278","-29.136667","49º42'1''W","29º8'12''S","19","19","Habito: epífita","CRI001761","CRI001761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:22-03","UNESC","CRI","8090","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","gamosepala","Aechmea gamosepala","Wittm.","Telma Elyta V. Azeredo","2009","01","13","Telma Elyta V. Azeredo",NA,"2009","01","13","Brasil","Santa Catarina","Siderópolis","Barragem do Rio São Bento.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Floresta Ombrófila Densa Submontana","CRI001756","CRI001756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:04-03","UNESC","CRI","8080","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","gamosepala","Aechmea gamosepala","Wittm.","Telma Elyta V. Azeredo","2006","10","10","Telma Elyta V. Azeredo",NA,"2006","10","10","Brasil","Santa Catarina","Pedras Grandes","Rancho dos Bugres.","-49.185278","-28.436389","49º11'7''W","28º26'11''S",NA,NA,NA,"CRI001757","CRI001757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1241","S","Plantae","Bromeliaceae","Aechmea","gamosepala","Aechmea gamosepala","Wittm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","57442","1","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","185","S","Plantae","Bromeliaceae","Aechmea","gamosepala","Aechmea gamosepala","Wittm.","Elton. C. M. Leme","2011","08",NA,"Elton M. C. Leme;",NA,"1990","11","15","Brasil","Santa Catarina","Joinville","Próximo a Campo Alegre, Estrada Rio do Julio","-48.8456001281738","-26.3043994903564",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","37150","1","auto",NA,NA,NA,NA,NA,NA,NA,NA
