"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","imagecode","continentOcean","verbatimLongitude","verbatimLatitude","order","typeStatus","fieldNumber","sex","preparationType"
"1","2020-06-29 11:29:37-03","UFRJ","RFA","30414","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","mutica","Aechmea mutica","L.B.Sm.","A.P.G. Faria","2001","04","30","A.P.G. Faria; F.C.P. Tatagiba; L. Kollmann","26","2001","04","30","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","23813","Terrestre. Bráctea escapal rosa. Inflorescência e escapo cobertos por denso indumento branco. Bráctea primária rosa. Brácteas florais rosa. Ovário e sépalas esverdeadas. Pétalas e estigmas roxos","RFA52522","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:37-03","UFRJ","RFA","30922","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","mutica","Aechmea mutica","L.B.Sm.","T. Wendt; et al.","2002","09","26","A.P.G. Faria; T. Wendt; G.K. Brown; D.M.C. Santos; L.F.G. Silva","57","2002","09","26","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","23813","Inflorescência passada","RFA52523","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:37-03","UFRJ","RFA","30415","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","mutica","Aechmea mutica","L.B.Sm.","T. Wendt","2000","12","05","T. Wendt; G.K. Brown; L. Kollmann","375","2000","12","05","Brasil","Espírito Santo","Santa Teresa","Museu de Biologia mello Leitão, planta em cultivo","-40.6002998352051","-19.9356002807617","23813","Terrestre. Bráctea escapal rosa. Inflorescência e escapo coberto por denso indumento branco. Bráctea primária rosa. Bráctea floral rosa. Ovário e sépalas esverdeadas. Pétalas e estigmas roxos","RFA52481","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:25:32-03","MN","R","193471","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","mutica","Aechmea mutica","L.B. Sm.","Costa, A.","1995",NA,NA,"Costa, A.F. 515; Boudet Fernandes, H.Q. & Barretto, M.H.",NA,"1995","10","17","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"R010000952,R010000953","auto","600","600","R010000952 R010000953",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:25:32-03","MN","R","193472","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","mutica","Aechmea mutica","L.B. Sm.","Costa, A.","1995",NA,NA,"Costa, A.F. 531; Barretto, M. & Baunsen, E.",NA,"1995","10","19","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"R010000951","auto",NA,NA,"R010000951",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-19 04:39:00-03","MO","MOBOT","2782659","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","mutica","Aechmea mutica","L.B. Sm.",NA,NA,NA,NA,"M. B. Foster|Racine S. Foster","Foster 806","1940","8","5","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","10609",NA,"Plantae","Bromeliaceae","Aechmea","mutica","Aechmea mutica","L.B.Smith","G. Martinelli/02-05-1995",NA,NA,NA,"Cintia C. Chamas; et al","177","1994","06","16","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Terrestre, folha verde com brilho ambas faces, escapo floral com indumento branco, bráctea rosa, flor roxa. Trilha palmito, meia sombra. Altitude aprox. 840m.","MBML010609",NA,NA,NA,"MBML010609",NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA
"8","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","11872",NA,"Plantae","Bromeliaceae","Aechmea","mutica","Aechmea mutica","L.B.Smith","G. Martinelli/02-05-1995",NA,NA,NA,"Cintia C. Chamas; et al","250","1994","09","26","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Terrestre, folha verde, face inf.com indumento branco, pequenos espinhos, inflorescencia ereta, bractea escapal vermelha, bractea floral rosa, flor lilas. Trilha palmito, meia sombra, altitude aprox. 940m.","MBML011872",NA,NA,NA,"MBML011872",NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA
"9","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","11873",NA,"Plantae","Bromeliaceae","Aechmea","mutica","Aechmea mutica","L.B.Smith","G. Martinelli/02-05-1995",NA,NA,NA,"Cintia C. Chamas; et al","210","1994","08","02","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Terrestre, folha com espinho, bractea vermelha, flor roxa. Trilha da divisa, sol, altitude aprox. 870m.","MBML011873",NA,NA,NA,"MBML011873_1 MBML011873_2",NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA
"10","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","14388",NA,"Plantae","Bromeliaceae","Aechmea","mutica","Aechmea mutica","L.B.Smith","L. Kollmann/19-06-2001",NA,NA,NA,"L. Kollmann; et al","3986","2001","06","19","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Terrestre na sombra. Pétalas azuis.","MBML014388",NA,NA,NA,"MBML014388_1 MBML014388_2",NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA
