"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","infraspecificEpithet","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","class","dayIdentified","relationshipType","relatedCatalogItem","fieldNumber","individualCount","eventTime"
"1","2021-04-05 14:25:12-03","UNESC","CRI","6240","PreservedSpecimen","Plantae","Ericaceae","Agarista","niederleinii","Agarista niederleinii","(Sleumer) Judd","Vanilde Citadini- Zanette","Átila Portal","1997","01","12","Brasil","Santa Catarina","Praia Grande","Borda Canyon Malacara.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI002297","CRI002297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","390818","PreservedSpecimen","Plantae","Ericaceae","Agarista","niederleinii","Agarista niederleinii acutifolia","Judd","W. S. Judd","R. Reitz","1948","11","02","Brazil","Santa Catarina","Brusque","Morro Spitzkopf, Brusque","-48.9172","-27.0983",NA,NA,"NY00390818","NY00390818_01","Magnoliophyta","Ericales","acutifolia","2260","South America","350","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478233' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 10:24:00-03","NY","NYBG","390815","PreservedSpecimen","Plantae","Ericaceae","Agarista","niederleinii","Agarista niederleinii niederleinii","(Sleumer) Judd","R. R. Silva","E. P. dos Santos","1998","11","27","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.97","-25.87",NA,NA,"NY00390815","NY00390815_01","Magnoliophyta","Ericales","niederleinii","672","South America","1210","1210","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289279' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1016806","PreservedSpecimen","Plantae","Ericaceae","Agarista","niederleinii","Agarista niederleinii","(Sleumer) Judd","G. G. Hatschbach","E. Barbosa","2000","11","09","Brazil","Paraná","Guaratuba","Usina Chaminé.","-48.5744","-25.8831",NA,NA,"NY01016806","NY01016806_01","Magnoliophyta","Ericales",NA,"578","South America",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193410' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2423270","PreservedSpecimen","Plantae","Ericaceae","Agarista","niederleinii","Agarista niederleinii","(Sleumer) Judd",NA,"G. O. Romão","2006","09","06","Brazil","Paraná","Campina Grande do Sul","Morro Camapuã, propriedade do sr. Aguilheiro, acesso por estrada de terra com 5 km a partir da saída da BR-116 no Km 51-52, ca.1 km do Postodo do Tulha","-49.0553016662598","-25.3055992126465",NA,NA,"NY02423270","NY02423270_01","Magnoliophyta","Ericales",NA,"1621","South America","1700","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685681' target='other'> <mi>dwc_moreinfo</mi></a>","55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","8173","PreservedSpecimen","Plantae","Ericaceae","Agarista","niederleinii","Agarista niederleinii acutifolia","Judd","W. S. Judd","G. G. Hatschbach","1970","11","21","Brazil","Paraná","Bocaiúva do Sul","Campina dos Tavares","-49.115","-25.2061",NA,NA,"NY00008173","NY00008173_01","Magnoliophyta","Ericales","acutifolia","25598","South America",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478232' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","390816","PreservedSpecimen","Plantae","Ericaceae","Agarista","niederleinii","Agarista niederleinii acutifolia","Judd","W. S. Judd","G. G. Hatschbach","1970","01","28","Brazil","Paraná","Bocaiúva do Sul","Campina dos Tavares","-49.115","-25.2061",NA,NA,"NY00390816","NY00390816_01","Magnoliophyta","Ericales","acutifolia","23443","South America",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478234' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","390817","PreservedSpecimen","Plantae","Ericaceae","Agarista","niederleinii","Agarista niederleinii acutifolia","Judd","W. S. Judd","G. G. Hatschbach","1975","11","05","Brazil","Paraná","Sao José dos Pinhais","Guaricana","-49.2064","-25.5347",NA,NA,"NY00390817","NY00390817_01","Magnoliophyta","Ericales","acutifolia","34903","South America",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478235' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2423318","PreservedSpecimen","Plantae","Ericaceae","Agarista","niederleinii","Agarista niederleinii niederleinii","(Sleumer) Judd",NA,"G. O. Romão","2006","09","09","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos, acesso pela rodovia BR-376 entre os Km 665-666, 500 m após o rio Itararé e 1 km antes do Posto Policial, Sítio Arca de Noé, por estrada de terra ca. 6 km da BR","-48.95642","-25.88961",NA,NA,"NY02423318","NY02423318_01","Magnoliophyta","Ericales","niederleinii","1700","South America","1430",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685750' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","390821","PreservedSpecimen","Plantae","Ericaceae","Agarista","niederleinii","Agarista niederleinii niederleinii","(Sleumer) Judd","W. S. Judd","B. Rambo","1948","02","02","Brazil","Rio Grande do Sul","Cambará do Sul","Cambará, S. Fr. de Paula","-50.143208","-29.047894",NA,NA,"NY00390821","NY00390821_01","Magnoliophyta","Ericales","niederleinii","36724","South America",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289282' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
