"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2016-09-30 05:28:00-03","NY","NYBG","01300300","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","inundata","Albizia inundata","M. de L. Rico-Arce","M. Orellana","684","2000","02","26","South America","Bolivia","El Beni","Cercado","a 10 km. de Trinidad camino San Javier.","-64.88","-14.68","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1643427' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300300","NY01300300_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01300297","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","inundata","Albizia inundata","R. C. Barneby; J. W. Grimes","H. M. Curran","308","1913","11","02","South America","Argentina","Corrientes",NA,"Vicinity of Goya",NA,NA,"15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1643284' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300297","NY01300297_01","(Mart.) Barneby & J.W.Grimes","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 19:26:00-03","NY","NYBG","01300294","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","inundata","Albizia inundata","R. C. Barneby; J. W. Grimes","A. P. Rodrigo","968","1936","12",NA,"South America","Argentina","Corrientes","Esquina","Del arroyo tartagena.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1643345' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300294","NY01300294_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01300279","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","inundata","Albizia inundata","R. C. Barneby; J. W. Grimes","T. Morong","271","1888","12","31","South America","Paraguay",NA,NA,"Central Praguay [Asunción]",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1642806' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300279","NY01300279_01","(Mart.) Barneby & J.W.Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 05:27:00-03","NY","NYBG","01300278","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Albizia","inundata","Albizia inundata","R. C. Barneby; J. W. Grimes","P. Arenas","1855","1971","03",NA,"South America","Paraguay","Boquerón",NA,"Colonia Fernheim, Filadelfia.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1642802' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300278","NY01300278_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01408303","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","inundata","Albizia inundata","R. C. Barneby; J. W. Grimes","M. H. Nee","41718","1991","07","13","South America","Bolivia","Santa Cruz","Guarayos","(formerly part of Prov. Ñuflo de Chávez), along bay of Río Blanco, 0.5 km. E of Urubichá.","-63.07","-15.62","190","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1643757' target='other'> <mi>dwc_moreinfo</mi></a>","NY01408303","NY01408303_01","(Mart.) Barneby & J.W.Grimes","190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01300284","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","inundata","Albizia inundata","R. C. Barneby; J. W. Grimes","C. E. O. Kuntze","s.n.","1892",NA,NA,"South America","Paraguay",NA,NA,"Puerto Esperanza",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1642926' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300284","NY01300284_01","(Mart.) Barneby & J.W.Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01408301","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","inundata","Albizia inundata",NA,"A. Fuentes","1618","1996","10","30","South America","Bolivia","Santa Cruz",NA,"Prov. Germán Busch. Laguna Cáceres, estancias Arco Iris.",NA,NA,"300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1643455' target='other'> <mi>dwc_moreinfo</mi></a>","NY01408301","NY01408301_01","(Mart.) Barneby & J.W.Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00917681","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","inundata","Albizia inundata","R. C. Barneby; J. W. Grimes","W. W. Thomas","4594","1985","10","26","South America","Brazil","Mato Grosso","Poconé","Pantanal. Along Rio Cassangé at crossing of Transpantaneira (MT060), 69 km N of Porto Jofre","-56.87","-16.9",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917681","NY00917681_01","(Mart.) Barneby & J.W.Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","04034767","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","inundata","Albizia inundata",NA,"P. Acevedo-Rodríguez","16713","2017","09","05","South America","Brazil","Mato Grosso do Sul","Corumbá","along Paraguay River north of Corumbá","-57.6642","-18.9528","93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4337948' target='other'> <mi>dwc_moreinfo</mi></a>","NY04034767",NA,"(Mart.) Barneby & J.W.Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01300288","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","inundata","Albizia inundata","R. C. Barneby; J. W. Grimes","H. M. Curran","400","1913","11","12","South America","Argentina","Chaco",NA,"Vicinity of Barranqueras",NA,NA,"35","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1643233' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300288","NY01300288_01","(Mart.) Barneby & J.W.Grimes","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00917680","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","inundata","Albizia inundata","R. C. Barneby; J. W. Grimes","C. E. O. Kuntze","s.n.","1892",NA,NA,"South America","Brazil","Mato Grosso",NA,"MattoGrosso",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917680","NY00917680_01","(Mart.) Barneby & J.W.Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01098744","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","inundata","Albizia inundata","R. C. Barneby; J. W. Grimes","E. de Oliveira","1224","1960","12","16","South America","Brazil","Pará",NA,"Rio Tocantins, Região de S. Joaquim de Itaquara.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288914' target='other'> <mi>dwc_moreinfo</mi></a>","NY01098744","NY01098744_01","(Mart.) Barneby & J.W.Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00917683","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","inundata","Albizia inundata","E. J. Koenen","H. Lorenzi","1373","1997","01","25","South America","Brazil","Mato Grosso do Sul","Miranda","Faz. Santa Clara- passo do Lontra","-56.3781","-20.2408",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917683","NY00917683_01","(Mart.) Barneby & J.W.Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00917678","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","inundata","Albizia inundata","R. C. Barneby; J. W. Grimes","C. Conceição","1455","1984","06","05","South America","Brazil","Mato Grosso do Sul","Corumbá","Corumbá","-57.6531","-19.0094",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997612' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917678","NY00917678_01","(Mart.) Barneby & J.W.Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01098743","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","inundata","Albizia inundata","R. C. Barneby; J. W. Grimes","M. Silva","1787","1968","08","30","South America","Brazil","Pará",NA,"Rio Trombetas, Oriximiná, lago Urucará, Retiro Buiussú",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288913' target='other'> <mi>dwc_moreinfo</mi></a>","NY01098743","NY01098743_01","(Mart.) Barneby & J.W.Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
