"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","locality","preparationType","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:25:01-03","UNESC","CRI","13275","PreservedSpecimen","Plantae","Asteraceae","Viguiera","pilosa","Viguiera pilosa","Baker","Funez, L.A.","2016","08","15","Oliveira, A.A.","3174","2016","03","15","Brasil","Santa Catarina","Caçador","-51.255","-26.775","51º15'18''W","26º46'30''S","900","900","SC_PR_550_M_4_10_3RN Habitat: Borda da estrada Habito: Subarbusto","CRI011752","CRI011752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","801719","PreservedSpecimen","Plantae","Asteraceae","Viguiera","malmei","Viguiera malmei","S.F.Blake","J. F. Pruski",NA,NA,NA,"J. M. Silva","943","1991","03","06","Brazil","Paraná","Turvo","-51.5294","-25.0431",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=793950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801719","NY00801719_01","Magnoliophyta","Asterales","South America","Fazenda Rikli.","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","801718","PreservedSpecimen","Plantae","Asteraceae","Viguiera","malmei","Viguiera malmei","S.F.Blake","J. F. Pruski",NA,NA,NA,"G. G. Hatschbach","56384","1992","02","19","Brazil","Paraná",NA,NA,NA,NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=793947' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801718","NY00801718_01","Magnoliophyta","Asterales","South America","Rio Jangada (mun. Jangada).","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","801735","PreservedSpecimen","Plantae","Asteraceae","Viguiera","pilosa","Viguiera pilosa","Baker","H. E. Robinson",NA,NA,NA,"R. A. Wasum","s.n.","1998","03","15","Brazil","Rio Grande do Sul","Bom Jesus","-50.4167","-28.6681",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801735","NY00801735_01","Magnoliophyta","Asterales","South America","est. p/ Faz. do Cilho.","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","801736","PreservedSpecimen","Plantae","Asteraceae","Viguiera","pilosa","Viguiera pilosa","Baker",NA,NA,NA,NA,"A. F. M. Glaziou","15080","1884","06","08","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Donné par Mme Simard, sa fille, en 1907. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801736","NY00801736_01","Magnoliophyta","Asterales","South America","Congonhas do Campo","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-12-15 14:59:00-02","NY","NYBG","801737","PreservedSpecimen","Plantae","Asteraceae","Viguiera","pilosa","Viguiera pilosa",NA,NA,NA,NA,NA,"E. L. Ekman","1069","1908","01","14","Argentina","Misiones","Posadas",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801737",NA,"Magnoliophyta","Asterales","South America","San Ignacio.","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","801734","PreservedSpecimen","Plantae","Asteraceae","Viguiera","pilosa","Viguiera pilosa","Baker","G. M. Barroso",NA,NA,NA,"G. G. Hatschbach","13845","1966","02","10","Brazil","Paraná","General Carneiro","-51.3156","-26.4275",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801734","NY00801734_01","Magnoliophyta","Asterales","South America","Galinhas.","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","277992","PreservedSpecimen","Plantae","Asteraceae","Viguiera","salicifolia","Viguiera salicifolia","Hassl.",NA,NA,NA,NA,"E. Hassler","8627","1905","01",NA,"Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00277992","NY00277992_01","Magnoliophyta","Asterales","South America","In regione collium: Cordillera de Villa-Rica","sheet","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:35:18-03","EAO","IAN","21740","PreservedSpecimen","Plantae","Asteraceae","Viguiera","pilosa","Viguiera pilosa","Baker",NA,NA,NA,NA,"Sellow, F","4417",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN021740",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:35:18-03","EAO","IAN","34766","PreservedSpecimen","Plantae","Asteraceae","Viguiera","salicifolia","Viguiera salicifolia villaricensis","Hassl.",NA,NA,NA,NA,"Hassler, E","8627",NA,NA,NA,"Paraguai",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN034766",NA,"Dicotiledônea",NA,NA,NA,NA,NA,"villaricensis",NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:09:44-03","UFBA","ALCB","114912","PreservedSpecimen","Plantae","Asteraceae","Aldama","pilosa","Aldama pilosa","(Baker.) E.E.Schill. & Panero",NA,NA,NA,NA,"Silva, JM; Cunha, EM","5468","2007","02","05","Brasil","Paraná","Pinhão","-51.6596984863281","-25.6956005096436",NA,NA,NA,NA,"2 m de altura, capítulo amarelo.",NA,NA,"Dicotyledon",NA,"Southern America","Rodovia PR-170, Rio Pinhão.",NA,NA,NA,"37408","auto",NA,NA,NA,NA,NA
"12","2019-10-09 11:09:44-03","UFBA","ALCB","71079","PreservedSpecimen","Plantae","Asteraceae","Aldama","pilosa","Aldama pilosa","(Baker.) E.E.Schill. & Panero","Alves, M","2019","03",NA,"Silva, JM; Poliquesi, CB","3611","2003","06","13","Brasil","Paraná","Turvo","-51.5297012329102","-25.0428009033203",NA,NA,NA,NA,"ereta, 80cm, capítulo amarelo.",NA,NA,"Dicotyledon",NA,"Southern America","Reserva Indígena de Guarapuava, Rio Marrecas",NA,NA,NA,"36663","auto",NA,NA,NA,NA,NA
