"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","identifiedBy","month","day","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class","individualCount","typeStatus","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1039848","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Alstroemeriaceae","Alstroemeria","brasiliensis","Alstroemeria brasiliensis","Spreng.","C. F. P. von Martius","433","1839","South America","Brazil","Rio de Janeiro","Prope Rio de Janeiro.","-43.448386","-22.913514","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1498841' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039848","NY01039848_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-08 21:33:33-03","UFBA","ALCB","11240","PreservedSpecimen","Plantae","Monocotyledon",NA,"Alstroemeriaceae","Alstroemeria","brasiliensis","Alstroemeria brasiliensis","Spreng.","s.col.","PHs/n",NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"ALCB015981","ALCB015981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-08 21:33:33-03","UFBA","ALCB","11241","PreservedSpecimen","Plantae","Monocotyledon",NA,"Alstroemeriaceae","Alstroemeria","brasiliensis","Alstroemeria brasiliensis","Spreng.","s.col.","PHs/n",NA,"Southern America","Brasil",NA,"Do centro e do oeste do Brasil",NA,NA,NA,NA,"ALCB015982","ALCB015982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 21:33:33-03","UFBA","ALCB","11244","PreservedSpecimen","Plantae","Monocotyledon",NA,"Alstroemeriaceae","Alstroemeria","brasiliensis","Alstroemeria brasiliensis latifolia","Spreng.","s.col.","PHs/n",NA,"Southern America","Brasil",NA,NA,NA,NA,NA,"ornamental","ALCB015983","ALCB015983","latifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 10:58:48-03","ESALQ","ESA","24287","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alstroemeriaceae","Alstroemeria","brasiliensis","Alstroemeria brasiliensis","Mart. ex Schult. & Schult. f.","Sakuragui, C.M. et al.",NA,"1994",NA,"Brasil","Minas Gerais",NA,"-44.2668991088867","-18.1091995239258",NA,NA,"ESA024287","ESA024287",NA,"Assis, M.C.","03","20","Augusto de Lima","34209","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 09:58:52-03","UNICAMP","UEC","15959","S","Plantae","Liliopsida",NA,"Alstroemeriaceae","Alstroemeria","brasiliensis","Alstroemeria brasiliensis","Spreng.","Duarte, MM; Assumpção, A","889","1978",NA,"Brazil","Mato Grosso","Estrada de barão de Melgaça","-56.702778","-15.786389",NA,"flor e fruto, Herbáceo, flores roxas com ponta verde, frutos verdes imaturos.","UEC090533","UEC090533",NA,"Assis, MC","05","20","Santo Antônio do Leverger",NA,NA,"2001","09","-56.702778","-15.786389","140","140",NA,NA,NA,NA,NA
"7","2019-08-20 09:58:52-03","UNICAMP","UEC","105612","S","Plantae","Liliopsida",NA,"Alstroemeriaceae","Alstroemeria","brasiliensis","Alstroemeria brasiliensis","Spreng.","Cavalcanti, TB","2226","1997",NA,"Brazil","Tocantins","Estrada Palmeirópolis - Alvorada Do Tocantins, A 18km De Palmeirópolis.","-48.545","-13.036111",NA,"flor, Planta crescendo entre rochas. Folhas levemente glaucas. Tépalas vermelho-carmim com ppintas atro-violáceas na fauce interna e mancha verde no ápice. Filetes esverdeados, anteras amarelas. Face externa das pétalas com base vináce","UEC090536","UEC090536",NA,"Assis, MC","04","06","Palmeirópolis",NA,NA,"2001","09","-48.545","-13.036111","822","822",NA,NA,NA,NA,NA
"8","2020-10-14 09:58:01-03","FURB","FURB","43016","PreservedSpecimen","Plantae",NA,NA,"Alstroemeriaceae","Alstroemeria","brasiliensis","Alstroemeria brasiliensis","Spreng.","Fonseca, M.L.; et al.","901","1996",NA,"Brasil","Goiás","ca. de 40 Km de Niq. CODEMIN; estradade terra à esquerda, antes do posto de gasolina.","-48.3444444","-14.1888889",NA,"solo argila/laterita; folhas verdes, membranáceas; comum Habitat: cerradão Habito: erva semiciófita; flor cálice verde, corola verde/vermelho","FURB04573","FURB04573",NA,"Marquete, R","04","15","Niquelândia",NA,NA,"1997",NA,"-48.3444444","-14.1888889",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:11:18-03","MBM","MBM","30524","PreservedSpecimen","Plantae",NA,NA,"Alstroemeriaceae","Alstroemeria","brasiliensis","Alstroemeria brasiliensis","Spreng.","Hatschbach, G.; Koczicki, C.; Koczicki, C.","33241","1973","Southern America","Brazil","Mato Grosso","Rod. BR-364","-53.5280990600586","-16.9438991546631",NA,NA,"MBM030524","MBM030524",NA,"Assis, M.C.","11","15","Alto Garças","58359","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017-04-24 11:09:58-03","MNHN","RECOLNAT_MNHN_P","P00039209","PreservedSpecimen",NA,NA,NA,"Alstroemeriaceae","Alstroemeria","brasiliensis","Alstroemeria brasiliensis","Spreng.","Pignal, M.|Lechat, F.",NA,"1993",NA,"Brésil","bahia","Sao José (près de Santa Teresina)",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00039209' target='other'> <mi>dwc_moreinfo</mi></a>","P00039209","P00039209_01",NA,"Pignal","9","26","sao josé",NA,NA,NA,NA,NA,NA,NA,NA,"H 525",NA,NA,NA,NA
"11","2010-08-24 09:46:00-03","MO","MOBOT","3031690","PreservedSpecimen","Plantae",NA,NA,"Alstroemeriaceae","Alstroemeria","brasiliensis","Alstroemeria brasiliensis","Spreng.","F. Sellow","Sellow 2347","1814","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
