"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","class","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber"
"1","2021-04-05 14:24:48-03","UNESC","CRI","6903","PreservedSpecimen","Plantae","Apocynaceae","Asclepias","mellodora","Asclepias mellodora","A.St.-Hil.","J. P. Fontella","1991","01","01","R. M. Klein","4047","1963","10","28","Brasil","Santa Catarina","Curitibanos","-50.584722","-27.283056","50º35'5''W","27º16'59''S","948","948","CRI000439","CRI000439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:48-03","UNESC","CRI","1789","PreservedSpecimen","Plantae","Apocynaceae","Asclepias","mellodora","Asclepias mellodora","A.St.-Hil.","J. P. Fontella","1991","06","15","R. Reitz; R. M. Klein",NA,"1958","12","15","Brasil",NA,"Brasil","-49.625","-28.3375","49º37'30''W","28º20'15''S","1300","1300","CRI000437","CRI000437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:48-03","UNESC","CRI","6638","PreservedSpecimen","Plantae","Apocynaceae","Asclepias","mellodora","Asclepias mellodora","A.St.-Hil.","J. P. Fontella","1991","01","01","R. Reitz; R. M. Klein",NA,"1958","07","15","Brasil","Santa Catarina","São Joaquim","-49.931944","-28.294444","49º55'55''W","28º17'40''S",NA,NA,"CRI000436","CRI000436","Bom jardim.","Habito: erva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:48-03","UNESC","CRI","1798","PreservedSpecimen","Plantae","Apocynaceae","Asclepias","mellodora","Asclepias mellodora","A.St.-Hil.","J. P. Fontella","1991","06","15","R. Reitz; R. M. Klein","7958","1961","07","15","Brasil",NA,"Brasil","-49.625","-28.3375","49º37'30''W","28º20'15''S","811","811","CRI000431","CRI000431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:48-03","UNESC","CRI","3311","PreservedSpecimen","Plantae","Apocynaceae","Asclepias","mellodora","Asclepias mellodora","A.St.-Hil.","Citadini-Zanette, V.","1994","04","26","Fara, L.",NA,"1994","04","26","Brasil","Santa Catarina","Jaguaruna","-49.025556","-28.615","49º1'32''W","28º36'54''S",NA,NA,"CRI013832",NA,"Rio Bonitão. terreno arenoso de pastagem","Herbácea terrícola, planta com latex. Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:36:11-03","E","E","281792","PreservedSpecimen","Plantae","Apocynaceae","Asclepias","campestris","Asclepias campestris",NA,NA,NA,NA,NA,"Brooks, R.R.",NA,"1996","02","06","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00281792",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00281792 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:293663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","318521","PreservedSpecimen","Plantae","Apocynaceae","Asclepias","campestris","Asclepias campestris","Decne.",NA,NA,NA,NA,"A. Isabelle","88","1839",NA,NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,"NY00318521","NY00318521_01","Verrant oriental du Cerro","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272313' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales","type",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","318522","PreservedSpecimen","Plantae","Apocynaceae","Asclepias","campestris","Asclepias campestris schlechteri","Kuntze",NA,NA,NA,NA,"C. E. O. Kuntze",NA,"1992","10",NA,"Argentina",NA,NA,NA,NA,NA,NA,NA,NA,"NY00318522","NY00318522_01","Ceres","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70889' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales","possible type","schlechteri",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4176677","PreservedSpecimen","Plantae","Apocynaceae","Asclepias","mellodora","Asclepias mellodora mellodora","A.St.-Hil.",NA,NA,NA,NA,"H. H. Rusby","935","1885",NA,NA,"Bolivia","La Paz",NA,NA,NA,NA,NA,"1829",NA,"NY04176677",NA,"Yungas.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4499553' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,"mellodora",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","439858","PreservedSpecimen","Plantae","Apocynaceae","Asclepias","mellodora","Asclepias mellodora bodenbenderi","(Kuntze) C.W.Bollwinkel","C. W. Bollwinkel",NA,NA,NA,"P. K. H. Dusén","8906","1909","11","13","Brazil","Paraná","Curitiba","-49.2731","-25.4281",NA,NA,NA,NA,"NY00439858","NY00439858_01","Inter Curityba et. Pinhaes","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=542703' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,"bodenbenderi",NA,NA,NA,NA,NA,NA,NA
