"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","4177246","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","T. J. Killeen","1908","1986","04","04","South America","Bolivia","Santa Cruz","Ñuflo de Chávez","Est. San Josecito, 8 km NW of Concepcion","-62.08","-16.03","490","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500519' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","970681","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","C. E. O. Kuntze",NA,NA,NA,NA,"South America","Brazil","Mato Grosso",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970681","NY00970681_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02705141","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","W. W. Thomas","5566","1987","12","03","South America","Bolivia","Santa Cruz","José Miguel de Velasco","Serrania de Huanchaca, Parque Nacional Prof. Noel Kempff Mercado, between airstrip and destroyed cocaine refinery","-60.72","-13.98","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475562' target='other'> <mi>dwc_moreinfo</mi></a>","NY02705141","NY02705141_01","W. Marcondes-Ferreira","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","970674","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","R. Goodland","315","1966","07","17","South America","Brazil","Mato Grosso",NA,"30 km from turnoff N of Brilhante, towards Sao Paulo. Troncamento.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051677' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970674","NY00970674_01","F. Markgraf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","970682","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","L. Riedel","s.n.","1824",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970682","NY00970682_01","W. Marcondes-Ferreira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","970677","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","C. A. Cid Ferreira","6397","1985","10","10","South America","Brazil","Mato Grosso","Santa Terezinha","Faz. União, a 05 km da cidade.","-50.58","-10.67",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051680' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970677","NY00970677_01","A. J. M. Leeuwenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4177248","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","T. J. Killeen","2154","1986","09","04","South America","Bolivia","Santa Cruz","Ñuflo de Chávez","Est. Las Madres, 15 km N of Concepcion, near lake","-62","-16","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500521' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4177247","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","T. J. Killeen","1092","1985","08","06","South America","Bolivia","Santa Cruz","Ñuflo de Chávez","Concepcion","-62","-16.17","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500520' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","970680","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","C. E. O. Kuntze",NA,NA,NA,NA,"South America","Brazil","Mato Grosso",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970680","NY00970680_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","970678","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","A. P. Duarte","8182","1964","07","16","South America","Brazil","Goiás","Goiás Velho","ve[?]tente oriental da Serra Dourada.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970678","NY00970678_01","A. P. Duarte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
