"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","previousCatalogNumber","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"1","2021-04-05 14:26:07-03","UNESC","CRI","13128","PreservedSpecimen","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Pastório, FF","2015","09","28","Oliveira, A.A. de","2822","2015","09","13","Brasil","Santa Catarina","Ponte Alta","Ponte Altinha. Ponte Altinha.","-50.233611","-27.361111","50º14'1''W","27º21'40''S","1150","1150","CRI011741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:07-03","UNESC","CRI","13129","PreservedSpecimen","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Pastório, FF","2016","03","09","Oliveira, A.A. de","2853","2015","12","09","Brasil","Santa Catarina","Alfredo Wagner","Alto Limeira. Alto Limeira.","-49.5","-27.63","49º30'W","27º37'48''S","642","642","CRI011740","CRI011740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:07-03","UNESC","CRI","12160","PreservedSpecimen","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Stehmann, JR","2010","09","02","Verdi, M.; Klettenberg, D.H. & Klemz, G.","3920","2010","03","12","Brasil","Santa Catarina","Orleans","Rio Mirador (próximo ao Parque Estadual da Serra Furada).","-49.41","-28.17","49º24'36''W","28º10'12''S","431","431","CRI010338","CRI010338","Florística IFFSC 142 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbusto; flor branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:07-03","UNESC","CRI","13363","PreservedSpecimen","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Aline Votri Guislon & Renato Colares","2018","04","25","Renato Colares & Aline Votri Guislon; Peterson Padilha, Guilherme Elias & Altamir Antunes",NA,"2018","04","25","Brasil","Santa Catarina","Orleans",NA,"-49.395556","-28.179722","49º23'44''W","28º10'47''S","556","556","CRI011970",NA,"Habitat: Terrestre Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:07-03","UNESC","CRI","12159","PreservedSpecimen","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Oliveira, AA de","2011","01","26","Korte, A.; Kniess, A.","1731","2010","02","05","Brasil","Santa Catarina","Santa Terezinha","Nova Esperança.","-49.950556","-26.730278","49º57'2''W","26º43'49''S","535","535","CRI010337",NA,"Florística IFFSC 797 (Arbusto) Habitat: Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: reófita; flor branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1184694","PreservedSpecimen","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","M. H. Nee",NA,NA,NA,"J. C. Lindeman","4084","1967","01","12","Brazil","Paraná",NA,"Corro river, S of Graciosa.",NA,NA,NA,NA,NA,NA,"NY01184694","NY01184694_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1475111' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1184653","PreservedSpecimen","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza",NA,NA,NA,NA,"P. K. H. Dusén","14152","1912","08","03","Brazil","Paraná",NA,"Volta Grande.",NA,NA,NA,NA,NA,NA,"NY01184653","NY01184653_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1474444' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1184762","PreservedSpecimen","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","G. E. Barboza; A. T. Hunziker",NA,NA,NA,"M. Sakane","571","1977","05","14","Brazil","São Paulo","Sete Barras","Sete Barras, Reserva Biológica Carlos Botelho","-47.989753","-24.144027",NA,NA,NA,NA,"NY01184762","NY01184762_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1478211' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1184655","PreservedSpecimen","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza",NA,NA,NA,NA,"P. K. H. Dusén","8255","1909","03","18","Brazil","Paraná",NA,"Roça Nova.",NA,NA,NA,NA,NA,NA,"NY01184655","NY01184655_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1474451' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1184643","PreservedSpecimen","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","M. H. Nee",NA,NA,NA,"A. C. Cervi","2127","1983","02","25","Brazil","Paraná","Morretes","Serra do Mar (Viaduto dos Padres)","-48.8342","-25.4769",NA,NA,NA,NA,"NY01184643","NY01184643_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1474213' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
