"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:24:54-03","UNESC","CRI","1874","PreservedSpecimen","Plantae","Asteraceae","Baccharis","megapotamica","Baccharis megapotamica","Spreng.","G. M. Barroso","Reitz; Klein","1962","09","23","Brasil","Santa Catarina","Porto União","Matos Costa.","-51.078611","-26.238611","51º4'43''W","26º14'19''S","Habitat: banhado","CRI000952","CRI000952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:54-03","UNESC","CRI","6908","PreservedSpecimen","Plantae","Asteraceae","Baccharis","megapotamica","Baccharis megapotamica","Spreng.","G. M. Barroso","Reitz; Klein","1962","02","23","Brasil","Santa Catarina","Porto União","Matos Costa.","-51.078611","-26.238611","51º4'43''W","26º14'19''S","Habitat: banhado","CRI000954","CRI000954","12359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:54-03","UNESC","CRI","6634","PreservedSpecimen","Plantae","Asteraceae","Baccharis","megapotamica","Baccharis megapotamica","Spreng.","G. M. Barroso","R. Reitz; R. M. Klein","1962","02","23","Brasil","Santa Catarina","Porto União","Matos Costa.","-51.078611","-26.238611","51º4'43''W","26º14'19''S","Habitat: banhado","CRI000953","CRI000953","12359","1991","02","01","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:37:18-03","E","E","334596","PreservedSpecimen","Plantae","Compositae","Baccharis","megapotamica","Baccharis megapotamica",NA,NA,"Tweedie, John",NA,NA,NA,"BR",NA,NA,"Río Grande",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00334596 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334596",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:352930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:37:18-03","E","E","334595","PreservedSpecimen","Plantae","Compositae","Baccharis","megapotamica","Baccharis megapotamica",NA,NA,"Tweedie, John",NA,NA,NA,"BR",NA,NA,"Río Grande",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00334595 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334595",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:352929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:37:18-03","E","E","289772","PreservedSpecimen","Plantae","Compositae","Baccharis","megapotamica","Baccharis megapotamica",NA,NA,"Silva, J.M; Cordeiro, J.; Poliquesi, C.B.","1997","09","18","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00289772 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00289772",NA,"1994",NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:299552",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","788493","PreservedSpecimen","Plantae","Asteraceae","Baccharis","megapotamica","Baccharis megapotamica weirii","(Baker) G.M.Barroso",NA,"R. Reitz","1953","01","27","Brazil","Santa Catarina","Mafra",NA,"-49.8053","-26.1117",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=394477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788493","NY00788493_01","5360",NA,NA,NA,"750","750","South America","sheet",NA,"Magnoliophyta","Asterales","weirii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","787962","PreservedSpecimen","Plantae","Asteraceae","Baccharis","megapotamica","Baccharis megapotamica","Spreng.",NA,"L. Scur","2000","03","25","Brazil","Rio Grande do Sul","Caxias do Sul","Criúva.","-51.1792","-29.1683",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787962","NY00787962_01","679",NA,NA,NA,"780","780","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","787956","PreservedSpecimen","Plantae","Asteraceae","Baccharis","megapotamica","Baccharis megapotamica","Spreng.","P. K. H. Dusén","P. K. H. Dusén","1910","03","13","Brazil","Paraná",NA,"Calmon.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445968' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787956","NY00787956_01","9333",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","787958","PreservedSpecimen","Plantae","Asteraceae","Baccharis","megapotamica","Baccharis megapotamica","Spreng.","I. Teodoro Luis","W. Hoehne","1949","04","18","Brazil","São Paulo",NA,"Próximo à Interlagos.","-46.702004","-23.702324",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445979' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787958","NY00787958_01","s.n.",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
