"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","infraspecificEpithet","relatedCatalogItem"
"1","2016-10-21 20:00:00-02","NY","NYBG","67871","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Plantaginaceae","Bacopa","congesta","Bacopa congesta","syntype","E. Hassler","6736","1900","12","South America","Paraguay","Cordillerae Centralis. In regione cursus superioris fluminis Y-acá.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=284066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067871","NY00067871_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-21 20:00:00-02","NY","NYBG","67872","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Plantaginaceae","Bacopa","congesta","Bacopa congesta","syntype","E. Hassler","3836","1900","01","South America","Paraguay","In palude Tucanguá [spelling ?].","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=284067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067872","NY00067872_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:39-03","UFRJ","RFA","8471","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Bacopa","congesta","Bacopa congesta",NA,"A.P. Duarte","10395","1967","02",NA,"Brasil",NA,NA,"Flores alaranjadas","RFA27574",NA,"Chodat & Hassl.","V.C. Souza","2009","01","27","22","Minas Gerais","Alfredo Vasconcelos","-43.7769012451172","-21.145299911499","17742","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:33:31-03","NBC","NL-BOTANY","L.2772708","PreservedSpecimen","Plantae",NA,"Lamiales","Scrophulariaceae","Bacopa","congesta","Bacopa congesta",NA,"Pedersen TM",NA,"1979","03","Southern America","Argentina","Argentinae, Carambola, Dep. Concepcion, Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2772708 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2772708","NL-L2772708","Chodat & Hassl.",NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:33:31-03","NBC","NL-BOTANY","U.1721186","PreservedSpecimen","Plantae",NA,"Lamiales","Scrophulariaceae","Bacopa","congesta","Bacopa congesta",NA,"Rodrigues",NA,"1913","11","Southern America","Argentina","Misiones, Santa Ana.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1721186 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1721186","NL-U1721186","Chodat & Hassl.",NA,NA,NA,NA,"03",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:18:20-03","ESALQ","ESA","68358","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Plantaginaceae","Bacopa","congesta","Bacopa congesta",NA,"Zardini, E. ; Velasquez, C.","26742.0","1991","03",NA,"Paraguai",NA,NA,NA,"ESA068358",NA,"Chod. & Hassl.","Bidgood, S.","1993","01","01","03","Tobati","Ybytú Silla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:18:20-03","ESALQ","ESA","96271","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Plantaginaceae","Bacopa","congesta","Bacopa congesta",NA,"Hatschbach, G. et al.","77072.0","2004","03",NA,"Brasil",NA,NA,NA,"ESA096271",NA,"Chodat & Hassl","Souza, V.C.",NA,NA,NA,"13","Mato Grosso do Sul","Bela Vista","-56.5210990905762","-22.1089000701904","66197","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 12:18:20-03","ESALQ","ESA","87661","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Plantaginaceae","Bacopa","congesta","Bacopa congesta",NA,"Hoehne, F.C.",NA,"1926","04",NA,"Brasil",NA,NA,NA,"ESA087661",NA,"Chod. & Hassl.","Pennel, F.W.",NA,NA,NA,"24","Minas Gerais","Turvo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:18:20-03","ESALQ","ESA","113286","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Plantaginaceae","Bacopa","congesta","Bacopa congesta",NA,"Souza, L.F.",NA,"2005","03",NA,"Brasil",NA,NA,NA,"ESA113286","ESA113286",NA,NA,NA,NA,NA,"26","Goiás","Serranópolis","-51.9622001647949","-18.3061008453369","86936","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 12:18:20-03","ESALQ","ESA","96272","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Plantaginaceae","Bacopa","congesta","Bacopa congesta",NA,"Hatschbach, G. et al.","76935.0","2004","03",NA,"Brasil",NA,NA,NA,"ESA096272",NA,"Chodat & Hassl","Souza, V.C.",NA,NA,NA,"09","Mato Grosso do Sul","Ponta Porã","-55.7256011962891","-22.5361003875732","102608","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 12:18:20-03","ESALQ","ESA","84343","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Plantaginaceae","Bacopa","congesta","Bacopa congesta",NA,"Magalhães, M.","3287.0","1942","07",NA,"Brasil",NA,NA,NA,"ESA084343",NA,"Chodat. & Hassl.","Souza, V.C.",NA,NA,NA,"23","Minas Gerais","Belo Horizonte","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
