"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","typeStatus","recordNumber","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","class"
"1","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","3511","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","spiralis","Barbacenia spiralis","L.B.Sm. & Ayensu","Carlos A. Ferreira Jr.","2014","09","01","Lucas Assis ; Kelen Soares","2014","08","29","Brasil","Minas Gerais","Diamantina","-43.6002998352051","-18.2493991851807","101169","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","247993","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","spiralis","Barbacenia spiralis","L.B.Sm. & Ayensu","L. B. Smith",NA,NA,NA,"H. S. Irwin","1970","03","16","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560101' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"type","27642","South America","Serra do Espinhaço, ca. 8 km E of Diamantina, road to Extraçao.","1175","1175","sheet","NY00247993","NY00247993_01",NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","247994","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","spiralis","Barbacenia spiralis","L.B.Sm. & Ayensu","L. B. Smith",NA,NA,NA,"H. S. Irwin","1970","03","16","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560102' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"photo of type","27642","South America","Serra do Espinhaço, ca. 8 km E of Diamantina, road to Extraçao.","1175","1175","photo","NY00247994",NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","910663","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Burlemarxia","spiralis","Burlemarxia spiralis","(L.B.Sm. & Ayensu) N.L.Menezes & Semir","N. L. de Menezes; J. Semir",NA,NA,NA,"A. M. Giulietti","1981","10","29","Brazil","Minas Gerais","Diamantina","-43.6003","-18.2494",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986095' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"CFCR2240","South America","estrada para Extração (Curralinho), a 12 km de Diamantina.",NA,NA,"sheet","NY00910663","NY00910663_01",NA,NA,NA
"5","2020-12-21 16:46:49-03","MBM","MBM","201265","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Burlemarxia","spiralis","Burlemarxia spiralis","(L.B.Sm. & E. Ayensu) Menezes & Semir","Menezes, N.L.",NA,NA,NA,"Menezes, N.L.",NA,NA,NA,"Brazil","Minas Gerais","Diamantina","-43.6002998352051","-18.2493991851807","101169",NA,NA,"auto",NA,"s.n.","Southern America","Curralinho",NA,NA,NA,"MBM201265","MBM201265",NA,NA,NA
"6","2020-12-21 16:46:49-03","MBM","MBM","165616","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Burlemarxia","spiralis","Burlemarxia spiralis","(L.B.Sm. & E. Ayensu) Menezes & Semir","Menezes, N.L.",NA,NA,NA,"Menezes, N.L.; et al.; et al.",NA,NA,NA,"Brazil","Minas Gerais","Diamantina","-43.6002998352051","-18.2493991851807","101169",NA,NA,"auto",NA,"12295","Southern America","Extração Curralinho",NA,NA,NA,"MBM165616","MBM165616",NA,NA,NA
"7","2009-11-04 20:15:00-02","MO","MOBOT","3029053","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","spiralis","Barbacenia spiralis","L.B. Sm. & Ayensu",NA,NA,NA,NA,"Howard S. Irwin|et al.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Irwin 27642","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-01-19 05:29:00-02","MO","MOBOT","3029553","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Burlemarxia","spiralis","Burlemarxia spiralis","(L.B. Sm. & Ayensu) Menezes & Semir","Menezes & Semir",NA,NA,NA,"Ana M. Giulietti","1981","10","29","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Giulietti 2240","South America","Diamantina: estrada para Extracão (Curralinho), a 12km de Diamantina.",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:11:45-03","FZB-BH","BHZB","10986","S","Plantae",NA,NA,"Velloziaceae","Barbacenia","spiralis","Barbacenia spiralis",NA,NA,NA,NA,NA,"Assis, L.","2015","12","01","Brasil","MG","Diamantina","-43.5525","-18.353611",NA,NA,"unicata",NA,NA,NA,NA,"Trecho rod. entre Diamantina /Milho Verde","1209","1209",NA,NA,NA,"43W 33` 09","18S 21' 13",NA
"10","2019-06-10 10:11:45-03","FZB-BH","BHZB","10794","S","Plantae",NA,NA,"Velloziaceae","Barbacenia","spiralis","Barbacenia spiralis",NA,NA,NA,NA,NA,"Ferreira Junior, C.A.","2015","02","02","Brasil","MG","Belo Horizonte","-43.937801361084","-19.9207992553711","17082",NA,"Cultivada. (Coleção viva: JBBH3511). Folhas glaucas.","auto",NA,NA,NA,"FZB-BH - Coleção de Campo Rupestre.",NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-06-10 10:11:45-03","FZB-BH","BHZB","11064","S","Plantae",NA,NA,"Velloziaceae","Barbacenia","spiralis","Barbacenia spiralis",NA,NA,NA,NA,NA,"Soares, K.P.","2016","01","12","Brasil","MG","Diamantina","-43.6002998352051","-18.2493991851807","101169",NA,"unicata","auto",NA,NA,NA,"Trecho rod. entre Diamantina /Milho Verde",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 11:52:55-03","UFPE","UFP","11682","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Burlemarxia","spiralis","Burlemarxia spiralis","(L. B. Smith & Ayensu)","Mello-Silva, R","1994","01",NA,"Iseppon, AMB","1993","11","03","Brasil","Minas Gerais","Diamantina","-43.6002998352051","-18.2493991851807","101169",NA,"Fixações cromossômicas efetuadas. Sementes e plantas para cultivo coletadas.; 25 - 30 cm. de altura, corola púpura, folhas verde-oliva.; Aflorações rochosas íngrimes.","auto",NA,"s.n.",NA,NA,NA,NA,NA,"UFP011682",NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","2849447","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","spiralis","Barbacenia spiralis","L.B. Sm. & Ayensu",NA,NA,NA,NA,"N. L. Menezes",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,"1",NA,NA,NA,"774","South America - Neotropics",NA,NA,NA,NA,"US01329341","US01329341_01",NA,NA,"Monocotyledonae"
"14","2020-09-12 05:00:02-03","US","US","2849446","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","spiralis","Barbacenia spiralis","L.B. Sm. & Ayensu",NA,NA,NA,NA,"N. L. Menezes","1977","12","14","Brazil","Minas Gerais",NA,NA,NA,NA,"1",NA,NA,NA,"774","South America - Neotropics","Curralinho (junto à extração)",NA,NA,NA,"US01329342","US01329342_01",NA,NA,"Monocotyledonae"
"15","2019-11-01 15:17:27-03","UnB","UB","2261","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Velloziaceae","Barbacenia","spiralis","Barbacenia spiralis","L.B. Sm. & Ayensu","Smith, LB",NA,NA,NA,"Irwin, HS; Fonsêca, SF; Souza, R; Santos, RR","1970","03","16","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Tipo.; Erva. Flor vermelha; Cerrado com afloramentos. Solo: Rochoso e Arenoso.",NA,"isotype","27642","Southern America","8km E de Diamantina, estrada para extração","1175","1175",NA,"UB0040493","UB0040493",NA,NA,NA
"16","2019-11-01 15:17:27-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Velloziaceae","Barbacenia","spiralis","Barbacenia spiralis","L.B. Sm. & Ayensu",NA,NA,NA,NA,"Menezes, NL; et al.","1989","09","10","Brasil","Minas Gerais","Diamantina","-43.6002998352051","-18.2493991851807","101169",NA,NA,"auto",NA,"12334","Southern America","Extração (Curralinho)",NA,NA,NA,"UB0028046","UB0028046",NA,NA,NA
