"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","class","scientificNameAuthorship","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus"
"1","2016-10-21 16:52:00-02","NY","NYBG","1288496","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Bellucia","riparia","Bellucia riparia","C. A. Sothers","333","1995","02","14","South America","Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26. Floresta de Baixio.","-60.0250015258789","-3.10193991661072","138090","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1758716' target='other'> <mi>dwc_moreinfo</mi></a>","NY01288496","NY01288496_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-21 16:52:00-02","NY","NYBG","1288497","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Bellucia","riparia","Bellucia riparia","J. E. L. S. Ribeiro","1457","1994","11","01","South America","Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Igarapé Barro Branco. Floresta de Baixio.","-60.0250015258789","-3.10193991661072","138090","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1758717' target='other'> <mi>dwc_moreinfo</mi></a>","NY01288497","NY01288497_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:03:07-03","NBC","NL-BOTANY","U.1420783","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Loreya","riparia","Loreya riparia","Ribeiro JELS; Assunção PACL; Pereira E da C",NA,"1994","07","01","Southern America","Brazil",NA,NA,"Reserva Florestal Dicke, Manaus-Itacoatiara, km 26. Igarapé Barro Branco. Floresta de Baixio. Árvore. Solo areno-argiloso, dossel. Traonco cilindrico, base acanalda.","-59.966667","-2.883333",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1420783 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1420783","NL-U1420783",NA,"Magnoliopsidae","S.S.Renner","-59.966667","-2.883333",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-03-16 13:31:08-03","UNEMAT","HERBAM","8042","S","Plantae",NA,NA,"Melastomataceae","Loreya","riparia","Loreya riparia","Soares, C.R.A.; Damasceno, A.S.V.; Melo, J.B.M. & Moura, V.A.","Azul 1835644","2012","03","26",NA,"Brasil","Mato Grosso","Paranaíta","Terra Firme.","-56.799444","-9.333333",NA,NA,NA,"HERBAM008042",NA,NA,NA,"Renner","-56.799444","-9.333333","Piva, JH","2012","03","26","208","208",NA,NA
"5","2015-01-24 16:27:00-02","MO","MOBOT","3222910","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Bellucia","riparia","Bellucia riparia","José Eduardo L. da S. Ribeiro|P. A. Costa Lima Assunção|E. da C. Pereira","Ribeiro 1457","1994","11","1","South America","Brazil","Amazonas",NA,"Igarapé Barro Branco. Floresta de Baixio. Árvore. Solo areno-argiloso, dossel. Tronco cilíndrico, base acanalada. Ritidoma marrom, fissurado, rígido, desprendimento pulverulento. Casca morta marrom-clara, 1mm espess. Casca viva vermelha, 6mm espess. fibrosa, odor suave. Alburno creme-esbranquiçado.","-59.9666667","-2.8833333",NA,NA,NA,NA,NA,NA,NA,"(S.S. Renner) Penneys, Michelang., Judd & Almeda",NA,NA,"fide Penneys et al.",NA,NA,NA,NA,NA,"1",NA
"6","2014-04-05 06:07:00-03","MO","MOBOT","3219877","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Bellucia","riparia","Bellucia riparia","Cynthia A. Sothers|C. Fernandes da Silva|P. A. Costa Lima Assunção","Sothers 275","1994","11","7","South America","Brazil","Amazonas",NA,"Floresta de Baixio. Árovre.","-59.9666667","-2.8833333",NA,NA,NA,NA,NA,NA,NA,"(S.S. Renner) Penneys, Michelang., Judd & Almeda",NA,NA,"fide Penneys et al.",NA,NA,NA,NA,NA,"1",NA
"7","2014-01-11 21:18:00-02","MO","MOBOT","3222170","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Bellucia","riparia","Bellucia riparia","Cynthia A. Sothers|E. da C. Pereira","Sothers 333","1995","2","14","South America","Brazil","Amazonas",NA,"Preto do campo de futebol. Floresta de Baixio. Árvore.","-59.9666667","-2.8833333",NA,NA,NA,NA,NA,NA,NA,"(S.S. Renner) Penneys, Michelang., Judd & Almeda",NA,NA,"fide Penneys et al.",NA,NA,NA,NA,NA,"1",NA
"8","2020-08-31 09:06:16-03","INPA","INPA","132208","S","Plantae","Dicotyledon Com-Clade","Myrtales","Melastomataceae","Bellucia","riparia","Bellucia riparia","Nelson, BW","1444","1986","01","11","Southern America","Brasil","Amazonas","Manaus","Estrada para Praia Dourada (Rio Tarumã), em buriti, Estrada para Praia Dourada (Rio Tarumã), em buritizal alagado.","-60.160283","-3.037128",NA,NA,NA,"INPA0132208","INPA0132208 INPA0132208_e",NA,NA,"Spruce","-60.160283","-3.037128","Renner, SS","1986",NA,NA,NA,NA,NA,"paratype"
"9","2021-01-10 20:46:40-03","INPA","INPA","184241","S","Plantae","Dicotyledon Com-Clade","Myrtales","Melastomataceae","Bellucia","riparia","Bellucia riparia","Ribeiro, JELS","1457","1994","11","01","Southern America","Brasil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke, Igarapé Barro Branco.","-59.966667","-2.883333",NA,NA,NA,"INPA0184241","INPA0184241 INPA0184241_e INPA0184241_nd",NA,NA,"Spruce","-59.966667","-2.883333",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-10 20:46:40-03","INPA","INPA","184292","S","Plantae","Dicotyledon Com-Clade","Myrtales","Melastomataceae","Bellucia","riparia","Bellucia riparia","Sothers, CA","333","1995","02","14","Southern America","Brasil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke, Perto do campo de futebol.","-59.966667","-2.883333",NA,NA,NA,"INPA0184292","INPA0184292 INPA0184292_e INPA0184292_nd",NA,NA,"Spruce","-59.966667","-2.883333",NA,NA,NA,NA,NA,NA,NA,NA
