"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","scientificNameAuthorship","monthIdentified","dayIdentified","locality","occurrenceRemarks","imagecode","class","order","continentOcean","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","preparationType"
"1","2020-11-04 11:19:44-03","ESALQ","ESA","98106","PreservedSpecimen","Plantae","Magnoliophyta","Scrophulariaceae","Buddleja","hatschbachii","Buddleja hatschbachii","Hatschbach, G.","2004","Hatschbach, G.","78225.0","2004","10","18","Brasil","Santa Catarina","Urubici","-49.5917015075684","-28.0149993896484","30102","ESA098106","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:41:14-03","UNICAMP","UEC","77122","S","Plantae","Magnoliopsida","Scrophulariaceae","Buddleja","hatschbachii","Buddleja hatschbachii","Coelho, GP","2016","Stehmann, JR; et al.","1753","1995","12","06","Brazil","Santa Catarina","Urubici","-49.5917015075684","-28.0149993896484","30102","UEC103154","auto","E.M.Norman & L.B.Sm.","08","17","Estrada Serra do Corvo Branco.","Flores amarelo-claro.; em barranco rochoso na beira da estrada.","UEC103154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-16 09:41:28-03","PUCRS","MPUC","16648","S","Plantae",NA,"Scrophulariaceae","Buddleja","hatschbachii","Buddleja hatschbachii","G.P. Coelho","2019",NA,NA,"1988","01","01","Brasil","SC",NA,NA,NA,NA,NA,NA,"E.M. Norman & L.B. Sm.","09","19","Espigão Alto",NA,NA,"Magnoliopsida","Lamiales","South America","1",NA,NA,NA,NA,NA,NA,NA
"4","2019-10-16 09:41:28-03","PUCRS","MPUC","19977","S","Plantae",NA,"Scrophulariaceae","Buddleja","hatschbachii","Buddleja hatschbachii","G.P. Coelho","2019","C.S.A. Martins",NA,"1988","09","24","Brasil","SC","Campos Novos","-51.2249984741211","-27.4016990661621","43319",NA,"auto","E.M. Norman & L.B. Sm.","09","19","Aranha","Ponto 11, coleta aleatória",NA,"Magnoliopsida","Lamiales","South America","3",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-17 17:05:19-03","PUCRS","MPUC","16649","S","Plantae",NA,"Scrophulariaceae","Buddleja","hatschbachii","Buddleja hatschbachii","G.P. Coelho","2016",NA,NA,"1988","01","01","Brasil","SC",NA,NA,NA,NA,NA,NA,"E.M. Norman & L.B. Sm.","09","29","Espigão Alto",NA,NA,"Magnoliopsida","Lamiales","South America","2",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-16 09:41:28-03","PUCRS","MPUC","19968","S","Plantae",NA,"Scrophulariaceae","Buddleja","hatschbachii","Buddleja hatschbachii","G.P. Coelho","2019","C. Nunes",NA,"1988","12","19","Brasil","RS","Barracão","-51.4606018066406","-27.6716995239258","28327",NA,"auto","E.M. Norman & L.B. Sm.","09","19","Espigão Alto",NA,NA,"Magnoliopsida","Lamiales","South America","1",NA,NA,NA,NA,NA,NA,NA
"7","2020-10-14 10:06:32-03","FURB","FURB","42389","PreservedSpecimen","Plantae",NA,"Scrophulariaceae","Buddleja","hatschbachii","Buddleja hatschbachii",NA,NA,"Gasper, A.L. de; Funez, L.A. & Kassner-Filho, A.","3130","2013","10","22","Brasil","Santa Catarina","Vitor Meireles","-49.8333333","-26.8655556",NA,"FURB43514",NA,"E.M.Norman & L.B.Sm.",NA,NA,"Serra da Abelha.","Projeto REFLORA FAPESC 14843/2011-1. Habitat: paredão rochoso em borda de floresta Habito: erva terrícola; flor amarelada","FURB43514",NA,NA,NA,NA,"-49.8333333","-26.8655556","607","607",NA,NA,NA
"8","2021-03-16 17:52:59-03","UCS","HUCS","44210","PreservedSpecimen","Plantae","Angiospermae","Scrophulariaceae","Buddleja","hatschbachii","Buddleja hatschbachii",NA,NA,"Sobral, M.","8607","1997","10",NA,"Brasil","Rio Grande do Sul","Gramado","-50.8739013671875","-29.3785991668701","13851",NA,"auto","Norman, E. M. & Sm. L. B.",NA,NA,"Linha Quinze","Doação ICN 120689; Região de mata Ombrófila mista",NA,NA,"Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:31:45-03","MBM","MBM","189996","PreservedSpecimen","Plantae",NA,"Loganiaceae","Buddleja","hatschbachii","Buddleja hatschbachii",NA,NA,"Ribas, O.S.; Cordeiro, J.; Poliquesi, C.B.; Cordeiro, J.; Poliquesi, C.B.","1226",NA,NA,NA,"Brazil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","MBM189996","auto","E.M. Norman & L.B. Sm.",NA,NA,"Caraguatá dos Bastos",NA,"MBM189996",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:31:45-03","MBM","MBM","269130","PreservedSpecimen","Plantae",NA,"Loganiaceae","Buddleja","hatschbachii","Buddleja hatschbachii","Hatschbach, G.",NA,"Hatschbach, G.; Cervi, A.C.; Barboza, E.; Cervi, A.C.; Barboza, E.","72638","2001","11","11","Brazil","Santa Catarina","Urubici","-49.5917015075684","-28.0149993896484","30102","MBM269130","auto","E.M. Norman & L.B. Sm.",NA,NA,"Rio dos Bugres",NA,"MBM269130",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:31:45-03","MBM","MBM","299932","PreservedSpecimen","Plantae",NA,"Loganiaceae","Buddleja","hatschbachii","Buddleja hatschbachii","Hatschbach, G.",NA,"Hatschbach, G.; Cervi, A.C.; Cervi, A.C.","78225","2004","10","18","Brazil","Santa Catarina","Urubici","-49.5917015075684","-28.0149993896484","30102","MBM299932","auto","E.M. Norman & L.B. Sm.",NA,NA,"Rio dos Bugres",NA,"MBM299932",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:31:45-03","MBM","MBM","36024","PreservedSpecimen","Plantae",NA,"Loganiaceae","Buddleja","hatschbachii","Buddleja hatschbachii",NA,NA,"Hatschbach, G.","15173","1966","10","20","Brazil","Paraná","Mangueirinha","-52.1755981445312","-25.9410991668701","42783","MBM036024","auto","E.M. Norman & L.B. Sm.",NA,NA,"Porto Fanor, Rio Iguaçu","Arbusto dos paredões e beira rio. Flor creme; Arbusto, flor creme.; Paredões a beira rio.","MBM036024",NA,NA,"Southern America",NA,NA,NA,NA,NA,"ISOTYPE",NA,NA
"13","2020-12-21 16:31:45-03","MBM","MBM","228199","PreservedSpecimen","Plantae",NA,"Loganiaceae","Buddleja","hatschbachii","Buddleja hatschbachii",NA,NA,"Sobral, M.; et al.; et al.","8607",NA,NA,NA,"Brazil","Rio Grande do Sul","Gramado","-50.8739013671875","-29.3785991668701","13851","MBM228199","auto","E.M. Norman & L.B. Sm.",NA,NA,"Linha Quinze",NA,"MBM228199",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
