"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","00918833","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeckeler) Prata & M.G.López","A. P. do N. Prata","G. G. Hatschbach","33041","1973","11","11","South America","Brazil","Mato Grosso do Sul","Bandeirantes","Rod. Br. 163.","-54.3639","-19.9181","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918833","NY00918833_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:12:46-03","NBC","NL-BOTANY","L.1348540","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeckeler) Prata & M.G.López",NA,"Pedersen TM",NA,"1975","02","19","Southern America","Brazil",NA,NA,"Plantae brasilienses. Mato Grosso, mun. Dowrados: some 20 km E. of Itaum, on road to Dowrados. sandy grasslands.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1348540 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1348540","NL-L1348540","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:38:00-02","BGBM","B","B 10 0247247","S","Plantae",NA,NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","Prata & M.G.López",NA,"A. Loefgren","9274","1988","10","01","Middle and South America","Brazil",NA,NA,"Estação, Feijão.",NA,NA,NA,"Scirpus loefgrenii Boeckeler <a href=http://herbarium.bgbm.org/object/B100247247 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100247247","B100247247",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-27 13:47:27-03","UFS","ASE","37836","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeck.) Prata & M.G. López","Prata, AP","Wanderley, MGL; Kral, R","1218","1988","10","06","Southern America","Brasil","Mato Grosso","Primavera do Leste","5-10 km entre Primavera do Leste e Barra da Graça, BR. 70","-54.1746","-15.3333",NA,"Solo arenoso. Transição campo-cerrado","ASE0038916",NA,NA,NA,"2003","02","-54.1746","-15.3333",NA,NA,NA,NA,NA,NA,NA
"5","2019-11-27 13:47:27-03","UFS","ASE","36351","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeck.) Prata & M.G. López","Aparecida da Silva, M","Aparecida da Silva, M; Klein, VLG; Queiroz, MVD; Monteiro, CH","7274","2011","02","03","Southern America","Brasil","Goiás","Pirenópolis","Base dos três picos em frente ao Morro do Cabeludo, Campo limpo úmido com água corrente nesse período.","-48.4955","-15.4741",NA,"Erva ca. de 0,20cm de altura. Inflorescências amarronzada. Estames amarelo-claro. Folhas concolores verdes.","ASE0037409","ASE0037409",NA,NA,"2011","02","-48.4955","-15.4741","17",NA,NA,NA,NA,NA,NA
"6","2019-11-27 13:47:27-03","UFS","ASE","9124","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeck.) Prata & M.G. López","Prata, AP","M.Kirizawa; B.L.Morretes","626","2000","06","27","Southern America","Brasil","São Paulo","Pirassununga","cerrado das Emas","-47.3856","-22.4332",NA,". Área queimada anualmente.; . Área queimada anualmente.","ASE0018441","ASE0018441",NA,NA,"2000","07","-47.3856","-22.4332",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:19:24-03","UNICAMP","UEC","42933","S","Plantae","Liliopsida",NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeck.) A.Prata & M.G.López","Prata, AP","Mendonça, RC; Filgueiras, TS; Ribeiro, M","594","1986","11","25",NA,"Brazil","Distrito Federal","Brasília","Córrego Taquara, Área do Cristo Redentor.","-47.9296989440918","-15.7797002792358",NA,"Erva. Inflorescência de cor marrom. Frequente.; Área queimada recentemente. Em local aberto.","UEC098439","UEC098439",NA,NA,"2000","02",NA,NA,NA,"70570","auto",NA,NA,NA,NA
"8","2019-08-20 09:59:35-03","UNICAMP","UEC","86214","S","Plantae","Liliopsida",NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeck.) A.Prata & M.G.López","Prata, AP","Longhi-Wagner, HM; Boechat, SC; et al.; Araújo, AC","3271","1996","01","26",NA,"Brazil","São Paulo","Pirassununga","Cerrado de Emas","-47.4199981689453","-21.9899997711182",NA,NA,"UEC098442","UEC098442",NA,NA,"2005","11",NA,NA,NA,"24621","auto",NA,NA,NA,NA
"9","2020-12-21 16:21:56-03","MBM","MBM","26582","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","A. Prata e M.G. López","Barros, M.","Hatschbach, G.","7237","1960","09","09","Southern America","Brazil","Paraná","Arapoti","Fazenda do Tigre","-49.8266983032227","-24.1578006744385",NA,NA,"MBM026582","MBM026582",NA,NA,NA,NA,NA,NA,NA,"41852","auto",NA,NA,NA,NA
"10","2015-09-03 21:36:13-03","MNHN","RECOLNAT_MNHN_P","P00238332","PreservedSpecimen",NA,NA,NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeck.) Prata & M.G.López","Smith","Loefgren, A.",NA,"1888","10","1",NA,"Brésil",NA,NA,"Corrego Icijao prope S. Carlos de Pinhal",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00238332' target='other'> <mi>dwc_moreinfo</mi></a>","P00238332","P00238332_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"976",NA,NA,NA
