"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","class","dayIdentified","infraspecificEpithet","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00893533","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","guilleminiana","Byrsonima guilleminiana","A.Juss.","W. R. Anderson","W. R. Anderson","11513","1975","02","21","South America","Brazil","Goiás","Cristalina","Ca. 7 km E of Cristalina on Brasília - Belo Horizonte highway","-47.55358","-16.79473","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893533","NY00893533_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00893532","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","guilleminiana","Byrsonima guilleminiana","A.Juss.","W. R. Anderson","G. G. Hatschbach","38990","1976","10","06","South America","Brazil","Goiás","Cristalina","Serra dos Cristaes.","-47.6133","-16.7686",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970092' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893532","NY00893532_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00893534","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","guilleminiana","Byrsonima guilleminiana","A.Juss.","M. C. H. Mamede","R. de Mello-Silva","1127","1996","06","13","South America","Brazil","Minas Gerais",NA,"Gouveia, Contagem, Serra do Indaial, próximo à torre de repetição, por estrada vicinal não pavimentada c. de 2,4 km da rodovia BR 259 (Curvelo-Gouveia).","-43.9017","-18.6072","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893534","NY00893534_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02282383","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","guilleminiana","Byrsonima guilleminiana","A.Juss.","A. Francener","S. A. Mori","16666","1984","07","10","South America","Brazil","Distrito Federal","Brasília","On road to Gama, DF16, 3-7 km from junction with BR040.","-48.03","-15.97","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2334751' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00909343","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","guilleminiana","Byrsonima guilleminiana","A.Juss.","M. C. H. Mamede","E. P. Heringer","5644","1980","11","06","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909343","NY00909343_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00909345","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","guilleminiana","Byrsonima guilleminiana","A.Juss.","M. C. H. Mamede","E. P. Heringer","5663","1980","11","06","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909345","NY00909345_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","475320","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","guilleminiana","Byrsonima guilleminiana","A.Juss.","W. R. Anderson","A. Cruz","2","1981","09","01","South America","Brazil","Distrito Federal","Brasília","Córrego Cabeça do Veado","-47.85","-15.87","1020","1020","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=248554' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475320","NY00475320_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","818192","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","guilleminiana","Byrsonima guilleminiana","A.Juss.","W. R. Anderson","W. R. Anderson","8050","1973","04","03","South America","Brazil","Goiás","Cristalina","10 km by road N of Cristalina. Serra dos Cristais.","-47.68","-16.72","1080","1080","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818192","NY00818192_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00909340","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","guilleminiana","Byrsonima guilleminiana","A.Juss.","M. C. H. Mamede","E. P. Heringer","3537","1980","02","28","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980218' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909340","NY00909340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00909344","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","guilleminiana","Byrsonima guilleminiana","A.Juss.","M. C. H. Mamede","E. P. Heringer","5649","1980","11","06","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909344","NY00909344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
