"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet","sex"
"1","2021-04-05 14:25:37-03","UNESC","CRI","7492","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Cambess.) O.Berg","Cristiane Krug","2006","10","20","Brasil","Santa Catarina","Porto União","-51.078611","-26.238611","51º4'43''W","26º14'19''S","CRI004945","CRI004945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","6423","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Cambess.) O.Berg","J. A. Jarenkow","1992","12","05","Brasil","Rio Grande do Sul","Torres","-49.727222","-29.335833","49º43'38''W","29º20'9''S","CRI004946","CRI004946","M. Sobral","2231","Perdida.","36","36","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:37-03","UNESC","CRI","14459","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Cambess.) O.Berg","Verdi, M.; Hasckel, R.P. & Klemz, G.","2009","03","20","Brasil","Santa Catarina","Erval Velho","-51.387778","-27.269722","51º23'16''W","27º16'11''S","CRI013579","CRI013579","Verdi, M","1854","Fazenda Maragatos. Fazenda Maragatos.","802","802","Florística IFFSC 442. Habitat: Floresta Ombrófila Mista; Habito: Fruto verde;","2009","03","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:37-03","UNESC","CRI","7493","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Cambess.) O.Berg","Cristiane Krug","2006","11","05","Brasil","Santa Catarina","Porto União","-51.078611","-26.238611","51º4'43''W","26º14'19''S","CRI004954","CRI004954",NA,NA,NA,"750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","386721","PreservedSpecimen","Plantae","Myrtaceae","Britoa","hassleriana","Britoa hassleriana","Barb.Rodr.","E. Hassler",NA,NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,"NY00386721","NY00386721_01",NA,"4921",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392791' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","type","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 07:38:00-03","NY","NYBG","386720","PreservedSpecimen","Plantae","Myrtaceae","Britoa","hassleriana","Britoa hassleriana",NA,"E. Hassler",NA,NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,"NY00386720","NY00386720_01",NA,"4894","Iter ad Yerbales montium Sierra de Maracayú; in region vicine Igatimi",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392790' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","type","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","386723","PreservedSpecimen","Plantae","Myrtaceae","Britoa","sellowiana","Britoa sellowiana","O.Berg","A. F. Regnell",NA,NA,NA,"Brazil","Minas Gerais","Caldas","-46.3858","-21.9236",NA,NA,"NY00386723","NY00386723_01",NA,"II110","Caldas",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312369' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","lectotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","579604","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Cambess.) O.Berg","F. C. Hoehne","1928","11","05","Brazil","Paraná","Jaguariaíva","-49.713647","-24.340602",NA,NA,"NY00579604","NY00579604_01",NA,"s.n.","Jaguariahyva.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385160' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","579605","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Cambess.) O.Berg","J. R. Pirani","1994","12","08","Brazil","Espírito Santo","Vila Velha","-40.286823","-20.328351",NA,NA,"NY00579605","NY00579605_01","M. L. Kawasaki","3478","ES-060, mata de restinga a W da Rodovia, ca. 1 km N da Praia da Sereias.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385141' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","579592","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Cambess.) O.Berg","R. M. Klein","1962","12","05","Brazil","Santa Catarina","Lajes","-50.3258","-27.8161",NA,NA,"NY00579592","NY00579592_01","L. R. Landrum","3196","Encruzilhada, Lajes","900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385154' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
