"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","class","relatedCatalogItem","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01405001","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium","(Müll.Arg.) Pax","K. J. Wurdack","G. T. Prance","26338A","1980","11","02","South America","Peru","Loreto","Rio Ampiyacu above Pebas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2880929' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405001","NY01405001_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-04-12 08:36:00-03","NY","NYBG","1280140","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium",NA,NA,"A. F. M. Glaziou","1438","1887","07","11","South America","Brazil","Rio de Janeiro","Gavea","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1596929' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280140","NY01280140_01","-43.250118","-22.98261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1280141","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium","(Müll.Arg.) Pax",NA,"G. G. Hatschbach","50694","1986","11","06","South America","Brazil","Espírito Santo","Alto Bananal.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1596932' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280141","NY01280141_01","-41.256612","-20.378333","Conceiçao do Castelo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","777927","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","I. Cordeiro","I. Cordeiro","2334","2000","09","27","South America","Brazil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, trilha do Jequitibá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777927","NY00777927_01","-45.4097","-23.6203","Caraguatatuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-05-17 10:21:00-03","NY","NYBG","02681766","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense",NA,NA,"S. J. da Silva Neto","1408","2000","06","27","South America","Brazil","Rio de Janeiro","Interior de mata. Reserva da Petrobras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2943465' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681766","NY02681766_01","-43.266667","-22.55","Duque de Caxias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:30:14-03","UFRJ","RFA","23764","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium","(Müll.Arg.) Pax","Cristine M. B. Correira","D. A. Folli","109","1979","09","12",NA,"Brasil","Espírito Santo","Estrada Farinha-seca, ant. 221, km 3861, lado direito",NA,"Árvore em floresta alta; ca. 20 m de altura e fuste de ca. 10 m; DAP: 32 cm. diâmetro de copa ca. 7 m. Com flor verde-clara e botão verde. Fuste cilíndrico e casca lisa","RFA19265",NA,"-40.0722007751465","-19.3910999298096","Linhares","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:30:14-03","UFRJ","RFA","31253","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium","(Müll.Arg.) Pax","C. M. Vieira","M. A. Louzada; J. C. Gomes et al.","1","2002","00","00",NA,"Brasil","Rio de Janeiro",NA,NA,"Parcela: P2; Ind.: 101","RFA20479",NA,"-44.3180999755859","-23.0067005157471","Angra dos Reis","32988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:30:14-03","UFRJ","RFA","4826","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","I. Cordeiro","P. Occhioni","433","1945","10","14",NA,"Brasil","Rio de Janeiro","Estrada da Vista Chinesa",NA,"Árvore pequena; flores esverdeadas","RFA25295",NA,"-43.2075004577637","-22.9027996063232","Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:30:14-03","UFRJ","RFA","39579","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","R. Finotti","Finotti R.; Caruzo J.","160","2007","04",NA,NA,"Brasil","Rio de Janeiro","Interior de fragmento florestal localizado na propriedade do Sr. Renato Cozzolino",NA,"Árvore com 8 metros e altura de PAP 53,4 cm.","RFA24569",NA,"-42.909444","-22.536944","Guapimirim",NA,NA,"42º54'34''W","22º32'13''S","50","50",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:38:05-03","EAO","IAN","147590","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium","(Müll.Arg.) Pax",NA,"Liesner, RL","1974","1973","05","30","Southern America","Peru","Unknown","Quebrada sasa, rio Cenepa.",NA,"Tree 20m; DBH 30cm. Lvs. lisos. Flore green yellow (7.5/8).","IAN147590",NA,NA,NA,NA,NA,NA,NA,NA,"910","910",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-02 16:28:49-03","CPAN-UFMS","COR","16260","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","Carrión, J.F.","Gomes, C.","85","2007","06","08",NA,"Brasil","Sergipe","Fazenda Sabão. Mata Atlântica.",NA,"Filotaxia alternas.; Com Fruto: Frutos imaturos verdes",NA,NA,"-37.5116996765137","-11.5192003250122","Indiaroba","17052","auto",NA,NA,NA,NA,"2018","11","28",NA,NA,NA,NA,NA
"12","2020-11-04 11:07:26-03","ESALQ","ESA","120112","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense",NA,"Cordeiro, I.","Neto, S.J.S.","1408.0","2000","06","01",NA,"Brasil","Rio de Janeiro","Reserva da Petrobras, interior de mata.",NA,NA,"ESA120112",NA,"-43.3116989135742","-22.7856006622314","Duque de Caxias","34388","auto",NA,NA,NA,NA,"2005","11","16",NA,NA,NA,NA,NA
"13","2015-07-02 14:01:42-03","JBP","HPL","9289","S","Plantae",NA,NA,"Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll. Arg.","A. Campos-Rocha","A. Campos-Rocha","63","2007","07","27",NA,"Brasil","SP","Coletado e cultivado no Instituto Plantarum.",NA,NA,NA,NA,"-47.29","-22.77","Nova Odessa","8440","auto",NA,NA,NA,NA,"2007","07","27",NA,NA,NA,NA,NA
"14","2019-08-20 10:11:12-03","UNICAMP","UEC","88891","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","Cordeiro, I","Damasceno Junior, GA","29349","1993","11","12",NA,"Brazil","São Paulo","Instituto Agronômico",NA,"Árvore 6 m.","UEC121926","UEC121926","-45.0699996948242","-23.4300003051758","Ubatuba","34265","auto",NA,NA,NA,NA,"2015","05",NA,NA,NA,NA,NA,NA
"15","2020-12-04 13:19:06-03","UDESC","LUSC","356","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","Eller Junior, R.J.","Eller Junior, R.J.",NA,"2006","11","12",NA,"Brasil","Santa Catarina","UDESC-CAV.",NA,NA,"LUSC008252","LUSC008252","-50.326099395752","-27.8160991668701","Lages","70701","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 11:06:00-03","UNESP-IBB","BOTUW","380","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium","(Müll. Arg.) Pax",NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Comp. Vale do Rio Doce",NA,NA,"BOTUW000380",NA,"-40.533333","-19.866667",NA,NA,NA,"40°32'W","19°52'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-06-29 09:30:14-03","UFRRJ","RBR","43351","S","Plantae",NA,NA,"Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","T.P.P. Alverga","L.H. Soares",NA,"2014","02","14",NA,"Brasil","Rio de Janeiro","Trilha cachoeira do Mendanha (APA de Gericinó/Mendanha). F04/15.",NA,NA,"RBR00043351",NA,"-43.544722","-22.827778","Rio de Janeiro",NA,NA,"43º32'41''W","22º49'40''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-06-29 09:30:14-03","UFRRJ","RBR","26051","S","Plantae",NA,NA,"Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","T.A. Amorim","H.C. Rodrigues","s/nº","1994","06","25",NA,"Brasil","Rio de Janeiro","REBIO do Tinguá Reserva Biológica do Tinguá",NA,NA,"RBR00026051","RBR00026051","-43.451099395752","-22.7591991424561","Nova Iguaçu","25743","auto",NA,NA,NA,NA,"2012","08","29",NA,NA,NA,NA,NA
"19","2020-12-21 16:24:05-03","MBM","MBM","103924","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium","(Muell. Arg.) Pax","Webster, G.L.","Hatschbach, G.","49924","1985","10","13","Southern America","Brazil","Espírito Santo","Alto Bananal",NA,NA,"MBM103924","MBM103924","-41.2439002990723","-20.3682994842529","Conceição do Castelo","17824","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
