"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","day","imagecode","order","recordNumber","continentOcean","preparationType","phylum","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","eventTime","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:25:08-03","UNESC","CRI","13484","PreservedSpecimen","Plantae","Cucurbitaceae","Cayaponia","martiana","Cayaponia martiana","(Cogn.) Cogn.","Renato Colares","2018","05","29","Renato Colares; Thuany Machado","2018","03","Brasil","Santa Catarina","Treviso","Campo Morozini","-49.4475","-28.541389","49º26'51''W","28º32'29''S","161","161","Habitat: Terrestre Habito: Trepadeira","CRI012091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:08-03","UNESC","CRI","11991","PreservedSpecimen","Plantae","Cucurbitaceae","Cayaponia","martiana","Cayaponia martiana","(Cogn.) Cogn.","Renato Colares","2016","04","05","Guilherme Alves Elias; Robson dos Santos; Peterson Teodoro Padilha & Guilherme Lodetti","2016","04","Brasil","Santa Catarina","Grão Pará",NA,"-49.391944","-28.191111","49º23'31''W","28º11'28''S","470","470","Habito: Trepadeira","CRI010137","04","CRI010137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 17:29:00-03","NY","NYBG","626743","PreservedSpecimen","Plantae","Cucurbitaceae","Cayaponia","bonariensis","Cayaponia bonariensis",NA,"R. Pozner",NA,NA,NA,"F. O. Zuloaga","1996","04","Argentina","Misiones","Guaraní","Ruta Prov. 21, 30km S de Paraíso, camino lateral a 2km de la ruta.","-54.12","-26.75",NA,NA,"360","360","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626743","14",NA,"Cucurbitales","5509","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","686777","PreservedSpecimen","Plantae","Cucurbitaceae","Cayaponia","bonariensis","Cayaponia bonariensis","(Mill.) Mart.Crov.","V. L. Gomes-Klein",NA,NA,NA,"P. K. H. Dusén","1913","12","Brazil","Paraná","Curitiba",NA,"-49.2731","-25.4281",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=842125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686777","28","NY00686777_01","Cucurbitales","14349","South America","sheet","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","685884","PreservedSpecimen","Plantae","Cucurbitaceae","Cayaponia","bonariensis","Cayaponia bonariensis","(Mill.) Mart.Crov.","V. L. Gomes-Klein",NA,NA,NA,"R. Braga","1959","12","Brazil","Paraná","Lapa","Rio Passa Dois","-49.7156","-25.7697",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685884","14","NY00685884_01","Cucurbitales","166","South America","sheet","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","685887","PreservedSpecimen","Plantae","Cucurbitaceae","Cayaponia","bonariensis","Cayaponia bonariensis","(Mill.) Mart.Crov.","V. L. Gomes-Klein",NA,NA,NA,"R. Reitz","1965","12","Brazil","Paraná","Guarapuava","Rio Cavernoso, Guarapuava.","-51.4581","-25.3956",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685887","15","NY00685887_01","Cucurbitales","17699","South America","sheet","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","685889","PreservedSpecimen","Plantae","Cucurbitaceae","Cayaponia","bonariensis","Cayaponia bonariensis","(Mill.) Mart.Crov.","V. L. Gomes-Klein",NA,NA,NA,"J. E. Leite","1941","12","Brazil","Rio Grande do Sul",NA,"S. Salvador",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685889",NA,"NY00685889_01","Cucurbitales","757","South America","sheet","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","685886","PreservedSpecimen","Plantae","Cucurbitaceae","Cayaponia","bonariensis","Cayaponia bonariensis","(Mill.) Mart.Crov.","V. L. Gomes-Klein",NA,NA,NA,"R. Reitz","1965","12","Brazil","Paraná","Imbituva","Imbituva","-50.6042","-25.23",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685886","14","NY00685886_01","Cucurbitales","17575","South America","sheet","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","685888","PreservedSpecimen","Plantae","Cucurbitaceae","Cayaponia","bonariensis","Cayaponia bonariensis","(Mill.) Mart.Crov.","V. L. Gomes-Klein",NA,NA,NA,"L. B. Smith","1957","02","Brazil","Santa Catarina","Caçador","7 km north of Caçador","-51.001528","-26.7186462",NA,NA,"950","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685888","07","NY00685888_01","Cucurbitales","10946","South America","sheet","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","685885","PreservedSpecimen","Plantae","Cucurbitaceae","Cayaponia","bonariensis","Cayaponia bonariensis","(Mill.) Mart.Crov.","V. L. Gomes-Klein",NA,NA,NA,"R. Reitz","1965","12","Brazil","Paraná","Guarapuava","50 km ao oeste de Guarapuava, Guarapuava","-51.9806633","-25.394435",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822503' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685885","15","NY00685885_01","Cucurbitales","17734","South America","sheet","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","686776","PreservedSpecimen","Plantae","Cucurbitaceae","Cayaponia","bonariensis","Cayaponia bonariensis","(Mill.) Mart.Crov.","V. L. Gomes-Klein",NA,NA,NA,"P. K. H. Dusén","1909","11","Brazil","Paraná","Curitiba",NA,"-49.2731","-25.4281",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=842044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686776","26","NY00686776_01","Cucurbitales","8974","South America","sheet","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","626572","PreservedSpecimen","Plantae","Cucurbitaceae","Cayaponia","martiana","Cayaponia martiana","(Cogn.) Cogn.","V. L. Gomes-Klein",NA,NA,NA,"V. L. Gomes-Klein","1997","08","Brazil","Rio de Janeiro","Paratí","Paratí-mirim, margem esquerda da estrada, no sentido para a praia, em um terreno de uma residência da fazenda Chamego, de propriedade do Sr. Alcir.","-44.7131","-23.2181",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505988' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626572","24","NY00626572_01","Cucurbitales","3274","South America","sheet","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01091725","PreservedSpecimen","Plantae","Cucurbitaceae","Cayaponia","martiana","Cayaponia martiana","(Cogn.) Cogn.","J. F. de Toledo",NA,NA,NA,"W. Hoehne","1941","05","Brazil","São Paulo","São Paulo","Próximo de Anastácio.","-46.63","-23.5403",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1251218' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091725","20","NY01091725_01","Cucurbitales","s.n.","South America","sheet","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","626573","PreservedSpecimen","Plantae","Cucurbitaceae","Cayaponia","martiana","Cayaponia martiana","(Cogn.) Cogn.","V. L. Gomes-Klein",NA,NA,NA,"V. L. Gomes-Klein","1997","08","Brazil","Rio de Janeiro","Paratí","Paratí-mirim, margem esquerda da estrada, no sentido para a praia, próximo a uma residência da fazenda Chamego, de propriedade do Sr. Alcir.","-44.7131","-23.2181",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626573","24","NY00626573_01","Cucurbitales","3273","South America","sheet","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","822645","PreservedSpecimen","Plantae","Cucurbitaceae","Cayaponia","martiana","Cayaponia martiana","(Cogn.) Cogn.","P. K. H. Dusén",NA,NA,NA,"P. K. H. Dusén","1914","03","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822645","26","NY00822645_01","Cucurbitales","14741","South America","sheet","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
