"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","recordNumber","continentOcean","decimalLongitude","decimalLatitude","preparationType","barcode","imagecode","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","infraspecificEpithet","previousCatalogNumber"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2930","S","Plantae","Magnoliophyta","Zingiberales","Costaceae","Chamaecostus","subsessilis","Chamaecostus subsessilis","(Nees & Mart.) C.D.Specht & D.W.Stev.","Eduardo G. Gonçalves","2010","04","20","Carlos Alberto F. Jr.;","2009","11","12","Brasil","Minas Gerais","Santana do Pirapama","Fazenda Tocan Cipó, Caminho do Rio Cipó","43°46.484'","19°00.267'","664","664","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2929","S","Plantae","Magnoliophyta","Zingiberales","Costaceae","Chamaecostus","subsessilis","Chamaecostus subsessilis","(Nees & Mart.) C.D.Specht & D.W.Stev.","Eduardo G. Gonçalves","2010","04","20","Carlos Alberto F. Jr.;","2009","11","12","Brasil","Minas Gerais","Santana do Pirapama","Fazenda Tocan Cipó, Caminho do Rio Cipó","43°46.529'","19°00.261'","664","664","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2928","S","Plantae","Magnoliophyta","Zingiberales","Costaceae","Chamaecostus","subsessilis","Chamaecostus subsessilis","(Nees & Mart.) C.D.Specht & D.W.Stev.","Eduardo G. Gonçalves","2010","04","20","Carlos Alberto F. Jr.;","2009","11","12","Brasil","Minas Gerais","Santana do Pirapama","Fazenda Tocan Cipó, Caminho do Rio Cipó","43°46.484'","19°00.267'","664","664","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02460869","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Costaceae","Chamaecostus","subsessilis","Chamaecostus subsessilis","(Nees & Mart.) C.D.Specht & D.W.Stev.",NA,NA,NA,NA,"S. A. da M. Souza","1987","02","05","Brazil","Pará","Altamira","Rio Xingu, Morro do Porcão.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2674048' target='other'> <mi>dwc_moreinfo</mi></a>","1068","South America","-52.2064","-3.20333","sheet","NY02460869","NY02460869_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","910211","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Costaceae","Chamaecostus","subsessilis","Chamaecostus subsessilis","(Nees & Mart.) C.D.Specht & D.W.Stev.","P. J. M. Maas; H. Maas-van de Kamer",NA,NA,NA,"H. S. Irwin","1968","02","02","Brazil","Distrito Federal","Brasília","Near Córrego Landím, ca. 25 km N.E. of Brasília. Chapada da Contagem.",NA,NA,"1000","1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981476' target='other'> <mi>dwc_moreinfo</mi></a>","19440","South America","-47.87","-15.7","sheet","NY00910211","NY00910211_01",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","298223","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Costaceae","Chamaecostus","subsessilis","Chamaecostus subsessilis","(Nees & Mart.) C.D.Specht & D.W.Stev.","P. J. M. Maas; H. Maas-van de Kamer",NA,NA,NA,"W. W. Thomas","1999","02","02","Brazil","Bahia","Jussari","Ca. 2.5 km N of Palmira on road connecting Palmira to the Itaju do Colônia-Itapé road, Fazenda Sao Roque (owner Luis Fernando Verde)",NA,NA,"300","450",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676161' target='other'> <mi>dwc_moreinfo</mi></a>","11937","South America","-39.5717","-15.1383","sheet","NY00298223","NY00298223_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01552706","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Costaceae","Chamaecostus","subsessilis","Chamaecostus subsessilis","(Nees & Mart.) C.D.Specht & D.W.Stev.","P. J. M. Maas; H. Maas-van de Kamer",NA,NA,NA,"S. A. Mori",NA,NA,NA,"Brazil","Bahia","Itamarajú",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601139' target='other'> <mi>dwc_moreinfo</mi></a>","10753","South America","-39.5308","-17.0394","sheet","NY01552706","NY01552706_01",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02460867","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Costaceae","Chamaecostus","subsessilis","Chamaecostus subsessilis","(Nees & Mart.) C.D.Specht & D.W.Stev.",NA,NA,NA,NA,"G. T. Prance","1968","11","29","Brazil","Rondônia",NA,"Serra dos Três Irmãos, opposite Mutumparaná",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2674045' target='other'> <mi>dwc_moreinfo</mi></a>","8975","South America",NA,NA,"sheet","NY02460867","NY02460867_01",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","910210","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Costaceae","Chamaecostus","subsessilis","Chamaecostus subsessilis","(Nees & Mart.) C.D.Specht & D.W.Stev.","P. J. M. Maas; H. Maas-van de Kamer",NA,NA,NA,"H. S. Irwin","1965","11","16","Brazil","Goiás","Cabeceiras","Serra do Rio Preto, ca. 14 km E. of Cabeceiras",NA,NA,"1000","1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981422' target='other'> <mi>dwc_moreinfo</mi></a>","10358","South America","-46.85263","-15.8","sheet","NY00910210","NY00910210_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","867015","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Costaceae","Chamaecostus","subsessilis","Chamaecostus subsessilis","(Nees & Mart.) C.D.Specht & D.W.Stev.","P. J. M. Maas; H. Maas-van de Kamer",NA,NA,NA,"D. C. Daly","1993","10","23","Brazil","Acre","Sena Madureira","Basin of Rio Purus, Rio Iaco, right bank, Nova Olinda, between Igarapé Santo Antõnio and Ig. Boa Esperança",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676158' target='other'> <mi>dwc_moreinfo</mi></a>","7860","South America","-69.22","-10.12","sheet","NY00867015","NY00867015_01",NA,NA,NA,NA,NA,NA,NA,NA
