"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","recordNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","order","continentOcean","preparationType","barcode","imagecode","class","fieldNumber","individualCount"
"1","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","3318","S","Plantae","Pteridophyta","Pteridaceae","Cheilanthes","goyazensis","Cheilanthes goyazensis","(Taub.) Domin","Carlos A. Ferreira Jr.","2014","02","03","Lucas Assis; Kelen Soares","2014","01","31","Brasil","Minas Gerais","Diamantina","Riacho do inferno","-43.6002998352051","-18.2493991851807","101169","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","3105","S","Plantae","Pteridophyta","Pteridaceae","Cheilanthes","goyazensis","Cheilanthes goyazensis","(Taub.) Domin","Carlos A. Ferreira Jr.","2011","03","22","Carlos Alberto F. Jr.; Daniela Zappi e Fernando Araújo","2011","03","21","Brasil","Minas Gerais","Santana do Pirapama","Área do Sr. João Carrinho e D. Maria Geralda",NA,NA,NA,"254",NA,"caf284","43°44.526'","19°03.074'","1077","1077",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03895621","PreservedSpecimen","Plantae","Pteridophyta","Pteridaceae","Cheilanthes","goyazensis","Cheilanthes goyazensis","(Taub.) Domin",NA,NA,NA,NA,"P. Jorgensen","1932",NA,NA,"Paraguay",NA,NA,"Cerro Pelado",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4181665' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"4393",NA,NA,NA,NA,"Polypodiales","South America","sheet","NY03895621","NY03895621_01",NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","875446","PreservedSpecimen","Plantae","Pteridophyta","Pteridaceae","Cheilanthes","goyazensis","Cheilanthes goyazensis","(Taub.) Domin",NA,NA,NA,NA,"H. S. Irwin","1971","01","22","Brazil","Minas Gerais",NA,"Serra do Espinhaço, lower cut over slopes of Serra da Caraça, sandy slopes near riacho, ca. 10 km W. of Barão de Cocais.","-43.4927778","-20.1263",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963714' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"28802",NA,NA,"1400","1400","Polypodiales","South America","sheet","NY00875446","NY00875446_01",NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02554170","PreservedSpecimen","Plantae","Pteridophyta","Pteridaceae","Cheilanthes","goyazensis","Cheilanthes goyazensis","(Taub.) Domin",NA,NA,NA,NA,"C. M. Sakuragui","1994","03","21","Brazil","Minas Gerais",NA,"Curimataí. Cachoeira do Simão. Arredores do rio.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2811133' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"CFCR-15331",NA,NA,NA,NA,"Polypodiales","South America","sheet","NY02554170","NY02554170_01",NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02554171","PreservedSpecimen","Plantae","Pteridophyta","Pteridaceae","Cheilanthes","goyazensis","Cheilanthes goyazensis","(Taub.) Domin",NA,NA,NA,NA,"J. Prado","2002","01","05","Brazil","Minas Gerais","Diamantina","Estrada de terra Diamantina-Biribiri.","-43.6147","-18.1481",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2811135' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1403",NA,NA,"1075",NA,"Polypodiales","South America","sheet","NY02554171","NY02554171_01",NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","875445","PreservedSpecimen","Plantae","Pteridophyta","Pteridaceae","Cheilanthes","goyazensis","Cheilanthes goyazensis","(Taub.) Domin","M. A. Sundue",NA,NA,NA,"H. S. Irwin","1966","03","07","Brazil","Goiás","Cristalina","Serra dos Cristais, ca. 10 km S. of Cristalina","-47.6","-16.84036",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963708' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"13740",NA,NA,"1200","1200","Polypodiales","South America","sheet","NY00875445","NY00875445_01",NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3108065","PreservedSpecimen","Plantae","Pteridophyta","Pteridaceae","Cheilanthes","goyazensis","Cheilanthes goyazensis","(Taub.) Domin","F. B. Matos",NA,NA,NA,"M. C. Brügger","1991","03","09","Brazil","Minas Gerais",NA,"Monte Verde de Cima - Serra Negra",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3580813' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"s.n.",NA,NA,NA,NA,"Polypodiales","South America","sheet","NY03108065","NY03108065_01",NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","875447","PreservedSpecimen","Plantae","Pteridophyta","Pteridaceae","Cheilanthes","goyazensis","Cheilanthes goyazensis","(Taub.) Domin","J. Prado",NA,NA,NA,"C. M. Sakuragui","1994","03","21","Brazil","Minas Gerais",NA,"Curimataí. Cachoeira do Simão. Arredores do rio.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963720' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"s.n.",NA,NA,NA,NA,"Polypodiales","South America","sheet","NY00875447","NY00875447_01",NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","03895619","PreservedSpecimen","Plantae","Pteridophyta","Pteridaceae","Cheilanthes","goyazensis","Cheilanthes goyazensis","(Taub.) Domin",NA,NA,NA,NA,"J. Guillen","1997","01","22","Bolivia","Santa Cruz","José Miguel de Velasco","Camino hacia las Mechitas, a 5 Km. del aseradero Cerro Pelao sobre el cerro","-61.4978","-14.5403",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4181663' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"228",NA,NA,"500",NA,"Polypodiales","South America","sheet","NY03895619","NY03895619_01",NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","03895620","PreservedSpecimen","Plantae","Pteridophyta","Pteridaceae","Cheilanthes","goyazensis","Cheilanthes goyazensis","(Taub.) Domin",NA,NA,NA,NA,"L. Arroyo P.","1991","07","23","Bolivia","Santa Cruz","Chiquitos","Loc. Fisuras de paredes de rocas en la vertiente N de la sierra de San José de Chiquitos",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4181664' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"21A",NA,NA,"380",NA,"Polypodiales","South America","sheet","NY03895620",NA,NA,NA,NA
"12","2021-04-05 09:59:20-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","07938","S","Plantae","Tracheophyta","Pteridaceae","Cheilanthes","goyazensis","Cheilanthes goyazensis","(Taubert) Domin","Andrade, R.M.C.",NA,NA,NA,"M.R. Pietrobom-Silva","1992","12","18","Brasil","Goiás","Goiás","Serra Dourada","-50.1403007507324","-15.9343996047974","63502","GEOGRAFIA: região com afloramentos rochosos, cerrado e mata ciliar;","auto","585-B",NA,NA,NA,NA,"Polypodiales","América do Sul",NA,NA,NA,"Polypodiopsida",NA,NA
