"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:36:36-03","E","E","202933","PreservedSpecimen","Plantae","Bixaceae","Cochlospermum","regium","Cochlospermum regium","Farias, R.; De Carvalho, A.M.; De Carvalho, J.A.; De Carvalho, V.M.; Milhomens Fonseca, L.C.; Proença, C.; Potzernheim, M.L.; Rosa Cardosa, O.G.","1998","09","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217702","<a href=http://data.rbge.org.uk/herb/E00202933 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02168762","PreservedSpecimen","Plantae","Bixaceae","Cochlospermum","insigne","Cochlospermum insigne","J. A. Ratter","1967","07","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2315124' target='other'> <mi>dwc_moreinfo</mi></a>","NY02168762","Magnoliophyta","Malvales","A.St.-Hil.","R70","Mato Grosso","Nova Xavantina","16.5 km N. of Xavantina on Xavantina-Cachimbo road","-52.3531","-14.6733","NY02168762_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00748793","PreservedSpecimen","Plantae","Bixaceae","Cochlospermum","insigne","Cochlospermum insigne","J. M. Pires","1978","08","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=882052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748793","Magnoliophyta","Malvales","A.St.-Hil.","16492","Mato Grosso",NA,"Sararé, Radambrasil, folha SD 21-YC; ponto 54","-59.72","-15.75","NY00748793_01 NY00748793_02","N. A. Rosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02168761","PreservedSpecimen","Plantae","Bixaceae","Cochlospermum","insigne","Cochlospermum insigne","C. S. Rosário","1978","06","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2315123' target='other'> <mi>dwc_moreinfo</mi></a>","NY02168761","Magnoliophyta","Malvales","A.St.-Hil.","37","Pará","São Félix do Xingu","Ponto 23, folha SC 22 VC.","-51.995","-6.64472","NY02168761_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00748768","PreservedSpecimen","Plantae","Bixaceae","Cochlospermum","insigne","Cochlospermum insigne","J. A. Ratter","1976","09","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=882049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748768","Magnoliophyta","Malvales","A.St.-Hil.","3515","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km. SSW of Brasília TV tower. Just S of the junction of the stream which descends from below the Olho de Agua da Onça & the Córrego Taquara","-47.9294","-15.7797","NY00748768_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2168837","PreservedSpecimen","Plantae","Bixaceae","Cochlospermum","regium","Cochlospermum regium","H. S. Irwin","1966","05","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2315495' target='other'> <mi>dwc_moreinfo</mi></a>","NY02168837","Magnoliophyta","Malvales","(Schrank) Pilg.","15839","Distrito Federal","Brasília","Ca. 30 km N. E. of Brasília","-47.71872","-15.5916","NY02168837_01",NA,"950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00984633","PreservedSpecimen","Plantae","Bixaceae","Cochlospermum","regium","Cochlospermum regium","S. Tsugaru","1987","07","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984633","Magnoliophyta","Malvales","(Schrank) Pilg.","B-186","Tocantins","Formoso do Araguaia","130 km W from Gurupi","-49.5289","-11.7969","NY00984633_01","O. Kosovsky","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00877883","PreservedSpecimen","Plantae","Bixaceae","Cochlospermum","regium","Cochlospermum regium","H. S. Irwin","1966","06","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944466' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877883","Magnoliophyta","Malvales","(Schrank) Pilg.","17564","Goiás","Piranhas","Ca. 87 km. S. E. of Aragarças. Drainage of the Upper Rio Araguaia.","-51.9","-16.43","NY00877883_01","H. Poppendieck","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00877888","PreservedSpecimen","Plantae","Bixaceae","Cochlospermum","regium","Cochlospermum regium","D. R. Hunt",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877888","Magnoliophyta","Malvales","(Schrank) Pilg.","5526",NA,NA,"Goiás and Mato Grosso.",NA,NA,"NY00877888_01 NY00877888_02","H. Poppendieck","600","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 23:22:00-03","NY","NYBG","00984636","PreservedSpecimen","Plantae","Bixaceae","Cochlospermum","regium","Cochlospermum regium","P. E. Gibbs","1976","09","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984636","Magnoliophyta","Malvales",NA,"2632","Minas Gerais","Frutal","Rumo a Itumbiara, km 76","-48.9406","-20.0247","NY00984636_01","O. Kosovsky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
