"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","eventTime","infraspecificEpithet","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:22-03","UNESC","CRI","1445","PreservedSpecimen","Plantae","Boraginaceae","Cordia","sellowiana","Cordia sellowiana","Cham.","S. M. Silva","R. Negrelle","1992","03","12","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI001799","CRI001799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00858086","PreservedSpecimen","Plantae","Boraginaceae","Cordia","sellowiana","Cordia sellowiana","Cham.",NA,"J. A. Ratter","1968","06","07","Brazil","Mato Grosso",NA,"10 km N of the Base Camp of the Expedition. (Base Camp c. 270 km N of Xavantina. Close to the Xavantina -São Felix road.)","-51.87","-12.9",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858086","NY00858086_01","Magnoliophyta","Boraginales","R.1684","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00858090","PreservedSpecimen","Plantae","Boraginaceae","Cordia","sellowiana","Cordia sellowiana","Cham.",NA,"G. C. G. Argent","1967","09","15","Brazil","Mato Grosso",NA,"c. 6 km South of Xavantina (transect Gallery).","-52.23","-14.63",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858090","NY00858090_01","Magnoliophyta","Boraginales","6398","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","400918","PreservedSpecimen","Plantae","Boraginaceae","Cordia","sellowiana","Cordia sellowiana","Cham.","N. Laroda","J. C. Lindeman","1967","07","03","Brazil","Rio de Janeiro","Resende","Parque Nacional do Itatiaia. Road to and ca. 15 km from Abrigo Rebouças","-44.4467","-22.4692",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400918","NY00400918_01","Magnoliophyta","Boraginales","5584","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02636960","PreservedSpecimen","Plantae","Boraginaceae","Cordia","sellowiana","Cordia sellowiana","Cham.","M. R. de V. Barbosa","R. Chagas","2012","06","22","Brazil","Sergipe","Capela","Refúgio de Vida Silvestre Mata do Junco: Área de ocorrência do Callicebus coimbrai, primata ameaçado de extinção","-37.05","-10.533333",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3392133' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636960","NY02636960_01","Magnoliophyta","Boraginales","499","South America","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2147880","PreservedSpecimen","Plantae","Boraginaceae","Cordia","sellowiana","Cordia sellowiana","Cham.",NA,"A. H. Gentry","1985","01","05","Brazil","São Paulo","Igaratá","Portal de Igaratá. N from km 13 of Dom Pedro Highway, El Dash property and adjacent forest remnant. Interior foothills of Serra do Mar","-46.03","-23.33",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2297705' target='other'> <mi>dwc_moreinfo</mi></a>","NY02147880","NY02147880_01","Magnoliophyta","Boraginales","49198","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","400921","PreservedSpecimen","Plantae","Boraginaceae","Cordia","sellowiana","Cordia sellowiana","Cham.","N. Laroda","R. Reitz","1957","11","07","Brazil","Santa Catarina","Garuva","Mina Velha, Garuva, S. Francisco do Sul","-48.8547","-26.0269",NA,NA,"20","20","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400921","NY00400921_01","Magnoliophyta","Boraginales","5652","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","486257","PreservedSpecimen","Plantae","Boraginaceae","Cordia","sellowiana","Cordia sellowiana","Cham.","M. Groppo, Jr.","M. Groppo, Jr.","2000","08","20","Brazil","São Paulo","Socorro","Bairro Jaboticabal, ao longo da estrada Socorro-Aguas de Lindóia","-46.52","-22.5903",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486257","NY00486257_01","Magnoliophyta","Boraginales","440","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","448529","PreservedSpecimen","Plantae","Boraginaceae","Cordia","sellowiana","Cordia sellowiana","Cham.","J. A. Kallunki","L. Riedel","1833","11","01","Brazil","São Paulo",NA,"Pr. Mugy",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448529","NY00448529_01","Magnoliophyta","Boraginales","1694","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1738006","PreservedSpecimen","Plantae","Boraginaceae","Cordia","sellowiana","Cordia sellowiana","Cham.","L.A. Gomes","L.A. Gomes","2012","04","20","Brazil","Sergipe",NA,"Capela. RVS Mata do Junco. Borda da trilha.","-37.0514","-10.5194",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1963802' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738006",NA,"Magnoliophyta","Boraginales","409","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
