"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","stateProvince","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","imagecode","county","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","227586","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","joaquinae","Couepia joaquinae","Prance","S. V. Heald","S. A. Mori","24844","1998","07","05","South America","French Guiana","Saül and vicinity. Sentier Botanique, along plateau and stream just below plateau, ca. 3-4 km from entrance at Eaux Claires along right fork of trail.","-53.2","3.62","300","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=627272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00227586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","348330","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","joaquinae","Couepia joaquinae","Prance","G. T. Prance","S. A. Mori","20782","1989","09","02","South America","French Guiana","Saül. La Fumée West, on ridge just below last slope leading to top of mountain.","-53.2","3.62","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=627271' target='other'> <mi>dwc_moreinfo</mi></a>","NY00348330","Saint-Laurent-du-Maroni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:45:17-03","NBC","NL-BOTANY","U.1203661","PreservedSpecimen","Plantae",NA,"Malpighiales","Chrysobalanaceae","Couepia","joaquinae","Couepia joaquinae","Prance","Prance GT","Mori SA; Gebhards J; Stevens N; Ishikawa N",NA,"1989","09","02","Southern America","French Guiana","Saül, La Fumée West, on ridge just below last slope leading to top of mountain.","-53.2","3.616667",NA,NA,NA,"Non-flooded moist forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1203661 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1203661","Saint-Laurent-du-Maroni","Magnoliopsidae","-53.2","3.616667","U 0182971","NL-U1203661",NA,NA,NA,NA,NA
"4","2021-03-21 19:33:33-03","UFC","EAC","39983","PreservedSpecimen","Plantae","Dicotyledon",NA,"Chrysobalanaceae","Couepia","joaquinae","Couepia joaquinae","Prance",NA,"Beck, H.T.; Pires, M.J.; Silva, N.T.","37","1987","10","10","Southern America","Brasil","Morros do Felipe. Right side of Rio Jari","-51.2893981933594","-0.115000002086163",NA,NA,NA,"Tree nº 199, 35m tall; hard wood; fruits dispersed by falling 10m from trunk. Fruit dry, starchy, yellow, with hard pith. [photo]. Primary forest. Terra firme.","EAC0039983","Amapá",NA,NA,NA,NA,"EAC0039983","Mazagão","195641","auto",NA,NA
"5","2008-05-27 22:02:00-03","MO","MOBOT","3155109","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","joaquinae","Couepia joaquinae","Prance","G.T. Prance","Hans T. Beck","Beck 37","1987","10","10","South America","Brazil","Mun. Mazagão. Morros do Felipe. Right side of Rio Jari. Primary forest. Terra firme.",NA,NA,NA,NA,NA,NA,NA,"Amapá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2008-07-01 03:33:00-03","MO","MOBOT","3467230","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","joaquinae","Couepia joaquinae","Prance","D. Sabatier & J.-F. Molino","D. Sabatier|J.F. Molino","Sabatier 5341","2007","10","26","South America","French Guiana","Massif des Emerillons. Parcelle MEM1. No.inv.: MEM1-282. Forêt primaire.","-53.06666","3.28333","250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-08-31 09:00:46-03","INPA","INPA","169551","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Couepia","joaquinae","Couepia joaquinae","Prance",NA,"Beck, HT","37","1987","10","10","Southern America","Brasil","Rio Jarí, Morros do Felipe. Right side of Rio Jari","-52.375054","-0.89527",NA,NA,NA,NA,"INPA0169551","Amapá",NA,"-52.375054","-0.89527",NA,"INPA0169551 INPA0169551_e INPA0169551_e1","Mazagão",NA,NA,NA,NA
"8","2020-08-31 09:00:46-03","INPA","INPA","168990","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Couepia","joaquinae","Couepia joaquinae","Prance",NA,"Conceição, MCA","177","1989","07",NA,"Southern America","Brasil","Morros do Felipe. Reserva Florestal Felipe","-52.366667","-0.533333","150","150",NA,NA,"INPA0168990","Amapá",NA,"-52.366667","-0.533333",NA,"INPA0168990 INPA0168990_e","Mazagão",NA,NA,NA,NA
"9","2019-07-31 14:32:21-03","CPATSA","HTSA","4139","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","joaquinae","Couepia joaquinae","Prance",NA,"Conceição, M.C.A.","177","1989","01","01",NA,"Brasil","Morros do Felipe. Reserva Florestal Felipe","-51.2893981933594","-0.115000002086163",NA,NA,NA,"Tree nº 840, 29cm diameter. Terra firme forest, on a table-top of. Soil mostly clay Oxisol (Br. Latosol), of pH4.8. Voucher of Phenologica studies of M. J. Pires.",NA,"Amapá",NA,NA,NA,NA,NA,"Mazagão","195641","auto",NA,NA
"10","2020-09-12 05:00:02-03","US","US","3474734","PreservedSpecimen","Plantae",NA,"Rosales","Chrysobalanaceae","Couepia","joaquinae","Couepia joaquinae","Prance","Prance, G. T.","S. A. Mori, J. Gebhards, N. Stevens & N. Ishikawa","20782","1989","9","2","South America - Neotropics","French Guiana","Saül, La Fumée West, on ridge just below last slope leading to top of mountain","-53.2","3.61","300",NA,NA,NA,"US00872949",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA
