"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","relatedCatalogItem","dayIdentified","coordinatePrecision","geoFlag","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","452084","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","K. Brandao","G. G. Hatschbach","60679","1994","06","04","South America","Brazil","Mato Grosso do Sul","Aquidauana","Piraputaga","-55.7869","-20.4711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452084","NY00452084_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","452085","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","T. J. Killeen","R. C. Quevedo S.","882","1993","07","17","South America","Bolivia","Santa Cruz","José Miguel de Velasco","Parque Nacional Noel Kempff M., Campamento Piso Firme.","-61.3672","-15.3178","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452085",NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","452081","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","G. P. Lewis","S. A. Mori","11080","1978","11","17","South America","Brazil","Bahia","Maracás","Rodavia BA-026, a 6 km. a SW de Maracás.","-40.4306","-13.4411","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452081","NY00452081_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","452087","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","K. Brandao","H. S. Irwin","16741","1966","06","07","South America","Brazil","Mato Grosso","Nova Xavantina","Drainage of the upper Rio Araguaia, ca. 2 klm. NE of Xavantina","-52.3531","-14.6733","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86396' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452087","NY00452087_01","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","452080","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","V. E. Rudd","S. A. Mori","9931","1978","04","26","South America","Brazil","Bahia","Maracás","Rodavia BA-026, a 6 km. a SW de Maracás.","-40.4306","-13.4411","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452080","NY00452080_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","452086","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","K. Brandao","H. S. Irwin","6918","1964","10","15","South America","Brazil","Mato Grosso",NA,"Ca. 45 km. N of Barra do Garças on road to Xavantina","-52.25","-15.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452086","NY00452086_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","452082","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","M. P. M. de Lima","D. F. Pereira","130","1992","03","05","South America","Brazil","São Paulo","Moji-Guaçu","Martinho Prado, Fazenda Campininha, Mata da Figueira",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452082","NY00452082_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","452083","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","K. Brandao","H. S. Irwin","16115","1966","05","27","South America","Brazil","Mato Grosso","Ribeirão Cascalheira","Serra do Roncador. Rio Turvo, ca. 210 km. N of Xavantina","-51.8242","-12.9419","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452083","NY00452083_01","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:41:12-03","EAO","IAN","130185","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","Rudd, VE","Irwin, HS; Souza, R","16115","1966","05","27","Southern America","Brasil","Mato Grosso",NA,"Serra do Roncador, disturbed cerrado and gallery margin, Rio Turvo, ca. 210 km N. of Xavantina.",NA,NA,NA,"Erect herb ca. 2m tall. Corolla yellow, veined violet. Fruit green.","IAN130185",NA,"500","500","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:41:12-03","EAO","IAN","130250","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","Rudd, VE","Irwin, HS; Souza, R","16741","1966","06","07","Southern America","Brasil","Mato Grosso",NA,"Drainage of the upper Rio Araguaia, occasional, cerrado, soil cascalho, ca. 2km N.E. of Xavantina.",NA,NA,NA,"Slender few- branched herb ca. 2m tall. Corolla yellow, the standard brown-violet at base.","IAN130250",NA,NA,NA,"1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
