"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02714788","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","emarginata","Cupania emarginata","Cambess.","R. Perdiz","J. G. Jardim","239","1993","07","29","South America","Brazil","Bahia","Ilhéus","5 a 6 km SW de Olivença, na estrada que liga Olivença ao povodao do Maruim","-39.04","-14.78","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687517' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714788","NY02714788_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","447913","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","emarginata","Cupania emarginata","Cambess.","T. D. Pennington","G. Eiten","7071","1966","04","17","South America","Brazil","Rio de Janeiro","Mangaratiba","On the beach, Praia do Saí, at NW corner of Sepitiba Bay, at point where beach meets mountain that forms the point, Ponta do Saí, opposite the small island, Ilha do Saí. At sea level.","-44.0083","-22.95","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414842' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447913","NY00447913_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","447909","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","emarginata","Cupania emarginata","Cambess.","G. V. Somner","G. V. Somner","167","1982","05","10","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Pedra de Itaúna.","-43.421486","-23.003937","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447909","NY00447909_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","447925","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","emarginata","Cupania emarginata","Cambess.","G. Guarim Neto","J. B. E. Pohl","5554",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","(D. no. 679) (Mikan 5554 is the same collection) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414831' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447925","NY00447925_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01195780","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","emarginata","Cupania emarginata","Cambess.","R. de O. Perdiz","A. M. Amorim","6474","2006","10","13","South America","Brazil","Bahia","Porto Seguro","Estrada que liga Eunápolis a Porto Seguro. RPPN Estação Veracruz","-39.2022","-16.4192","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401111' target='other'> <mi>dwc_moreinfo</mi></a>","NY01195780",NA,"50","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","447923","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","emarginata","Cupania emarginata","Cambess.","G. Guarim Neto","J. Lhotsky","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447923","NY00447923_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","447927","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","emarginata","Cupania emarginata","Cambess.","G. Guarim Neto","A. F. M. Glaziou","17496","1889","04","18","South America","Brazil","Rio de Janeiro","Nova Friburgo","Alto Macahé.","-42.5308","-22.2819","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414833' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447927","NY00447927_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","447914","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","emarginata","Cupania emarginata","Cambess.",NA,"A. M. S. da F. Vaz","448","1987","04","30","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Restinga de Grumari.","-43.2075","-22.9028","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447914","NY00447914_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","447921","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","emarginata","Cupania emarginata","Cambess.","P. Acevedo-Rodríguez","L. A. Mattos Silva","1797","1984","10","25","South America","Brazil","Bahia","Cairu","Km 3 da Rodovia Cairu - Nilo Peçanha.","-39.0554416","-13.513266","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447921","NY00447921_01","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","985203","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","emarginata","Cupania emarginata","Cambess.","T. D. Pennington","H. S. Irwin","2734","1959","02","24","South America","Brazil","Minas Gerais","Viçosa","State Agricultural School.","-42.868031","-20.7613428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1078492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985203","NY00985203_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
