"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00940105","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","repens","Cuphea repens","Koehne","A. Lourteig","H. S. Irwin","8817","1965","09","30","South America","Brazil","Distrito Federal","Brasília","Ca. 7 km E of Brasília, near Sobradinho.","-47.9294","-15.7797","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940105","NY00940105_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00940104","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","repens","Cuphea repens","Koehne","S. A. T. Graham","A. F. M. Glaziou","21435","1884","11","06","South America","Brazil","Distrito Federal","Brasília","Rio do Gama, dans les bourbier.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940104","NY00940104_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00940109","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","repens","Cuphea repens","Koehne","S. A. T. Graham","W. W. Thomas","4320","1985","10","08","South America","Brazil","Mato Grosso","Luciara","Lake 2km NW of Luciara.","-50.73","-11.18",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940109","NY00940109_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00940107","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","repens","Cuphea repens","Koehne","S. A. T. Graham","J. A. Ratter","R.1965","1968","06","25","South America","Brazil","Mato Grosso",NA,"8 Km NE of the Base Camp of the Expedition. C. 270 Km N of Xavantina.","-51.87","-12.9",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992103' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940107","NY00940107_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00940110","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","repens","Cuphea repens","Koehne","S. A. T. Graham","P. W. Richards","6500","1968","07","24","South America","Brazil","Mato Grosso","São Félix do Araguaia","Fazenda Patizal, Sao Felix","-50.6692","-11.6172",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992122' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940110","NY00940110_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00940106","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","repens","Cuphea repens","Koehne","A. Lourteig","H. S. Irwin","17004","1966","06","12","South America","Brazil","Mato Grosso",NA,"Ca. 30 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.32","-14.92","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992102' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940106","NY00940106_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00940108","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","repens","Cuphea repens","Koehne","A. Lourteig","C. A. Cid Ferreira","6078","1985","09","17","South America","Brazil","Mato Grosso","Nobres","BR 163, Rod. Cuiaba-Sinop a 145 km ao S de Sinop. Prox. a Lucas do Rio Verde","-55.92","-13.08",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992117' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940108","NY00940108_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:43:20-03","EAO","IAN","145075","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lythraceae","Cuphea","repens","Cuphea repens","Koehne","Lourteig, A","Ratter, JA; Santos, RR dos","1965","1968","06","25","Southern America","Brasil","Mato Grosso","Xavantina","8km NE of the Base Camp of the Expedition (Base Camp, c. 270km N of Xavantina).","-51.866667","-12.9",NA,NA,NA,"Growing in a small dried-up late. Corollas pink.","IAN145075",NA,"1978","03","-51.866667","-12.9",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:43:20-03","EAO","IAN","12668","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lythraceae","Cuphea","repens","Cuphea repens","Koehne","Lourteig, A","Haught, O","2706","1939","03","27",NA,"Colômbia",NA,NA,"Near Orocuse.",NA,NA,"140","140",NA,"Marah herb of beneath-like habit. Bright red-purple flowers, rather dark foliage Abunadnt in area flooded during rainy season.","IAN012668","IAN012668 IAN012668_e IAN012668_e1","1978","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:43:20-03","EAO","IAN","132800","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lythraceae","Cuphea","repens","Cuphea repens","Koehne",NA,"Glaziou, AFM","21435","1884","11","06","Southern America","Brasil","Goiás",NA,"Rio da Tamadans les boulero.",NA,NA,NA,NA,NA,NA,"IAN132800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
