"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","occurrenceRemarks","barcode","imagecode","individualCount","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","coordinatePrecision","geoFlag","phylum"
"1","2020-12-21 16:30:15-03","MBM","MBM","39833","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","digitata","Hyptis digitata","Harley","Harley, R.M.","1984","04","10","HOLOTYPE","Hatschbach, G.; Kummrow, R.; Kummrow, R.","37241","1975","09","28","Southern America","Brazil","Goiás","Alto Paraíso","Chapada dos Veadeiros, Chapada dos Veadeiros","Subarbusto 70 cm, flor lilás, campo; Subarbusto 70cm, flor lilás.; Campo.","MBM039833","MBM039833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-12-01 13:56:00-02","MO","MOBOT","454756","PreservedSpecimen","Plantae","Lamiaceae","Cyanocephalus","digitatus","Cyanocephalus digitatus","(Harley) Harley & J.F.B. Pastore","R.Liesner (MO)",NA,NA,NA,"Holotype","Gert G. Hatschbach","Hatschbach 37241","1975","9","28","South America","Brazil","Goiás",NA,"Chapada dos Veadeiros (Mpio. Alto Paraiso).",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-19 11:19:09-03","UFG","UFG","30768","S","Plantae","Lamiaceae","Hyptis","digitata","Hyptis digitata","Harley","Harley, R.M.","2007","11","26",NA,"Ferreira, H.D.","4601","2007","04","22",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"Erva ca. de 70cm de altura, estéril, exala um odor cheiroso.","UFG0030768","UFG0030768",NA,"-47.593611","-14.323611","-47.593611","-14.323611","1168","1168",NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","3146103","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","digitata","Hyptis digitata","Harley",NA,NA,NA,NA,"Isotype","G. Hatschbach & R. Kummrow","37241","1975","9","28","South America - Neotropics","Brazil","Goiás","Alto Paraiso","Chapada dos Veadeiros.",NA,"US00074297","US00074297_01","1",NA,NA,NA,NA,NA,NA,"Dicotyledonae","Lamiales",NA,NA,NA
"5","2019-11-13 11:20:36-03","USP","SPF","49699","PreservedSpecimen","Plantae","Lamiaceae","Cyanocephalus","digitatus","Cyanocephalus digitatus","(Harley) Harley & J.F.B.Pastore","Silva-Luz, CL","2015",NA,NA,NA,"Pirani, JR","1863","1987","02","08",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros",NA,"SPF00049699","SPF00049699",NA,"-47.45","-13.966667","-47.45","-13.966667",NA,NA,NA,NA,NA,NA,NA
"6","2020-01-14 12:01:42-03","USP","SPF","231184","PreservedSpecimen","Plantae","Lamiaceae","Cyanocephalus","digitatus","Cyanocephalus digitatus","(Harley) Harley & J.F.B.Pastore","Antar, GM","2017","02",NA,NA,"Romaniuc Neto, S","352","1985","07","26",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros",NA,"SPF00231184",NA,NA,"-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,NA,NA,"44724","auto",NA
"7","2019-10-07 09:16:15-03","UEFS","HUEFS","117595","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","digitata","Hyptis digitata","Harley",NA,NA,NA,NA,NA,"Pastore, J.F.B.","1791","2007","03","12",NA,"Brasil","Goiás","São João d'Aliança","Mais ou menos 3Km de Alto Paraíso (sul).","Campo limpo. Solo hidromófico. Plano.","HUEFS0117595","HUEFS0117595",NA,"-47.511389","-14.412778","47W30'41''","14S24'46''","1045","1045","Asteranae","Lamiales",NA,NA,"Angiospermae"
"8","2019-10-07 09:16:15-03","UEFS","HUEFS","81901","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","digitata","Hyptis digitata","Harley","J.F.Pastore & R.M.Harley","2007","04",NA,NA,"Romaniuc Neto, S.","352","1985","07","26",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros.",NA,"HUEFS0081901","HUEFS0081901",NA,"-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"Asteranae","Lamiales","44724","auto","Angiospermae"
"9","2014-10-09 13:58:19-03","UHH","HBG","518608","S","Plantae","Labiatae/Lamiaceae","Hyptis","digitata","Hyptis digitata","Harley",NA,NA,NA,NA,"Isotype","Hatschbach, G. & Kummrow, R.","37241","1975","09","28","South America","Brazil",NA,NA,"Chapada dos Veadeiros (mun. Alto Paraiso), Goiás, campo",NA,"HBG518608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-28 09:18:17-03","IBt","SP","205462","S","Plantae","Lamiaceae","Cyanocephalus","digitatus","Cyanocephalus digitatus","(Harley) Harley & J.F.B.Pastore","Buchoski, MG","2019","06",NA,NA,"Romaniuc Neto, S; Sajo, MG","352","1985","07","26",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros",NA,NA,NA,NA,"-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,NA,NA,"44724","auto",NA
