"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","infraspecificEpithet","typeStatus","individualCount","fieldNumber","sex"
"1","2020-09-23 10:38:32-03","E","E","151902","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","articulatus","Cyperus articulatus","Smith, Herbert H.","233","W. Tropical South America","CO","herbarium specimen of unspecif","BGBASE:160053","<a href=http://data.rbge.org.uk/herb/E00151902 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:32-03","E","E","151910","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","articulatus","Cyperus articulatus","Mathews, Andrew",NA,"W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:160044","<a href=http://data.rbge.org.uk/herb/E00151910 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151910","1905","01","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:32-03","E","E","151922","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","articulatus","Cyperus articulatus",NA,"1057","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:160030","<a href=http://data.rbge.org.uk/herb/E00151922 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:32-03","E","E","151909","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","articulatus","Cyperus articulatus","Mathews, Andrew","1057","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:160045","<a href=http://data.rbge.org.uk/herb/E00151909 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:38:32-03","E","E","153161","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","articulatus","Cyperus articulatus","Harley, R.M.","16503","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160276","<a href=http://data.rbge.org.uk/herb/E00153161 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153161","1974","02","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:38:32-03","E","E","153160","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","articulatus","Cyperus articulatus","Morong, Thomas","364","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:160277","<a href=http://data.rbge.org.uk/herb/E00153160 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3908560","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","articulatus","Cyperus articulatus","V. Demuner","4856","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4363929' target='other'> <mi>dwc_moreinfo</mi></a>","NY03908560","2007","12","21","Magnoliophyta","Poales","L.","Espírito Santo","Aguia Branca","Santa Luzia, prop. José Rochinha.","-40.6928","-18.98439","200","300","NY03908560_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","602425","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","articulatus","Cyperus articulatus","A. M. V. de Carvalho","591","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602425","1981","02","19","Magnoliophyta","Poales","L.","Bahia","Feira de Santana","Rodovia Feira-Rio de Janeiro. Km 8. Margem do rio Jacuípe.","-39.0014327","-12.2854952",NA,NA,"NY00602425_01","T. M. Koyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00918985","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","articulatus","Cyperus articulatus","W. L. Balée","961","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918985","1985","05","15","Magnoliophyta","Poales","L.","Maranhão","Monção","Basin of the Rio Turiaçu; Ka'apor Indian Reserve; within 7 km of the settlement of Xoani. App. 60 km S of Rio Gurupi.","-45.2508","-3.4919",NA,NA,"NY00918985_01","G. C. Tucker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","602419","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","articulatus","Cyperus articulatus","R. M. Harley","16207","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247919' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602419","1974","02","19","Magnoliophyta","Poales","L.","Bahia",NA,"Serra de Itiuba about 6 km. E. of Itiuba.","-39.8","-10.68","500","500","NY00602419_01","T. M. Koyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
