"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01081562","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T.Koyama","F. A. Vitta","E. Carvalho","s.n.","2004","10","19","South America","Brazil","São Paulo","Itatinga","Margem do Rbeirão da Quinta.","-48.61","-23.1003","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237943' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081562","NY01081562_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","51353","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T.Koyama",NA,"T. M. Koyama","13748","1970","02","22","South America","Brazil","Paraná",NA,"By road near Paranaven",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=483641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00051353","NY00051353_01","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","51354","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T.Koyama",NA,"T. M. Koyama","13748","1970","02","22","South America","Brazil","Paraná",NA,"By road near Paranaven",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=483642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00051354","NY00051354_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 11:08:00-03","UNESP-IBB","BOTU","33734","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Gissi, D.S.","Gissi, D.S.","456","2019","05","07",NA,"Brasil","São Paulo","Botucatu","Fazenda Terras de Duaty rod. Prof. João Hipólito Martins, km 13, ao lado do rio Pardo","-48.495556","-22.971111",NA,NA,"BOTU033734",NA,NA,"2019","05","48°29'44w","22°58'16s",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-24 17:10:36-03","UTFPR","DVPR","6577","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Trevisan, R","Buttura, E","434","1980","02","11",NA,"Brasil","Paraná","Foz do Iguaçú","Rod. BR-277, Km 1","-54.3425","-25.3001",NA,"Porte ereto 4-5m","DVPR006577",NA,NA,"2018","12","-54.3425","-25.3001","12",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-10-27 11:22:07-03","PUCPR","HUCP","25426","S","Plantae","Monocotiledonea",NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees.) Kunth","Cervi, AC","Bona, C; Alves, SCS; Padial, AA","556","2011","10","06",NA,"Brasil","Parana","Curitiba","Reservatório Passauna","-49.2731018066406","-25.4277992248535",NA,"Hábito de vida emergente. Presente em bancos de marófitas.","HUCP00025426","HUCP00025426",NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"7","2020-10-27 11:22:07-03","PUCPR","HUCP","25429","S","Plantae","Monocotiledonea",NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees.) Kunth","Cervi, AC","Bona, C; Cervi, AC","472","2009","11","24",NA,"Brasil","Parana","Pinhais","Reservatório Iraí","-49.1925010681152","-25.4447002410889",NA,"Presente em banco de macrófitas. Hábitos de vida flutuante fixa.","HUCP00025429","HUCP00025429",NA,NA,NA,NA,NA,NA,"10418","auto",NA,NA,NA,NA,NA,NA
"8","2020-10-27 11:22:07-03","PUCPR","HUCP","25425","S","Plantae","Monocotiledonea",NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees.) Kunth","Alves, SCS","Alves, SCS; Bona, C; Padial, AA","129","2012","06","27",NA,"Brasil","Parana","Pinhais","Reservatório Iraí","-49.1925010681152","-25.4447002410889",NA,"Hábito de vida emergente. Presente em bancos de marófitas.","HUCP00025425","HUCP00025425",NA,NA,NA,NA,NA,NA,"10418","auto",NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:26:29-03","PUCPR","HUCP","25479","S","Plantae","Monocotiledonea",NA,"Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T.Koyama","Cervi, AC","Alves-da-Silva, SC; Bona, C; Padial. A.A.","56","2012","01","31",NA,"Brasil","Parana","Curitiba","Reservatório Passauna","-49.2731018066406","-25.4277992248535",NA,"Presente em bancos de macrófitas. Hábito de vida Emergente.","HUCP00025479","HUCP00025479",NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:27:49-03","UFBA","ALCB","68914","PreservedSpecimen","Plantae","Monocotyledon",NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Strong, MT","Cruz, JM; Cordeiro, J","22","1998","11","25","Southern America","Brasil","Paraná","Pontal do Paraná","Balneário Shangri-lá","-48.5","-25.666667",NA,"em touceiras.; locais úmidos da restinga arbustiva.","ALCB015835","ALCB015835",NA,"2003",NA,"-48.5","-25.666667",NA,NA,NA,NA,NA,NA,NA,NA,NA
