"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:16-03","UNESC","CRI","10221","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","ecastaphyllum","Dalbergia ecastaphyllum","(L.) Taub.","M. G. Caxambu","2012","06","05","M.G. Caxambu; et al.","4168","2012","04","30","Brasil","São Paulo","Ilha Comprida","Arredores.","-47.896389","-25.043056","47º53'47''W","25º2'35''S","5","5","Formação Pioneira com Influência Marinha (restinga) Habito: arbusto heliófito","CRI002813","CRI002813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:32-03","UNESC","CRI","4914","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","ecastaphyllum","Dalbergia ecastaphyllum","(L.) Taub.","Daniel B. Falkenberg",NA,NA,NA,"V. Citadini-Zanette; R. dos Santos",NA,"1996","01","31","Brasil","Santa Catarina","Governador Celso Ramos",NA,"-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24","Habitat: restinga, próximo a praia","CRI002815","CRI002815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:34-03","E","E","305254","PreservedSpecimen","Plantae","Leguminosae","Dalbergia","ecastaphyllum","Dalbergia ecastaphyllum",NA,NA,NA,NA,NA,"Cordeiro, J.; Cruz, J.M.","1364","1996","11","13","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00305254 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00305254",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:311587",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-01 11:46:00-02","NY","NYBG","821873","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","ecastaphyllum","Dalbergia ecastaphyllum",NA,"W. Hoehne",NA,NA,NA,"J. G. Bartolomeu","s.n.","1953","12","23","Brazil","São Paulo","Mongaguá",NA,"-46.6197","-24.08",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=906729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821873","NY00821873_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","586135","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","ecastaphyllum","Dalbergia ecastaphyllum","(L.) Taub.","A. E. Burkart",NA,NA,NA,"R. Reitz","5095","1952","12","23","Brazil","Santa Catarina",NA,"Rio Tavares, Ilha Santa Catarina",NA,NA,NA,NA,"1","1","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628322' target='other'> <mi>dwc_moreinfo</mi></a>","NY00586135","NY00586135_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 05:27:00-03","NY","NYBG","01304140","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","ecastaphyllum","Dalbergia ecastaphyllum",NA,NA,NA,NA,NA,"B. A. Krukoff","4807","1933","06","14","Brazil","Amazonas",NA,"Near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1642895' target='other'> <mi>dwc_moreinfo</mi></a>","NY01304140","NY01304140_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"7","2016-10-28 15:33:00-02","NY","NYBG","00983986","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","ecastaphyllum","Dalbergia ecastaphyllum",NA,NA,NA,NA,NA,"L. Riedel","s.n.","1836","03",NA,"Brazil",NA,NA,"Cap-fris",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1118839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983986","NY00983986_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","586107","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","ecastaphyllum","Dalbergia ecastaphyllum","(L.) Taub.","A. M. V. de Carvalho",NA,NA,NA,"A. M. Amorim","2559","1998","09","14","Brazil","Bahia","Porto Seguro","Parque Nacional de Monte Pascoal. Coletas realizadas nos cordoes próximo à Reserva Indígena de Barra Velha","-39.1544151","-16.8618839",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628305' target='other'> <mi>dwc_moreinfo</mi></a>","NY00586107","NY00586107_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 11:28:00-02","NY","NYBG","586124","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","ecastaphyllum","Dalbergia ecastaphyllum",NA,"F. C. Hoehne",NA,NA,NA,"F. C. Hoehne","s.n.","1918","04","26","Brazil","São Paulo","Iguape","Ilha Comprida","-47.5497","-24.7003",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00586124","NY00586124_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","586112","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","ecastaphyllum","Dalbergia ecastaphyllum","(L.) Taub.",NA,NA,NA,NA,"B. D. Sucre","1789","1967","11","02","Brazil","Rio de Janeiro",NA,"Baía de Sepetiba, Ilha Siri Pestana","-43.916455","-22.978385",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628334' target='other'> <mi>dwc_moreinfo</mi></a>","NY00586112","NY00586112_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"11","2016-11-01 11:28:00-02","NY","NYBG","586120","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","ecastaphyllum","Dalbergia ecastaphyllum",NA,NA,NA,NA,NA,"W. Hoehne",NA,"1955","02","28","Brazil","São Paulo","Sao Vicente",NA,"-46.3897","-23.96",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628336' target='other'> <mi>dwc_moreinfo</mi></a>","NY00586120","NY00586120_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01304139","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","ecastaphyllum","Dalbergia ecastaphyllum","(L.) Taub.",NA,NA,NA,NA,"B. A. Krukoff","6271","1934","09","14","Brazil","Amazonas","Humaitá","Basin of Rio Madeira; near Tres Casas.","-62.6839542","-6.9876421",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1642875' target='other'> <mi>dwc_moreinfo</mi></a>","NY01304139","NY01304139_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
