"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","county","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00248099","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","R. S. Couto","not a type","A. L. Bernardi","1250","1954","05","06","South America","Venezuela","Mérida","Monte Zerpa; páramo de los Conejos.","3000","3200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=29367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00248099","NY00248099_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:00:12-03","NBC","NL-BOTANY","L.1470978","PreservedSpecimen","Plantae",NA,"Dioscoreales","Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.",NA,NA,"Smith LB; Klein RM",NA,"1957","02","27","Southern America","Brazil",NA,"Brazil. Santa Catarina. Mun. Capinzal: Ruderal and mato branco( without Araucaria), southwest of Capinzal. on the east bank of the Rio do Peixo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1470978 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1470978","NL-L1470978","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:00:12-03","NBC","NL-BOTANY","U 0018499","PreservedSpecimen","Plantae",NA,"Dioscoreales","Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.",NA,NA,"Lanjouw J",NA,"1933","09","01","Southern America","Surinam","Saramacca",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200018499 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0018499",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:00:12-03","NBC","NL-BOTANY","U.1291516","PreservedSpecimen","Plantae",NA,"Dioscoreales","Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.",NA,NA,"Philcox D; Fereira A",NA,"1968","01","24","Southern America","Brazil",NA,"Central Brazilian Plateau. State of Mato Grosso. Km. 241, Xavantina-Cachiimbo road. Campo -cerrado border.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1291516 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1291516","NL-U1291516","Magnoliopsidae","-51.766667","-12.816667","-51.766667","-12.816667",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:00:12-03","NBC","NL-BOTANY","U.1291517","PreservedSpecimen","Plantae",NA,"Dioscoreales","Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.",NA,NA,"Regnell AF",NA,"1865","01","28","Southern America","Brazil",NA,"Brasilia, prov Minas Geraes Caldeno.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1291517 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1291517","NL-U1291517","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:00:12-03","NBC","NL-BOTANY","U.1291518","PreservedSpecimen","Plantae",NA,"Dioscoreales","Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.",NA,NA,"Philcox D; Fereira A",NA,NA,NA,NA,"Southern America","Brazil",NA,"Central Brazilian Plateau. State of Mato Grosso. 4.5 km S. of Xavantina. cerrado.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1291518 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1291518","NL-U1291518","Magnoliopsidae","-52.233333","-14.633333","-52.233333","-14.633333",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:37:38-03","MN","R","50859","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.",NA,NA,"Armond, A.F.N.",NA,"1886",NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:37:38-03","MN","R","50861","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.",NA,NA,"Armond, A.F.N.",NA,"1886",NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:37:38-03","MN","R","50862","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.",NA,NA,"Regnell, A.F.","III -","1865","01","28",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:37:38-03","MN","R","130406","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Smith, L.B.",NA,"Smith, L.B.; Klein, R.M.",NA,"1957","02","27",NA,"Brasil","Santa Catarina",NA,"500","500",NA,NA,NA,NA,NA,"-51.6119003295898","-27.343599319458",NA,NA,"1957","Capinzal","19949","auto",NA,NA,NA,NA
"11","2021-03-31 13:37:38-03","MN","R","130403","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.",NA,NA,"Smith, L.B.; Reitz, R.",NA,"1956","12","26",NA,"Brasil","Santa Catarina",NA,"900","900",NA,NA,NA,NA,NA,"-52.6183013916016","-27.096399307251",NA,NA,NA,"Chapecó","22671","auto",NA,NA,NA,NA
"12","2021-03-31 13:37:38-03","MN","R","130404","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.",NA,NA,"Smith, L.B.; Reitz, R.",NA,"1956","12","26",NA,"Brasil","Santa Catarina",NA,"900","900",NA,NA,NA,NA,NA,"-52.6183013916016","-27.096399307251",NA,NA,NA,"Chapecó","22671","auto",NA,NA,NA,NA
