"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","279093","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.","type","P. Claussen","1958","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201351' target='other'> <mi>dwc_moreinfo</mi></a>","NY00279093","NY00279093_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:28:53-03","UFRJ","RFA","4217","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.",NA,"P. Occhioni; L. Sucre; Duarte; E.Pereira","1509",NA,"Brasil","Rio de Janeiro",NA,"Trepadeira lactescente, material frutifero","RFA24962",NA,"Fontella","1978","12","14","1958","07","15","Rio de Janeiro","Morro do Archer","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 10:54:42-03","ESALQ","ESA","139458","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cf fontellae","Ditassa cf fontellae","Marquete & C.Valente",NA,"Cornia, M. G. K., Silva, R. F; Nahssen, M. H. C; Fernandes, N. L; Alves, D. M; Souza, V. C; Rodrigues, R. R; Koch, I. Colletta, G.","391.0",NA,"Brasil","Rio de Janeiro",NA,"Flores brancas. Látex branco.","ESA139458",NA,"Koch, I.","2017","06","23",NA,NA,NA,"Rio de Janeiro","Ilha do Governador. Base de Fusileiros Navais. Floresta Ombrófila Densa","-43.2075004577637","-22.9027996063232","57442","auto","-43,160,600","-22,778,867",NA,NA,NA,NA,NA
"4","2020-11-04 10:54:42-03","ESALQ","ESA","140928","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cf fontellae","Ditassa cf fontellae","Marquete & C.Valente",NA,"Cornia, M. G. K.; Silva, R. F; Nahssen, M. H. C; Fernandes, N. L; Alves, D. M; Souza, V. C; Rodrigues, R. R; Koch, I. Colletta, G. D.","391.0",NA,"Brasil","Rio de Janeiro",NA,"Flores brancas. Látex branco.","ESA140928",NA,"Koch, I.","2017","06","23",NA,NA,NA,"Rio de Janeiro","Ilha do Governador. Base de Fusileiros Navais. Floresta Ombrófila Densa","-43.2075004577637","-22.9027996063232","57442","auto","-43,160,600","-22,778,867",NA,NA,NA,NA,NA
"5","2021-01-14 15:20:55-03","MN","R","212186","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.",NA,"Matozinhos, C.N. 501; Monteiro, D.",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"Matozinhos, C.N.","2012","03",NA,"2012","03",NA,"Lima Duarte",NA,"-43.083333","-21.701667",NA,NA,"43°05'W","21°42.10'S","1448","1448",NA,NA,NA
"6","2021-01-14 15:20:55-03","MN","R","95202","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.",NA,"Sampaio, A.J.; Peckolt, O.C.",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Marquete, N.F.S.","2003",NA,NA,"1934","01","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:20:55-03","MN","R","26594","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.",NA,"Brade, A.C.","10627",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Fontella, J.P.","1970","09","05","1931","03","01","Rio de Janeiro","Alto da Boa Vista","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:20:55-03","MN","R","26595","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.",NA,"Brade, A.C.","10601",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Marquete, N.F.S.","1970",NA,NA,"1931","02","14","Rio de Janeiro","Tijuca","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-06-30 18:31:49-03","UFJF","CESJ","53768","PreservedSpecimen","Plantae","Angiosperma",NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.",NA,"L. Monguilhott; et al.","128","América do Sul","Brasil","Minas Gerais",NA,"Liana, ramos verdes, folhas levemente discolores, textura membranácea.","CESJ053768","CESJ053768","L. Monguilhott","2005","12",NA,"2005","07","13","Lima Duarte","Parque Estadual do Ibitipoca, Na borda da Mata Grande","-43.793098449707","-21.8425006866455","30417","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:30:21-03","UFJF","CESJ","53827","PreservedSpecimen","Plantae","Angiosperma",NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.",NA,"J. Almeida","1262","América do Sul","Brasil","Rio de Janeiro",NA,"Trepadeira volúvel, cálice verde, flores brancas.","CESJ053827","CESJ053827","N. Marquete; M.C. Valente",NA,NA,NA,"1972","02","23","Rio de Janeiro","estrada Alto da Boa Vista ao Corcovado, Km 5.","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA
