"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","barcode","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","imagecode","minimumElevationInMeters","maximumElevationInMeters","continentOcean","typeStatus","fieldNumber","preparationType"
"1","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9117","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","henschenii","Epidendrum henschenii","Barb. Rodr.","Pabst, G.","1973","03","20","Amaral Jr., A.","1441","1973","02","13","Brasil","São Paulo","Botucatu","Distrito de Rubião Júnior, sítio do Sr. A. Delala, a 1 km","9999","9999","BOTU009117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","28386","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","henschenii","Epidendrum henschenii","Barb. Rodr.","Marcusso, G.M.","2012","05","23","Marcusso, G.M.","58A","2012","03","20","Brasil","São Paulo","Botucatu","Escola do Meio Ambiente","9999","9999","BOTU028386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9015","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","henschenii","Epidendrum henschenii","Barb. Rodr.","Pabst, G.","1976","09","02","Amaral Jr., A.","1379","1973","01","16","Brasil","São Paulo","Botucatu","Fazenda Tamura","9999","9999","BOTU009015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","28387","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","henschenii","Epidendrum henschenii","Barb. Rodr.","Marcusso, G.M.","2012","05","23","Marcusso, G.M.","58B","2012","03","20","Brasil","São Paulo","Botucatu","Escola do Meio Ambiente","9999","9999","BOTU028387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:31:47-03","UFRJ","RFA","22239","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","henschenii","Epidendrum henschenii","Barb.Rodr.",NA,NA,NA,NA,"C. Pereira",NA,"1988","09","13","Brasil","Rio de Janeiro","Maricá","Lagoa - canal",NA,NA,"RFA31641","-42.8185997009277","-22.9193992614746","20726","Flor verde. Flor e frutos. Terrestre e epífita","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:40:58-03","MN","R","220809","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","henschenii","Epidendrum henschenii","Barb. Rodr.",NA,NA,NA,NA,"Emmerich, M.; Dressler, R.L.","2813","1966","02","21","Brasil","São Paulo","Angatuba",NA,NA,NA,NA,"-48.4099998474121","-23.4899997711182","29114",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:40:58-03","MN","R","203462","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","henschenii","Epidendrum henschenii","Barb. Rodr.","Stancik, J.F.","2004","02",NA,"Emmerich, M.; Dressler, R.L.","2840","1966","02","23","Brasil","São Paulo","Ubatuba",NA,NA,NA,NA,"-45.0699996948242","-23.4300003051758","34265",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-07-05 11:14:18-03","FFCLRP","LBMBP","247","S","Plantae","Orchidaceae","Epidendrum","henschenii","Epidendrum henschenii","Barb. Rodr.","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,NA,"Brasil","São Paulo","Jundiaí",NA,"46°53'W","23°11'S",NA,"-46.883333","-23.183333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:00:42-03","UNICAMP","UEC","110408","S","Plantae","Orchidaceae","Epidendrum","henschenii","Epidendrum henschenii","Barb.Rodr.","Pansarin, ER","2006","07",NA,"Pansarin, ER","561","1999","11","01","Brazil","São Paulo","Jundiaí","Serra do Japi, Sentido Eloy Chaves, próximo a represa do DAE.",NA,NA,"UEC064176","-46.8800010681152","-23.1800003051758","17840",NA,"auto","Liliopsida","UEC064176",NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:00:42-03","UNICAMP","UEC","129652","S","Plantae","Orchidaceae","Epidendrum","henschenii","Epidendrum henschenii","Barb.Rodr.","Pansarin, ER","2006","07",NA,"Pansarin, ER; Mickeliunas, L","999","2003","02","26","Brazil","São Paulo","Jundiaí","Serra do Japi, Sentido Eloy Chaves, próximo a represa do DAE.",NA,NA,"UEC064173","-46.8800010681152","-23.1800003051758","17840",NA,"auto","Liliopsida","UEC064173",NA,NA,NA,NA,NA,NA
