"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","occurrenceRemarks","typeStatus","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","locality","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:12-03","UNESC","CRI","7891","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","Vanilde Citadini- Zanette","2008","04","20","Jean Gabriel Cemin","2007","09","28","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","CRI008753","CRI008753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:58-03","UNESC","CRI","11900","PreservedSpecimen","Plantae","Rhizophoraceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","Jean Gabriel Cemin; Marciel Fernandes & Vanilde Citadini-Zanette","2017","10","05","Jean Gabriel Cemin; Marciel Fernandes & Vanilde Citadini-Zanette","2007","10","05","Brasil","Santa Catarina","Turvo","-49.685","-28.915556","49º41'6''W","28º54'56''S","CRI010528",NA,"Com botões florais. Habito: Arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:03-03","E","E","346297","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","exaltatum","Erythroxylum exaltatum",NA,NA,NA,NA,NA,"Riedel, Ludwig",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,"E00346297",NA,"<a href=http://data.rbge.org.uk/herb/E00346297 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","isotype","884","E. Tropical South America","herbarium specimen of unspecif","BGBASE:383728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","387089","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"R. M. Klein","1955","03","17","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"NY00387089","NY00387089_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393798' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1214","South America","sheet",NA,"Magnoliophyta","Malpighiales","Morro da Fazenda, Itajaí","150","150",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","387095","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"J. P. P. Carauta","1985","10","12","Brazil","Rio de Janeiro","Volta Redonda","-44.089988","-22.551411",NA,NA,"NY00387095","NY00387095_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393805' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"5098","South America","sheet",NA,"Magnoliophyta","Malpighiales","Floresta da Cicuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","387120","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.",NA,NA,NA,NA,"G. Martinelli","1984","11","21","Brazil","Rio de Janeiro","Magé","-43.0406","-22.6531",NA,NA,"NY00387120","NY00387120_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393812' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"10367","South America","sheet",NA,"Magnoliophyta","Malpighiales","IIIº Distrito, Paraiso, Centro de Primatologia do RJ, matas secundárias próximo a represa da CEDAE","150","150",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","387111","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"R. Reitz","1954","03","03","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"NY00387111","NY00387111_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393790' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1685","South America","sheet",NA,"Magnoliophyta","Malpighiales","Morro da Fazenda, Itajaí","150","150",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","387103","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"B. D. Sucre","1969","09","30","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,"NY00387103","NY00387103_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393779' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"6001","South America","sheet",NA,"Magnoliophyta","Malpighiales","Restinga de Jacarepagua, restinga arbustiva situada no trencho da estrada BR 6 - Jacarepagua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","387105","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"S. A. Mori","1981","05","12","Brazil","Bahia","Una","-39.1202492","-15.1148921",NA,NA,"NY00387105","NY00387105_01","voucher for ecological study of forest diversity <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393786' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"13947","South America","sheet",NA,"Magnoliophyta","Malpighiales","Maruim, Border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença to Buerarema. Southern Bahian Wet Forest","100","100",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02636637","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. Araújo",NA,NA,NA,"P. Fiaschi","2004","03","18","Brazil","Bahia","Uruçuca","-39.115","-14.4997",NA,NA,"NY02636637","NY02636637_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475269' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2053","South America","sheet",NA,"Magnoliophyta","Malpighiales","Estrada de Serra Grande para Uruçuca. Area do inventário do plano de manejo","380","380",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","387094","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"G. G. Hatschbach","1986","11","06","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"NY00387094","NY00387094_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393804' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"50700","South America","sheet",NA,"Magnoliophyta","Malpighiales","Alto Bananal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","387123","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"B. D. Sucre","1968","11","02","Brazil","Rio de Janeiro","Teresópolis","-43.073169","-22.496706",NA,NA,"NY00387123","NY00387123_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393783' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"4035","South America","sheet",NA,"Magnoliophyta","Malpighiales","Teresopolis, Serra dos Orgaos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02499437","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","M. H. T. Araujo",NA,NA,NA,"W. W. Thomas","2004","01","30","Brazil","Minas Gerais","Bandeira","-40.51791667","-15.8064167",NA,NA,"NY02499437","NY02499437_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796683' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"13658","South America","sheet",NA,"Magnoliophyta","Malpighiales","Fazenda Boi Rajado, 5.9 km E of Macarani-Bandeiras road on farm road ca. 12 km N of Bandeiras (at Fazenda Canada)","830","850",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","387100","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"B. D. Sucre","1971","05","24","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,"NY00387100","NY00387100_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393778' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"7575","South America","sheet",NA,"Magnoliophyta","Malpighiales","Subida para a Pedra da Gavea a 360 m.s.m.","360","360",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","387113","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"R. Reitz","1954","10","28","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"NY00387113","NY00387113_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393792' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2226","South America","sheet",NA,"Magnoliophyta","Malpighiales","Morro da Fazenda, Itajaí","100","100",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","399881","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.",NA,NA,NA,NA,"F. Sellow",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00399881","NY00399881_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393813' target='other'> <mi>dwc_moreinfo</mi></a>","possible isotype","s.n.","South America","sheet",NA,"Magnoliophyta","Malpighiales","Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","387102","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.",NA,NA,NA,NA,"P. Occhioni","1943","09","19","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,"NY00387102","NY00387102_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393810' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"180","South America","sheet",NA,"Magnoliophyta","Malpighiales","Serra da Carioca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","387106","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"T. C. Plowman","1980","04","20","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,"NY00387106","NY00387106_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393780' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"10097","South America","sheet",NA,"Magnoliophyta","Malpighiales","Parque Nacional de Tijuca. Alto de Boa Vista, above tourist park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","387101","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.",NA,NA,NA,NA,"B. D. Sucre","1980","09","14","Brazil","Rio de Janeiro","Araruama","-42.301774","-22.857925",NA,NA,"NY00387101","NY00387101_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393809' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"11299","South America","sheet",NA,"Magnoliophyta","Malpighiales","Araruama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","387118","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"G. G. Hatschbach","1976","10","20","Brazil","Paraná","Guaratuba","-48.5744","-25.8831",NA,NA,"NY00387118","NY00387118_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393772' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"39140","South America","sheet",NA,"Magnoliophyta","Malpighiales","Rio Boguaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","387109","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"R. M. Klein","1949","12","02","Brazil","Santa Catarina","Brusque","-48.9","-27.1",NA,NA,"NY00387109","NY00387109_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393788' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"360","South America","sheet",NA,"Magnoliophyta","Malpighiales","Mata do Hoffmann, Brusque","50","50",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","387107","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"S. A. Mori","1981","05","12","Brazil","Bahia","Una","-39.1202492","-15.1148921",NA,NA,"NY00387107","NY00387107_01","voucher for ecological study of forest diversity <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393787' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"13947","South America","sheet",NA,"Magnoliophyta","Malpighiales","Maruim, border of the Fazendas Maruim and Dois de Jolho, 33 km SW of Olivença on the road from Olivença to Buerarema. Southern Bahian Wet Forest. Elev. ca 100 m","100","100",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","387090","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"E. Pereira","1958","10","09","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,"NY00387090","NY00387090_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393777' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"4379","South America","sheet",NA,"Magnoliophyta","Malpighiales","Estrada do Cristo Redentor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1039082","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","J. O. Mendonça",NA,NA,NA,"C. Farney","1986","12","23","Brazil","Rio de Janeiro","Saquarema","-42.5103","-22.9203",NA,NA,"NY01039082","NY01039082_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1481618' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1297","South America","sheet",NA,"Magnoliophyta","Malpighiales","Restinga de Ipitangas, mata de Restinga próxima ao loteamento Vilatur Saquarema.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","387108","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"T. C. Plowman","1980","04","21","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,"NY00387108","NY00387108_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393781' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"10114","South America","sheet",NA,"Magnoliophyta","Malpighiales","Jacarepagua. Vargem Grande. Mata de Lagoa","150","350",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","387116","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.",NA,NA,NA,NA,"G. G. Hatschbach","1972","10","26","Brazil","Paraná","Antonina","-48.7117","-25.4286",NA,NA,"NY00387116","NY00387116_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393811' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"30557","South America","sheet",NA,"Magnoliophyta","Malpighiales","Rio Copiuva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","387083","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"E. Pereira","1958","10","01","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,"NY00387083","NY00387083_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393776' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"4356","South America","sheet",NA,"Magnoliophyta","Malpighiales","D.F. Jacarepaguá. Represa do Camorim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","387117","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","T. C. Plowman",NA,NA,NA,"T. S. dos Santos","1970","10","23","Brazil","Bahia","Gandu","-39.48","-13.74",NA,NA,"NY00387117",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393774' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1189","South America","sheet",NA,"Magnoliophyta","Malpighiales","Estrada a Ibiá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
