"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","recordNumber","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:33:44-03","UNESC","CRI","11335","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cerasiflora","Eugenia cerasiflora","Miq.","Humberto de Bona Martins","Gabriel Waterkemper Girardi; Guilherme Alves Elias, Peterson Teodoro Padilha e Renato Colares Pereira","2015","09","08","Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S","58","58","CRI005029","CRI005029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","15338","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cerasiflora","Eugenia cerasiflora","Miq.","Isadora Zapelini & José T. Pires","Isadora Zapelini & José T. Pires","2020","08","07","Brasil","Santa Catarina","Criciúma","UNESC.","-49.409722","-28.705278","49º24'35''W","28º42'19''S","40","40","CRI014755",NA,"2020","09","03","Fruto imaturo verde. Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:37-03","UNESC","CRI","2995","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cerasiflora","Eugenia cerasiflora","Miq.","Marcos Sobral","Raquel Rejane Bonatto Negrelle","1992","05","16","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","CRI005030","CRI005030",NA,NA,NA,NA,"221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","404888","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cerasiflora","Eugenia cerasiflora","Miq.",NA,"J. S. Blanchet",NA,NA,NA,"Brazil","Bahia",NA,"Jacobine",NA,NA,NA,NA,NA,NA,"NY00404888","NY00404888_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17252' target='other'> <mi>dwc_moreinfo</mi></a>","3727","Magnoliophyta","Myrtales","probable type","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","579841","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cerasiflora","Eugenia cerasiflora","Miq.","G. M. Barroso","B. D. Sucre","1971","06","29","Brazil","Rio de Janeiro",NA,"Estado da Guanabara, Pedra de Itauaá",NA,NA,NA,NA,NA,NA,"NY00579841","NY00579841_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17250' target='other'> <mi>dwc_moreinfo</mi></a>","7577","Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1018004","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cerasiflora","Eugenia cerasiflora","Miq.","F. F. Mazine","J. Miers","1838","03",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"NY01018004","NY01018004_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238665' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.","Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","579840","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cerasiflora","Eugenia cerasiflora","Miq.","M. L. Kawasaki","F. de Barros","1991","06","11","Brazil","São Paulo","Sao Paulo","Sao Paulo, Parque Estadual das Fontes do Ipiranga, Jardim Botânico.","-46.618358","-23.646109",NA,NA,NA,NA,"NY00579840","NY00579840_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17247' target='other'> <mi>dwc_moreinfo</mi></a>","2307","Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","558022","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cerasiflora","Eugenia cerasiflora","Miq.","M. Sobral","A. M. V. de Carvalho","1981","12","19","Brazil","Bahia","Lençóis","Estrada de Lençois BR 242 5 km ao N de Lençois","-41.3897","-12.5633",NA,NA,NA,NA,"NY00558022","NY00558022_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479629' target='other'> <mi>dwc_moreinfo</mi></a>","1004","Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","404887","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cerasiflora","Eugenia cerasiflora","Miq.",NA,"J. S. Blanchet",NA,NA,NA,"Brazil","Bahia",NA,NA,"-39.039072","-15.159747",NA,NA,NA,NA,"NY00404887","NY00404887_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17251' target='other'> <mi>dwc_moreinfo</mi></a>","3727","Magnoliophyta","Myrtales","probable type","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01096159","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cerasiflora","Eugenia cerasiflora","Miq.","L. Rossi","L. Rossi","1980","04","01","Brazil","São Paulo","Sao Paulo","Mata da Reserva da Cidade Universitária Armando de Sallez Oliveira - USP área 1.","-46.63","-23.5403",NA,NA,NA,NA,"NY01096159","NY01096159_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1232825' target='other'> <mi>dwc_moreinfo</mi></a>","186","Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
