"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","county","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:41:47-03","E","E","112729","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","repanda","Eugenia repanda","Pedersen, Troels M.","6934","1964","02","06","Temperate South America","AR","Prov. de Corrientes","Itatí.","herbarium specimen of unspecif","BGBASE:133914","<a href=http://data.rbge.org.uk/herb/E00112729 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00112729",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:47-03","E","E","112730","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","repanda","Eugenia repanda","Meyer, T.","16342","1950","12","09","Temperate South America","AR","Prov. de Corrientes","Paso de la Patria.","herbarium specimen of unspecif","BGBASE:133915","<a href=http://data.rbge.org.uk/herb/E00112730 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00112730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:47-03","E","E","112731","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","repanda","Eugenia repanda","Pedersen, Troels M.","4673","1957","11","27","Temperate South America","AR","Prov. de Corrientes","Estancia Las Tres Marias, by the Rió Paraná.","herbarium specimen of unspecif","BGBASE:133916","<a href=http://data.rbge.org.uk/herb/E00112731 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00112731","Dept. Empedrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","886396","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","oxyoentophylla","Eugenia oxyoentophylla","D. S. D. de Araújo","7136","1986","01","08","South America","Brazil","Rio de Janeiro","Grumari","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886396",NA,"Magnoliophyta","Myrtales","Kiaersk.","G. M. Barroso","NY00886396_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","557857","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","repanda","Eugenia repanda","B. D. Sucre","3156","1968","06","07","South America","Brazil","Rio de Janeiro","Restinga de Cabo Frio","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479547' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557857",NA,"Magnoliophyta","Myrtales","O.Berg","M. C. de Souza","NY00557857_01","-42.032149","-22.874703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","557587","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","repanda","Eugenia repanda","M. Sobral","4527","1985","12",NA,"South America","Brazil","Rio Grande do Sul","Ponte sobre o rio Ibicuí, na estrada Cacequi-Sao Vicente do Sul, Sao Vicente do Sul","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557587","Sao Vicente do Sul","Magnoliophyta","Myrtales","O.Berg","M. Sobral","NY00557587_01","-54.6792","-29.6919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2422760","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","repanda","Eugenia repanda","E. M. Nic Lughadha","184a","1999","02","09","South America","Brazil","Espírito Santo","Reserva Florestal da Companhia Vale do Rio Doce.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2673265' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422760","Linhares","Magnoliophyta","Myrtales","O.Berg",NA,"NY02422760_01","-40.01914","-19.15294","20","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","557588","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","repanda","Eugenia repanda","A. E. Burkart","21305","1960","01","20","South America","Argentina","Entre Ríos","Dep. La Paz, distrito Tacuaras, isla Curuzú-Chalí","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557588",NA,"Magnoliophyta","Myrtales","O.Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","885943","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","repanda","Eugenia repanda","A. M. V. de Carvalho","529","1981","02","16","South America","Brazil","Bahia","Mata L-NE da Barragem Bananeiras.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010629' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885943","Conceição da Feira","Magnoliophyta","Myrtales","O.Berg","F. F. Mazine","NY00885943_01","-39.0294","-12.5481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01806184","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","repanda","Eugenia repanda","J. L. Paixão","175","2002","03","29","South America","Brazil","Bahia","Rod. Jussarí/Palmira, entrada ca. 7.5 km de Jussari. Faz. Teimoso - RPPN - Serra do Teimoso.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2140276' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806184","Jussari","Magnoliophyta","Myrtales","O.Berg","M. Sobral","NY01806184_01","-39.5286","-15.1581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","557586","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","repanda","Eugenia repanda","C. Farney","2261","1989","03","18","South America","Brazil","Rio de Janeiro","Area da Cia Salinas Perynas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557586","Cabo Frio","Magnoliophyta","Myrtales","O.Berg","G. M. Barroso","NY00557586_01","-42.0183","-22.8794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","557933","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","repanda","Eugenia repanda","S. A. Mori","11544","1979","03","14","South America","Brazil","Bahia","Rod. BA-265, trecho Itapetinga/Caatiba, Fazenda Serra Verde a 17 km da Rod. BR-415","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479297' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557933","Itambé","Magnoliophyta","Myrtales","O.Berg","F. F. Mazine","NY00557933_01","-40.6242","-15.245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
