"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","relationshipType","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","484590","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","filipes","Evolvulus filipes","Mart.","L. Riedel","885","1827","03","01","South America","Brazil","Mato Grosso","Cuiabá","Locis siccis petrosis pr. Cujabá","-56.0967","-15.5961","sheet","Com. ex Hb. Horti Imp. Petropol. 1864 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22635' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484590","NY00484590_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","571974","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","filipes","Evolvulus filipes","Mart.","H. S. Irwin","21492","1968","03","19","South America","Brazil","Tocantins","Guaraí","10 km S of Guará, Goiás","-48.52","-8.93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571974","NY00571974_01","R. Simão-Bianchini","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","571973","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","filipes","Evolvulus filipes","Mart.","H. S. Irwin","31522","1971","03","04","South America","Brazil","Bahia","Barreiras","5 km NW of Barreiras","-44.99","-12.1531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22631' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571973","NY00571973_01","R. Simão-Bianchini","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1013673","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","filipes","Evolvulus filipes","Mart.","E. H. G. Ule","8273","1909","09",NA,"South America","Brazil",NA,NA,"Rio Branco. (Surumu). Bl Weiss [Illegible] dos Surumu der Serra do Mel.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101435' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013673","NY01013673_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","484594","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","filipes","Evolvulus filipes","Mart.","M. Weddell","465","1843",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484594","NY00484594_01","S. J. van Ooststroom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00749154","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","filipes","Evolvulus filipes","Mart.","H. S. Irwin","26609","1970","02","25","South America","Brazil","Distrito Federal","Brasília","Ca. 15 km E. of Lago Paranoá, DF-6","-47.6874","-15.73555","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=888851' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749154","NY00749154_01","R. Simão-Bianchini","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1013676","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","filipes","Evolvulus filipes","Mart.","T. C. Plowman","8410","1980","02","04","South America","Brazil","Tocantins","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Féinho.","-48.6008","-8.5006","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101460' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013676","NY01013676_01","D. F. Austin","400","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","484593","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","filipes","Evolvulus filipes","Mart.","J. C. de Moraes Vasconcelos","2124","1959","05","25","South America","Brazil","Paraíba",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22633' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484593","NY00484593_01","L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1013670","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","filipes","Evolvulus filipes","Mart.","P. Clausen","s.n.","1844",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101426' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013670","NY01013670_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","484595","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","filipes","Evolvulus filipes","Mart.","R. M. Harley","16295","1974","02","24","South America","Brazil","Bahia",NA,"4 km north of Senhor do Bonfim","-40.18","-10.45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22626' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484595","NY00484595_01","B. Verdcourt","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
