"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1416362","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schultesii","Ficus schultesii","Dugand","C. C. Berg","H. Medeiros","612","2010","05","01","South America","Brazil","Acre","Xapuri","Seringal Cachoeira, BR 317, ramal Cachoeira 16km ao longo do ramal.","-68.2317","-10.9303","258","258","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412592' target='other'> <mi>dwc_moreinfo</mi></a>","NY01416362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","196406","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schultesii","Ficus schultesii","Dugand","C. C. Berg","M. N. Alexiades","705","1989","05","12","South America","Peru","Madre de Dios","Tambopata","Comunidad Nativa de Infierno. Hermosa Chica. Study plot 1","-69.28","-12.83","260","260","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00196406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1416290","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schultesii","Ficus schultesii","Dugand","C. C. Berg","H. Medeiros","542","2010","04","24","South America","Brazil","Acre","Bujari","Riozinho do Andirá, BR 364, Km 52.","-68.0967","-9.7136","155","155","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412670' target='other'> <mi>dwc_moreinfo</mi></a>","NY01416290","NY01416290_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","472423","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schultesii","Ficus schultesii","Dugand","C. C. Berg","D. C. Daly","9406","1997","03","09","South America","Brazil","Acre","Bujari","Basin of Rio Purus, Rio Antimari, Floresta Estadual do Antimari, left bank, inland from river.","-68.1239","-9.4111",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472423","NY00472423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1414233","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schultesii","Ficus schultesii","Dugand","C. C. Berg","H. Medeiros","491","2010","04","23","South America","Brazil","Acre","Bujari","Riozinho do Andirá, BR 364, Km 52, Colônia do Elírio.","-68.0967","-9.7136","155","155","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412549' target='other'> <mi>dwc_moreinfo</mi></a>","NY01414233","NY01414233_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1416368","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schultesii","Ficus schultesii","Dugand","C. C. Berg","H. Medeiros","451","2010","04","21","South America","Brazil","Acre","Sena Madureira","Fazenda São Jorge I, BR 364, Km 107, ramal do Toco Preto.","-68.6239","-9.4317","217","217","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412455' target='other'> <mi>dwc_moreinfo</mi></a>","NY01416368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","865335","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schultesii","Ficus schultesii","Dugand","C. C. Berg","C. A. Cid Ferreira","2755","1980","10","04","South America","Brazil","Acre","Sena Madureira","Rio Iaco, margem direita","-69.533531","-10.295101",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865335","NY00865335_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02172594","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schultesii","Ficus schultesii","Dugand",NA,"A. B. Anderson","1201","1984","10","08","South America","Brazil","Pará","Barcarena","Ilha das Onças, property of Dona Alice Dumalakis.","-48.45","-1.42",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326464' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172594","NY02172594_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02172595","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schultesii","Ficus schultesii","Dugand",NA,"J. J. Strudwick","3423","1981","07","23","South America","Brazil","Pará",NA,"Macau airstrip, 1½ hours upstream from Lageira airstrip, on Rio Maicuru","-54.433333","-0.916667","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326472' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172595","NY02172595_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1413876","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schultesii","Ficus schultesii","Dugand","C. C. Berg","H. Medeiros","417","2010","04","18","South America","Brazil","Acre","Senador Guiomard","Fazenda Experimental Catuaba, BR 364, Km 35.","-67.62","-10.07",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412506' target='other'> <mi>dwc_moreinfo</mi></a>","NY01413876","NY01413876_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
