"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","individualCount","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1017435","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham. & Schltdl.) E.L.Cabral & Bacigalupo","P. G. Delprete","L. B. Smith","11138","1957","02","09","South America","Brazil","Santa Catarina","Campos Novos","9-52 km east of Campos Novos on the road to Curitibanos (92 km) W of C 54 km.","-51.2247","-27.4019","800","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1207342' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017435","NY01017435_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","799274","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham. & Schltdl.) E.L.Cabral & Bacigalupo","P. G. Delprete","L. B. Smith","10909","1957","06","02","South America","Brazil","Santa Catarina","Caçador","Bog, 9 km. west of Caçador","-51.0920296","-26.781823","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=793889' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799274","NY00799274_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","799273","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham. & Schltdl.) E.L.Cabral & Bacigalupo","P. G. Delprete","L. B. Smith","10626","1957","02","02","South America","Brazil","Santa Catarina","Mafra","Campo, 10 km west of Tinguí on the road to Mafra","-49.8053","-26.1117","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=793886' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799273","NY00799273_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","397389","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham. & Schltdl.) E.L.Cabral & Bacigalupo","P. G. Delprete","G. Davidse","11032","1976","03","09","South America","Brazil","Paraná",NA,"8 km NE of the Paraná-Santa Catarina border at the Rio Negro",NA,NA,"820","820","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339738' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397389","NY00397389_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","799275","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham. & Schltdl.) E.L.Cabral & Bacigalupo","P. G. Delprete","L. B. Smith","10381","1957","01","23","South America","Brazil","Santa Catarina","Bom Retiro","Bog and pasture by Fazenda Santo Antonio, Campo dos Padres","-49.4892","-27.7972","1650","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=793891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799275","NY00799275_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","799276","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham. & Schltdl.) E.L.Cabral & Bacigalupo","P. G. Delprete","L. B. Smith","10318","1957","01","23","South America","Brazil","Santa Catarina","Bom Retiro","Bog and pasture by Fazenda Santo Antonio, Campo dos Padres","-49.4892","-27.7972","1650","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=793894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799276","NY00799276_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1017434","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham. & Schltdl.) E.L.Cabral & Bacigalupo","P. G. Delprete","B. Rambo","45992","1950","02","21","South America","Brazil","Rio Grande do Sul",NA,"Lagoa dos Quadros, prope Torres",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1207339' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017434","NY01017434_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","720510","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham. & Schltdl.) E.L.Cabral & Bacigalupo",NA,"L. F. Ferreira","186","1975","01","28","South America","Brazil","Paraná","Curitiba","Barigui.","-49.2731","-25.4281",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2505488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720510","NY00720510_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:24:00-03","NBC","NL-BOTANY","U.1563680","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham.) E.L.Cabral & Bacigalupo","Delprete PG","Lindeman JC; Haas JH de",NA,"1967","01","10","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1563680 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1563680","NL-U1563680","Magnoliopsidae","U 0083810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:49:31-02","IPA","IPA","44583","S","Plantae","Plantae",NA,"Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham.) E.L. Cabral & Bacigalupo","Cabral, E.","Ehrendorrfer, F.","318.3","1981",NA,NA,"Southern America","Brasil","Pernambuco","Recife","Dois Irmãos","-34.8810997009277","-8.05389022827148",NA,NA,NA,NA,"IPA0044583",NA,NA,NA,"2001","07","18865","auto",NA,NA,NA,NA,NA,NA
