"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","individualCount","fieldNumber","infraspecificEpithet","sex"
"1","2020-09-23 10:42:18-03","E","E","134643","PreservedSpecimen","Plantae","Phytolaccaceae","Gallesia","integrifolia","Gallesia integrifolia","B.Dubs & E.L.Egewarth","2509","1998","07","04","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143084","<a href=http://data.rbge.org.uk/herb/E00134643 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","625853","PreservedSpecimen","Plantae","Petiveriaceae","Gallesia","integrifolia","Gallesia integrifolia","L. A. Mattos Silva","3092","1995","03","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=528007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625853","Magnoliophyta","Caryophyllales","(Spreng.) Harms","J. A. Kallunki","Bahia","Ilhéus","Campus da Universidade Estadual de Santa Cruz (UESC), km 16 da Rod Ilhéus/Itabuna (BR 415). Situado detrás da Torre Central.","-39.17","-14.8","40","40","NY00625853_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","687212","PreservedSpecimen","Plantae","Petiveriaceae","Gallesia","integrifolia","Gallesia integrifolia","A. Gehrt","s.n.","1934","04","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687212","Magnoliophyta","Caryophyllales","(Spreng.) Harms","J. G. Rohwer","São Paulo",NA,"Quilombo, Fazenda dosnr Antonio Estanislau do Amaral",NA,NA,NA,NA,"NY00687212_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","625857","PreservedSpecimen","Plantae","Petiveriaceae","Gallesia","integrifolia","Gallesia integrifolia","P. K. H. Dusén","16786","1915","03","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=528002' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625857","Magnoliophyta","Caryophyllales","(Spreng.) Harms","J. G. Rohwer","Paraná",NA,"Patrimonio pagus, in regione septentrional.",NA,NA,"900","900","NY00625857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","625860","PreservedSpecimen","Plantae","Petiveriaceae","Gallesia","integrifolia","Gallesia integrifolia","R. P. Belém","964","1965","05","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625860","Magnoliophyta","Caryophyllales","(Spreng.) Harms","B. Wallnöfer","Bahia","Ilhéus","Centro de Pesquisas do Cacau, CEPEC.","-39.2273659","-14.771874",NA,NA,"NY00625860_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","625841","PreservedSpecimen","Plantae","Petiveriaceae","Gallesia","integrifolia","Gallesia integrifolia","G. G. Hatschbach","41566","1978","08","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=528003' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625841","Magnoliophyta","Caryophyllales","(Spreng.) Harms","J. G. Rohwer","Paraná","Cerro Azul","Barra do Lageado Grande. Rio Ribeira.","-49.2608","-24.8236",NA,NA,"NY00625841_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","625852","PreservedSpecimen","Plantae","Petiveriaceae","Gallesia","integrifolia","Gallesia integrifolia","M. Kuhlmann","1.808","1949","07","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625852","Magnoliophyta","Caryophyllales","(Spreng.) Harms","M. H. Nee","São Paulo",NA,"Monte Alegre do Sul.",NA,NA,NA,NA,"NY00625852_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","309835","PreservedSpecimen","Plantae","Petiveriaceae","Gallesia","integrifolia","Gallesia integrifolia","M. H. Nee","50072","1998","07","11","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527978' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309835","Magnoliophyta","Caryophyllales","(Spreng.) Harms","M. H. Nee","Santa Cruz","Florida","Along highway from Comarapa to Mairana, bottom of narrow dry valley, 7 km by road SW of Yerba Buena","-64.08","-18","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2269856","PreservedSpecimen","Plantae","Petiveriaceae","Gallesia","integrifolia","Gallesia integrifolia","B. A. Krukoff","5405","1933","08","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2429977' target='other'> <mi>dwc_moreinfo</mi></a>","NY02269856","Magnoliophyta","Caryophyllales","(Spreng.) Harms",NA,"Acre",NA,"Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33",NA,NA,"NY02269856_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2269857","PreservedSpecimen","Plantae","Petiveriaceae","Gallesia","integrifolia","Gallesia integrifolia","B. A. Krukoff","5405","1933","08","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2429978' target='other'> <mi>dwc_moreinfo</mi></a>","NY02269857","Magnoliophyta","Caryophyllales","(Spreng.) Harms",NA,"Acre",NA,"Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33",NA,NA,"NY02269857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
