"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","year","month","day","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:38:55-03","E","E","326858","PreservedSpecimen","Plantae","Ericaceae","Gaultheria","eriophylla","Gaultheria eriophylla","isolectotype","Sellow, F.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:399359","<a href=http://data.rbge.org.uk/herb/E00326858 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00326858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:55-03","E","E","225610","PreservedSpecimen","Plantae","Ericaceae","Gaultheria","eriophylla","Gaultheria eriophylla","holotype","Davie, R.C.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:239345","<a href=http://data.rbge.org.uk/herb/E00225610 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00225610","156","1914","09","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00943153","PreservedSpecimen","Plantae","Ericaceae","Gaultheria","eriophylla","Gaultheria eriophylla eriophylla",NA,"W. R. Anderson","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943153","35751","1972","02","10","Magnoliophyta","Ericales","eriophylla","(Pers.) Sleumer ex B.L.Burtt","J. L. Luteyn","Minas Gerais","Serra do Espinhaço, summit of the Pico do Itambé","-43.3919444","-18.43185","2000","2000","NY00943153_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2527621","PreservedSpecimen","Plantae","Ericaceae","Gaultheria","eriophylla","Gaultheria eriophylla mucronata",NA,"W. M. A. Brooke","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2769512' target='other'> <mi>dwc_moreinfo</mi></a>","NY02527621","6541",NA,NA,NA,"Magnoliophyta","Ericales","mucronata","Luteyn",NA,NA,"Chulumani. Hedge above stream.",NA,NA,"1951",NA,"NY02527621_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2527660","PreservedSpecimen","Plantae","Ericaceae","Gaultheria","eriophylla","Gaultheria eriophylla mucronata",NA,"G. Mandon","South America","Bolivia","sheet",NA,"[Illegible precise loc.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2769551' target='other'> <mi>dwc_moreinfo</mi></a>","NY02527660","559",NA,NA,NA,"Magnoliophyta","Ericales","mucronata","Luteyn",NA,"La Paz","Vicinis Sorata, ad [rivum Challasuyo].",NA,NA,"2700","3000","NY02527660_01","Larecaja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00943161","PreservedSpecimen","Plantae","Ericaceae","Gaultheria","eriophylla","Gaultheria eriophylla eriophylla",NA,"P. Clausen","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1065020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943161","s.n.",NA,NA,NA,"Magnoliophyta","Ericales","eriophylla","(Pers.) Sleumer ex B.L.Burtt","J. L. Luteyn","Minas Gerais",NA,NA,NA,NA,NA,"NY00943161_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","390892","PreservedSpecimen","Plantae","Ericaceae","Gaultheria","eriophylla","Gaultheria eriophylla eriophylla",NA,"J. C. Lindeman","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=766547' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390892","4161","1967","11","02","Magnoliophyta","Ericales","eriophylla","(Pers.) Sleumer ex B.L.Burtt","J. L. Luteyn","Rio de Janeiro","Parque Nacional de Itatiaia, planalto near Abrigo Rebouças","-44.678895","-22.385269","2350","2350","NY00390892_01 NY00390892_02","Resende",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","390894","PreservedSpecimen","Plantae","Ericaceae","Gaultheria","eriophylla","Gaultheria eriophylla eriophylla",NA,"G. J. Shepherd","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=766550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390894","12825","1980","08","01","Magnoliophyta","Ericales","eriophylla","(Pers.) Sleumer ex B.L.Burtt","J. L. Luteyn","São Paulo","Serrada Bocaina, estr.p/ Silveiras, 26km de S. J. do Barreiro","-44.5697","-22.64","1400","1400","NY00390894_01","Sao José do Barreiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00943146","PreservedSpecimen","Plantae","Ericaceae","Gaultheria","eriophylla","Gaultheria eriophylla eriophylla",NA,"A. F. C. P. Saint-Hilaire","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943146","D191","1816",NA,NA,"Magnoliophyta","Ericales","eriophylla","(Pers.) Sleumer ex B.L.Burtt","J. L. Luteyn","Minas Gerais",NA,NA,NA,NA,NA,"NY00943146_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2527630","PreservedSpecimen","Plantae","Ericaceae","Gaultheria","eriophylla","Gaultheria eriophylla mucronata",NA,"R. Seidel","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2769521' target='other'> <mi>dwc_moreinfo</mi></a>","NY02527630","990","1987","05","30","Magnoliophyta","Ericales","mucronata","Luteyn",NA,"La Paz","1 km al W de Yanacachi.",NA,NA,"2070",NA,"NY02527630_01","Sud Yungas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
